"","source","target","value","energy_type"
"1",3,9,3.90835435382884,"p_Actinobacteria"
"2",1,10,1.9469942988579,"p_Proteobacteria"
"3",4,11,0.188885087771548,"p_Firmicutes"
"4",1,7,2.24579129440465,"p_Proteobacteria"
"5",5,12,0.154646629745162,"p_Chloroflexi"
"6",1,13,0.0466963955967309,"p_Proteobacteria"
"7",2,8,0.833467328712051,"p_Bacteroidetes"
"8",1,6,2.16422739059269,"p_Proteobacteria"
"9",2,14,0.040077825835403,"p_Bacteroidetes"
"10",22,41,0.188885087771548,"o_Bacillales"
"11",19,34,0.54789165918709,"o_Rhizobiales"
"12",16,48,0.187189509947624,"o_Burkholderiales"
"13",24,47,0.119674663459867,"o_Caulobacterales"
"14",27,52,0.040077825835403,"o_Sphingobacteriales"
"15",16,29,1.57852668628231,"o_Burkholderiales"
"16",21,54,0.0286120915255379,"o_Sphingomonadales"
"17",17,30,0.833467328712051,"o_Flavobacteriales"
"18",23,44,0.154646629745162,"o_Herpetosiphonales"
"19",19,42,0.199384267637108,"o_Rhizobiales"
"20",18,45,0.131482957945382,"o_Actinomycetales"
"21",18,43,0.157460848088332,"o_Actinomycetales"
"22",18,33,0.607758642398306,"o_Actinomycetales"
"23",18,38,0.452821634235895,"o_Actinomycetales"
"24",16,36,0.480075098174719,"o_Burkholderiales"
"25",19,51,0.0766978127833045,"o_Rhizobiales"
"26",15,28,1.43367423592403,"o_Pseudomonadales"
"27",18,32,1.55591397547012,"o_Actinomycetales"
"28",19,37,0.570450987134152,"o_Rhizobiales"
"29",25,49,0.068553796482851,"o_Rhodospirillales"
"30",26,50,0.0466963955967309,"o_Myxococcales"
"31",20,35,0.482828786812782,"o_Xanthomonadales"
"32",21,40,0.306009416725768,"o_Sphingomonadales"
"33",18,31,0.804664050397205,"o_Actinomycetales"
"34",18,39,0.1982522452936,"o_Actinomycetales"
"35",25,53,0.0297196039222256,"o_Rhodospirillales"
"36",20,46,0.247724367855876,"o_Xanthomonadales"
"37",39,70,0.1982522452936,"f_Thermomonosporaceae"
"38",32,64,0.360357631776702,"f_Pseudonocardiaceae"
"39",33,60,0.514019817661822,"f_Micromonosporaceae"
