"","one","Means","SD"
"num.edges",241,241,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",126,126,0
"connectance",0.0306031746031746,0.0306031746031746,0
"average.degree",3.82539682539683,3.82539682539683,0
"average.path.length",3.83081155433287,3.67862690784973,0.056947446494117
"diameter",8,7.81,0.63077633744362
"edge.connectivity",0,0.05,0.21904291355759
"clustering.coefficient",0,0.0297911784295947,0.00876166065490167
"no.clusters",2,3.54,1.52699612694898
"centralization.degree",0.273396825396825,0.0449168253968254,0.0079854412982172
"centralization.betweenness",0.405400604078408,0.0780002784069592,0.0178662708874403
"centralization.closeness",0.0523821584433225,0.0596380675878963,0.0273815264576851
