"","Unassigned","Comamonadaceae","Pseudonocardiaceae","Pseudomonadaceae","Oxalobacteraceae","Thermomonosporaceae","Micromonosporaceae","Sinobacteraceae","Streptomycetaceae","Flavobacteriaceae","Rhizobiaceae","Nocardioidaceae","Bradyrhizobiaceae","Xanthomonadaceae","Hyphomicrobiaceae","Sphingomonadaceae","Burkholderiales_incertae_sedis","Bacillaceae_1","Caulobacteraceae","Microbacteriaceae"
"KO1",0.247201492537313,0.115551275878671,0.0524193548387097,0.0661410688493019,0.070323784304285,0.0417970630717381,0.0458594126143476,0.036651420317766,0.0303623013962446,0.0144740009629273,0.0300312951372171,0.0260592200288878,0.0265406836783823,0.0218163216177179,0.024584737602311,0.0172123254694271,0.0167007703418392,0.00999037072701011,0.0130296100144439,0.00806451612903226
"KO2",0.235976200359762,0.0764632627646326,0.110004151100042,0.0269821502698215,0.0407361284073613,0.0635671786356718,0.0716479867164799,0.0307181403071814,0.027784696277847,0.0169918361699184,0.0209768922097689,0.040874498408745,0.0295004842950048,0.0156911581569116,0.0218071122180711,0.0169364881693649,0.0101286841012868,0.00835754808357548,0.0107375121073751,0.0121765601217656
"KO3",0.203435085106929,0.113527252188647,0.0843880773279248,0.0417190829503735,0.0455957485045313,0.0226951811250032,0.044953916459141,0.0276244512336012,0.0321942953967806,0.0685476624476907,0.0477779774588586,0.0391517547688121,0.0316038099150214,0.0216682498523786,0.0287284023516726,0.0304228389515032,0.0134014531077508,0.0051346563631229,0.0110395111807142,0.00895997535364946
"KO4",0.20408859497192,0.11155723508109,0.085052222747074,0.0482863591035532,0.0743452474675904,0.0482338739306146,0.0389702409069438,0.0259276754316905,0.0226998372959639,0.0233296593712276,0.0397050333280848,0.0277646564845431,0.028735632183908,0.0252191255970188,0.0222012281530468,0.0265837400934236,0.016769012753897,0.00522227470739516,0.0109956437306461,0.00831889991077521
"KO5",0.192605905006418,0.150064184852375,0.0521181001283697,0.0800256739409499,0.0826444159178434,0.0309627727856226,0.0224390243902439,0.0159691912708601,0.0106803594351733,0.0445442875481386,0.0555070603337612,0.0237483953786906,0.0277021822849807,0.0264698331193838,0.0340436456996149,0.0285494223363286,0.0281129653401797,0.0044415917843389,0.0136842105263158,0.0055198973042362
"KO6",0.236967466031505,0.115303415796027,0.050127212688789,0.0416283224164998,0.0947599198830726,0.0351594218589293,0.0429545823634494,0.0284469225355925,0.0201916310290695,0.0191089698478861,0.0381367401071835,0.0303415796026633,0.0277973258268825,0.0280679911221783,0.0291506523033617,0.0235208141612082,0.018919504141179,0.00822822497699345,0.0138039300600877,0.00630650138039301
"OE1",0.276258593581404,0.0608872583777785,0.0576193852699078,0.0437155100656657,0.0439313130067516,0.0451028146869316,0.0473533310725406,0.0537349323303635,0.0229367697382619,0.0145821130190831,0.0208403983105713,0.023121743687764,0.0304590436846811,0.0174800382279496,0.0221968739402534,0.01430465209483,0.0158461016740142,0.0291642260381663,0.00955698739094244,0.00863211764343188
"OE2",0.217548511510184,0.0576413161383633,0.0586959141858503,0.0553814631794625,0.0326322767265277,0.0588767024225624,0.0623719416656623,0.0350126551765698,0.0365794865614077,0.0635470652042907,0.0267566590333856,0.0382969748101724,0.0260636374593226,0.0177172471977823,0.0226889237073641,0.0133783295166928,0.014794504037604,0.0131674099071954,0.00864770398939376,0.0117512353862842
"OE3",0.212202587202587,0.0887618387618388,0.0437167937167937,0.0546026796026796,0.0534476784476784,0.0443809193809194,0.066008316008316,0.036007161007161,0.0821783321783322,0.0624566874566875,0.022031647031647,0.0256121506121506,0.0187398937398937,0.0207033957033957,0.0131092631092631,0.0114922614922615,0.017960267960268,0.0161988911988912,0.00617925617925618,0.00866250866250866
"OE4",0.235838746888471,0.0878513751441928,0.0537307995871532,0.0764677311638638,0.0496934005221298,0.0379151235504827,0.0453220812336834,0.035365187298889,0.0465363365915852,0.0441381822597292,0.0275332402404226,0.0235261975593467,0.0208244793880153,0.0181227612166839,0.0166352984032542,0.0144799951429786,0.0210066176917006,0.0186084633598446,0.00740695768320078,0.00786230344241394
