"","Unassigned","Rhizobacter","Pelomonas","Streptomyces","Flavobacterium","Lentzea","Steroidobacter","Actinoplanes","Bradyrhizobium","Nocardioides","Rhizobium","Pseudoduganella","Actinophytocola","Amycolatopsis","Devosia","Sphingomonas","Bacillus","Ensifer","Kinneretia","Lysobacter"
"KO1",0.415473038035628,0.0602130476649013,0.0603635050553683,0.0303623013962446,0.0142031776600867,0.0250060182956187,0.0268716899374097,0.0190779971112181,0.0204321136254213,0.0165503129513722,0.0173928743379875,0.0144439094848339,0.00968945594607607,0.00956909003370245,0.0142031776600867,0.0120967741935484,0.00980982185844969,0.00809460760712566,0.0101107366393837,0.00598820414058739
"KO2",0.422194548221945,0.0237996402379964,0.0350629583506296,0.027784696277847,0.0168257921682579,0.0531064065310641,0.0220008302200083,0.0297218762972188,0.0235505742355057,0.0233568562335686,0.0120658641206586,0.00628199806281998,0.0117614501176145,0.0286149162861492,0.011069600110696,0.0108482081084821,0.00808080808080808,0.00489829804898298,0.00700152207001522,0.00503666805036668
"KO3",0.35616543862802,0.0368154861235912,0.0632332931118585,0.0321942953967806,0.0682139097840877,0.0271880054427357,0.0186131293163205,0.0143000179712973,0.020975071243357,0.0236964391158122,0.0256219352519833,0.00911401504454314,0.0325537213421992,0.0152756026802906,0.0168673461528587,0.0196143873071295,0.00487792354496675,0.0110908577443455,0.00960180739903982,0.00888295550820261
"KO4",0.379966409489319,0.0435889361255445,0.059413215766546,0.0226998372959639,0.0232246890253503,0.021728861596599,0.016847740513305,0.0199968508896237,0.0155618537763082,0.0192358158820133,0.0239594814464914,0.0228048076418412,0.0160867055056946,0.00991969768540387,0.0143022096257807,0.0213352227995591,0.00506481918857923,0.00997218285834252,0.0088962368131003,0.00973599958011862
"KO5",0.367625160462131,0.0645186136071887,0.0792554557124519,0.0106803594351733,0.0442875481386393,0.0230295250320924,0.0121951219512195,0.00924261874197689,0.018793324775353,0.0160718870346598,0.0307573812580231,0.0162002567394095,0.00269576379974326,0.0100641848523748,0.0278305519897304,0.0172785622593068,0.00418485237483954,0.0136585365853659,0.0125802310654685,0.00808729139922978
"KO6",0.429491690575434,0.0368375466897634,0.0516158718129161,0.0201916310290695,0.0190007037297678,0.0247388079900395,0.0207058950901315,0.0238185459860337,0.020543495912954,0.0209224273263682,0.0221133546256699,0.0264169328208737,0.00722676338439885,0.0125859362312564,0.0184052400801169,0.0158068532452769,0.00793049315216803,0.00860715639040762,0.00822822497699345,0.00663129973474801
"OE1",0.434041372506705,0.0345901285568949,0.0217344390664981,0.0229367697382619,0.0143354810864137,0.0240157844436908,0.0376421987236797,0.0177574991522027,0.0249406541912014,0.015969417640349,0.00918703949193822,0.00505595461972439,0.0175725252027006,0.00594999537565126,0.00826216974442766,0.00949532940777507,0.028701791164411,0.00736812898850079,0.00903289453401979,0.00558004747664704
"OE2",0.39276244425696,0.0315475473062553,0.0156080511028082,0.0365794865614077,0.0628540436302278,0.0247679884295528,0.0252500903941184,0.0219356393877305,0.0185910570085573,0.0272086296251657,0.00952151380016874,0.00364589610702664,0.0138303001084729,0.00735205495962396,0.0144027961913945,0.00602627455706882,0.0128359648065566,0.0081957333976136,0.00539351572857659,0.00674942750391708
"OE3",0.380572880572881,0.0432259182259182,0.0368734118734119,0.0821783321783322,0.0621101871101871,0.0191730191730192,0.0245437745437745,0.0295969045969046,0.0150727650727651,0.018018018018018,0.0107126357126357,0.0204146454146454,0.0132536382536383,0.0041002541002541,0.00664125664125664,0.00895125895125895,0.0157368907368907,0.00791175791175791,0.0071032571032571,0.0077962577962578
"OE4",0.380092283407201,0.0503005282010807,0.0396454374354927,0.0465363365915852,0.0434703418128832,0.024042256086455,0.0249529476048813,0.0199745006374841,0.0163013781798312,0.0150567664379819,0.0135693036245522,0.0143585696071884,0.0098961811668994,0.00974439924716168,0.00995689393479449,0.00795337259425657,0.0182745431364216,0.00907655880031571,0.00740695768320078,0.00519094165503005
