#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_5	315	83	77	83	119	126	213	10	137	199	23	80	19	13	17	228	193	280	252	0	3	93	92	74	126	91	34	11	4	7	231	58	56	71	28
OTU_12	156	63	58	30	72	61	119	5	59	130	18	40	11	8	12	123	105	156	116	1	4	45	57	56	72	47	15	11	2	0	94	38	24	48	21
OTU_10	357	123	90	126	177	155	253	22	144	296	24	89	15	15	5	260	235	381	326	2	3	105	139	144	167	95	58	15	8	9	334	93	68	98	50
OTU_9	162	43	53	56	90	85	136	3	78	123	13	52	7	10	12	133	120	191	145	1	2	56	60	61	90	41	31	6	2	6	127	23	30	37	24
OTU_3	249	167	104	102	244	214	187	46	245	172	94	187	66	70	56	88	51	353	120	9	26	17	56	44	109	52	76	173	157	201	295	80	56	91	50
OTU_1	270	331	808	315	387	742	207	233	347	341	213	393	23	85	73	224	354	522	303	0	16	503	87	293	194	47	81	125	62	112	185	281	153	252	227
OTU_217	120	47	28	37	78	56	95	6	49	92	7	23	7	13	5	113	90	111	100	0	2	49	50	49	47	30	18	12	3	2	101	28	25	24	16
OTU_13	356	232	63	179	302	127	373	22	177	304	31	149	34	9	6	123	70	307	98	3	11	35	8	34	68	18	40	238	157	341	613	153	100	176	77
OTU_8	143	91	58	45	145	120	129	32	106	94	48	108	33	41	26	64	32	188	58	7	24	9	22	28	56	36	45	89	90	117	161	35	38	46	30
OTU_7	283	205	141	119	301	231	207	73	273	253	63	185	73	105	59	139	69	470	150	16	26	19	72	45	149	66	76	192	197	260	351	107	78	109	81
OTU_22	238	142	55	103	152	80	203	20	135	183	14	74	16	3	8	71	47	183	71	2	7	26	8	26	37	6	24	158	90	174	324	94	62	94	80
OTU_11	121	97	54	43	111	106	96	42	122	100	22	81	28	24	24	47	23	183	57	4	9	10	19	22	51	25	31	78	73	104	146	42	34	62	26
OTU_17	113	83	22	52	94	28	99	17	51	118	8	39	5	5	1	23	32	84	41	0	0	16	1	8	19	4	7	78	57	101	159	38	27	55	21
OTU_4	259	228	722	279	305	691	219	209	327	337	212	314	31	87	60	207	306	458	236	1	5	464	48	280	151	36	92	99	46	88	131	257	137	183	179
OTU_2	109	128	322	145	131	327	90	82	162	154	90	132	11	46	40	103	168	186	100	1	3	213	26	101	75	16	31	36	25	59	60	131	60	118	102
OTU_292	117	0	0	183	0	1	10	14	1	2	15	4	2	0	0	0	0	0	0	0	0	6	0	0	2	0	0	1	0	0	1	18	7	9	10
OTU_26	83	51	30	32	66	35	100	5	52	72	12	26	8	2	2	32	12	84	22	2	0	14	3	6	13	3	14	56	31	57	126	37	27	24	25
OTU_31	131	45	30	32	51	50	71	6	30	80	3	29	8	3	5	65	50	101	86	0	2	31	32	33	31	20	15	13	3	5	72	27	14	28	16
OTU_155	84	65	60	29	84	78	76	21	113	72	33	80	13	27	14	39	20	137	35	11	18	8	22	20	51	29	38	58	49	76	122	46	30	41	18
OTU_352	64	18	26	28	29	29	70	7	27	60	2	35	2	5	2	61	53	74	81	1	0	14	29	35	37	19	12	3	0	1	72	16	6	27	6
OTU_73	76	14	32	19	21	18	30	4	19	48	3	8	0	1	2	57	44	47	52	3	1	23	21	28	31	15	3	2	0	0	36	16	8	23	7
OTU_53	107	33	1	147	49	8	193	0	2	86	1	21	9	3	0	70	11	4	50	0	0	61	6	25	9	52	23	54	7	35	46	12	12	49	7
OTU_82	90	15	30	42	41	36	59	4	46	90	9	20	7	6	8	70	63	70	73	0	0	18	33	33	41	18	10	6	4	10	71	25	14	19	14
OTU_20	93	56	52	30	72	70	65	21	64	53	30	44	13	22	34	38	18	99	28	3	11	9	19	16	50	20	37	42	54	69	104	50	20	35	18
OTU_6	110	102	245	135	99	209	89	79	131	120	74	142	9	27	26	81	106	201	84	0	0	185	27	108	63	13	35	40	25	55	63	102	65	94	73
OTU_66	53	14	14	29	26	26	37	8	20	53	4	12	5	7	3	36	37	50	59	0	0	16	25	28	35	11	7	3	1	3	67	19	7	9	22
OTU_38	64	28	19	12	53	36	50	7	50	37	11	40	14	15	10	24	20	87	18	0	3	1	9	12	28	33	22	24	39	58	63	20	11	14	6
OTU_109	98	101	212	83	76	224	67	44	110	97	83	129	8	20	26	49	111	135	82	1	2	125	22	72	43	10	25	21	9	41	62	91	52	86	44
OTU_152	45	30	8	18	23	11	36	1	15	39	2	18	3	0	0	6	5	32	15	0	0	0	0	2	4	1	6	21	18	32	63	12	8	33	6
OTU_15	66	85	223	86	59	183	61	60	93	83	52	92	9	15	18	62	133	117	78	0	0	154	27	58	61	6	23	20	10	30	53	81	56	42	53
OTU_407	70	17	10	24	48	37	68	4	26	43	9	11	9	2	6	69	51	68	66	0	3	25	15	21	46	15	8	3	1	0	52	33	17	15	9
OTU_481	41	0	0	119	0	0	4	10	2	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	6	3
OTU_77	49	9	17	16	31	33	34	0	27	38	4	18	9	13	1	47	33	57	47	0	0	14	14	19	33	4	17	1	1	4	56	13	14	6	6
OTU_36	129	82	65	42	110	103	133	33	122	88	32	102	32	47	8	48	22	209	56	15	14	13	31	38	68	35	47	103	80	121	123	60	29	36	15
OTU_116	62	13	0	87	33	1	110	0	3	49	0	6	1	0	0	30	7	1	11	0	0	39	3	16	3	9	4	21	3	17	20	13	6	26	6
OTU_694	67	0	2	68	0	0	6	0	20	9	0	21	1	0	0	6	0	0	4	0	0	0	9	24	0	0	2	1	1	1	2	0	3	3	1
OTU_24	37	21	54	24	76	83	27	11	177	45	20	101	12	23	8	2	5	116	6	5	16	0	12	19	29	51	59	81	89	69	45	49	30	45	24
OTU_119	110	39	1	174	81	2	220	1	3	99	2	9	3	0	0	73	8	10	48	0	0	68	12	37	8	30	18	66	6	59	43	43	7	49	3
OTU_150	37	12	13	5	37	15	28	2	15	42	0	10	1	0	2	37	34	42	22	0	0	13	7	24	19	5	7	2	2	2	41	8	2	15	5
OTU_42	65	40	22	24	48	42	50	8	49	34	20	47	16	9	20	29	9	92	34	5	3	5	24	7	23	12	17	38	29	43	43	23	12	27	21
OTU_19	48	42	122	45	72	128	46	41	63	64	39	57	9	18	9	33	49	84	41	1	0	84	14	58	60	2	20	16	3	20	29	59	27	32	27
OTU_1063	37	0	0	31	0	0	4	0	16	1	0	11	0	0	0	5	1	1	5	0	2	3	1	6	0	4	0	9	0	2	0	0	2	0	6
OTU_113	94	34	29	43	44	50	69	7	43	91	11	26	12	7	5	66	61	84	100	0	1	38	26	32	47	29	6	8	6	1	91	29	21	21	13
OTU_103	64	42	13	30	61	26	70	3	31	47	4	25	4	1	0	16	13	50	6	0	1	2	0	6	11	2	16	45	32	63	99	27	15	35	17
OTU_118	72	42	32	24	58	43	52	13	68	70	16	35	9	18	7	39	19	108	22	4	7	8	23	7	36	25	28	47	39	48	64	25	5	23	6
OTU_126	45	18	16	21	16	29	55	4	26	38	5	22	2	0	5	45	37	45	38	1	0	32	10	18	14	20	3	10	0	3	42	16	7	17	7
OTU_405	56	0	0	148	0	0	3	19	0	8	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	15	5	0	9
OTU_32	43	74	57	60	69	42	19	67	45	28	68	27	0	0	0	2	2	4	8	0	0	34	21	25	2	10	7	132	77	43	141	77	68	58	96
OTU_511	57	18	21	26	32	21	31	4	39	39	5	14	1	3	0	64	44	59	40	0	0	18	17	18	32	15	6	2	0	0	58	8	7	14	4
OTU_372	60	31	24	22	49	46	27	16	52	43	5	33	22	15	9	16	14	87	27	3	2	8	14	11	21	14	18	33	36	49	54	17	12	31	4
OTU_385	47	40	27	22	50	36	27	12	44	42	19	26	9	14	5	23	9	68	22	1	6	3	7	3	17	17	16	23	31	41	79	14	21	10	10
OTU_182	48	20	24	78	38	15	0	0	30	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	13	70	77	40	39
OTU_193	73	11	3	143	34	1	146	75	1	100	163	6	4	6	4	33	36	28	46	0	0	17	2	14	6	19	4	7	0	1	4	7	3	16	3
OTU_164	81	43	13	19	53	46	44	22	52	50	18	50	11	31	12	35	15	86	34	2	7	3	2	7	26	16	22	39	53	42	77	26	14	14	22
OTU_549	97	0	3	281	1	1	4	11	1	4	13	1	1	1	0	0	0	0	0	0	0	6	1	1	5	0	0	0	0	0	5	14	12	27	12
OTU_105	57	38	14	13	34	23	27	9	53	39	15	37	13	17	9	11	10	75	24	4	8	5	8	2	20	17	26	20	25	43	52	18	14	12	13
OTU_645	44	0	0	30	2	0	0	0	0	2	0	0	4	0	0	17	0	1	17	1	0	7	3	14	12	2	0	6	0	0	8	3	16	2	11
OTU_261	34	9	4	11	12	17	21	1	15	22	3	8	2	1	4	32	20	19	20	0	0	8	19	13	13	2	4	0	0	1	23	7	10	11	2
OTU_243	32	9	7	8	14	15	19	0	15	28	0	4	3	2	3	26	20	25	20	0	0	13	15	6	13	8	1	0	1	1	20	9	3	7	1
OTU_258	35	15	32	17	22	25	57	9	5	36	12	0	1	5	5	12	43	7	16	0	0	14	2	2	0	1	0	0	0	0	17	16	13	11	11
OTU_693	61	42	24	33	56	22	50	3	37	67	3	22	11	5	0	15	9	51	13	0	0	8	2	7	10	2	7	45	29	56	100	29	19	40	15
OTU_325	48	32	16	23	65	38	54	8	69	27	11	37	33	11	3	24	14	102	18	1	4	3	22	7	27	23	13	38	35	55	95	21	13	21	11
OTU_18	49	39	12	53	30	11	113	80	87	188	84	70	74	91	43	31	6	4	69	4	14	95	83	187	54	72	46	28	34	61	9	17	28	16	54
OTU_169	96	21	28	36	34	26	65	1	42	85	7	29	5	6	7	64	69	96	65	2	4	22	41	33	38	20	6	8	3	3	71	29	13	19	10
OTU_5514	32	0	0	106	0	0	2	10	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	9	1
OTU_29	51	39	145	53	41	116	46	33	47	68	35	70	2	23	20	42	56	81	33	0	1	75	11	43	28	9	9	14	6	22	21	52	36	33	36
OTU_153	34	32	5	26	19	10	40	0	16	25	4	17	10	3	1	16	5	37	11	1	1	5	0	4	5	0	5	22	17	39	53	14	6	16	6
OTU_70	27	20	18	5	25	42	13	6	83	27	5	54	3	13	4	6	0	51	1	6	6	2	6	14	6	27	19	28	49	35	37	17	14	24	18
OTU_921	58	6	1	32	3	0	2	2	1	2	0	0	1	0	0	38	36	0	25	0	0	20	13	2	13	0	0	2	4	0	7	15	9	17	6
OTU_190	37	11	11	7	9	14	19	2	13	29	5	16	1	2	0	18	18	33	33	1	0	12	11	13	14	2	3	3	1	2	39	2	4	3	8
OTU_304	34	26	35	47	22	19	10	27	3	2	21	2	0	0	0	0	0	1	0	0	0	1	15	33	0	0	0	0	2	1	3	2	27	2	15
OTU_16	82	161	82	117	166	58	50	599	15	171	541	64	25	37	7	13	166	48	23	2	1	297	143	93	2	8	10	4	36	22	51	87	48	68	70
OTU_170	64	67	177	86	61	144	52	43	65	59	42	74	9	11	6	41	60	125	67	0	5	127	17	57	35	7	24	18	12	32	47	49	42	38	43
OTU_95	80	61	33	30	89	53	84	14	77	60	16	58	18	24	23	21	18	136	32	2	13	11	17	10	29	5	26	63	52	83	89	32	21	31	21
OTU_140	46	10	7	11	22	13	48	1	33	60	1	13	2	6	2	38	25	39	29	2	0	21	12	18	17	8	3	1	0	3	32	8	11	11	8
OTU_79	49	9	2	30	27	15	37	7	39	11	14	28	55	58	11	7	21	90	4	118	20	2	50	9	7	42	28	106	25	28	35	33	7	33	11
OTU_60	38	15	30	20	32	47	50	9	48	50	16	32	15	7	6	21	5	49	19	10	6	3	8	6	26	17	16	28	20	44	75	15	16	17	10
OTU_115	32	27	10	19	11	3	50	17	39	24	15	34	35	54	6	11	12	39	14	12	7	29	34	46	61	39	39	3	1	0	1	1	7	11	18
OTU_228	31	10	6	8	17	9	20	1	20	17	2	9	3	1	0	18	24	22	31	0	0	7	6	3	7	2	3	3	0	5	27	5	6	10	6
OTU_834	62	26	5	14	31	36	39	4	12	33	1	25	10	1	0	4	8	36	15	0	2	2	0	3	7	0	5	27	17	28	64	28	8	19	16
OTU_50	26	34	28	12	35	39	19	6	108	33	8	69	10	9	7	1	2	73	3	4	5	0	3	23	14	37	21	37	54	40	15	24	9	32	16
OTU_35	33	52	128	48	36	102	42	25	46	69	17	70	8	14	9	29	52	63	36	0	0	100	10	56	39	8	12	16	7	25	27	43	33	36	35
OTU_937	27	3	0	57	0	0	2	9	0	0	8	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	12	3	1	1
OTU_129	42	21	18	25	41	34	32	7	24	18	5	33	10	11	4	18	9	57	24	6	1	3	10	7	19	11	11	22	18	46	47	6	6	6	3
OTU_370	54	15	0	109	26	0	100	42	1	48	79	2	14	4	0	13	8	3	22	0	0	14	0	5	3	14	3	3	0	2	3	4	4	6	2
OTU_157	24	16	1	7	5	8	11	8	23	7	2	7	32	40	2	6	2	35	2	45	11	5	27	14	6	15	18	26	9	9	15	11	5	32	3
OTU_160	64	29	24	19	55	37	45	10	51	48	11	23	12	13	6	23	15	70	36	1	9	8	7	12	22	19	19	44	38	53	78	39	16	17	9
OTU_891	40	27	8	26	51	19	33	1	25	53	1	23	4	7	0	15	6	46	8	0	0	6	4	4	5	0	7	28	14	37	79	19	11	28	9
OTU_154	55	31	49	65	44	57	35	120	5	36	118	20	22	41	23	10	4	2	9	6	5	18	24	8	9	4	15	32	30	43	40	25	17	26	20
OTU_2247	25	0	0	1	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	14	0	0	0	0	0	2	0	1	0	0	1	2	0	0	1
OTU_340	40	12	0	52	21	4	61	0	2	36	0	4	0	0	0	16	1	3	15	0	0	16	2	7	11	15	5	8	1	11	9	6	1	17	0
OTU_578	65	12	12	18	23	16	33	6	23	55	4	13	4	2	0	29	34	39	43	1	0	10	15	15	29	13	2	3	1	0	54	6	4	15	9
OTU_1263	54	12	0	72	20	1	81	0	0	30	0	2	2	1	0	27	1	2	20	0	0	16	2	8	9	7	1	15	3	17	14	4	3	14	5
OTU_227	36	56	109	56	51	104	20	45	59	60	28	71	4	31	26	29	48	80	58	0	1	93	11	74	22	13	14	18	8	17	25	58	39	35	29
OTU_450	40	7	0	45	3	0	33	0	1	23	0	0	9	7	19	5	0	2	5	1	0	4	3	3	2	0	2	4	1	15	13	46	5	70	9
OTU_56	60	63	52	30	81	114	34	21	227	51	14	112	17	32	10	8	7	97	4	5	18	2	3	35	34	71	60	104	81	94	47	33	28	51	39
OTU_202	30	19	8	7	36	13	14	7	25	20	8	9	7	6	5	6	5	32	8	0	4	5	7	6	11	7	14	9	9	22	35	23	5	7	6
OTU_137	59	44	108	47	44	116	40	35	54	44	44	72	6	19	9	26	51	69	37	0	1	86	11	41	30	5	24	17	8	16	29	45	21	32	26
OTU_278	59	20	8	29	25	23	39	3	15	48	3	18	1	0	0	31	25	43	46	0	1	20	15	20	28	14	1	6	1	2	24	16	15	8	5
OTU_54	14	8	3	24	11	5	40	25	33	88	36	47	25	62	20	27	3	6	21	1	3	40	40	92	33	19	16	16	8	44	5	7	17	2	18
OTU_208	42	41	9	24	23	7	51	16	46	33	20	43	53	65	20	28	10	42	11	12	3	25	33	46	79	26	29	15	0	0	3	10	15	6	13
OTU_528	19	2	0	31	11	2	29	0	0	18	0	1	0	0	0	18	2	3	12	0	0	10	5	3	5	3	2	2	0	6	9	3	0	15	3
OTU_329	65	25	13	21	29	28	41	8	37	22	10	16	8	3	0	42	40	69	54	0	0	26	24	22	27	17	4	9	0	1	42	10	12	17	6
OTU_871	32	0	0	28	0	0	0	0	0	0	0	0	0	0	0	26	0	1	8	0	0	9	0	14	5	0	2	3	0	0	8	1	11	3	13
OTU_560	42	0	5	7	0	0	1	0	16	0	0	28	8	25	28	1	5	5	0	3	5	41	2	12	10	13	11	10	0	5	0	0	4	0	7
OTU_1135	66	0	1	99	0	0	18	0	23	16	0	16	0	0	0	12	0	2	5	0	2	3	7	19	4	3	1	12	3	3	0	2	11	0	4
