SeqID	ID	Group	time	space
KO1	KO1	KO	T1	R
KO2	KO2	KO	T1	R
KO3	KO3	KO	T1	R
KO4	KO4	KO	T1	R
KO5	KO5	KO	T1	R
KO6	KO6	KO	T1	R
OE1	OE1	OE	T1	R
OE2	OE2	OE	T1	R
OE3	OE3	OE	T1	R
OE4	OE4	OE	T1	R
OE5	OE5	OE	T1	R
OE6	OE6	OE	T1	R
WT1	WT1	WT	T1	R
WT2	WT2	WT	T1	R
WT3	WT3	WT	T1	R
WT4	WT4	WT	T1	R
WT5	WT5	WT	T1	R
WT6	WT6	WT	T1	R
KO7	KO7	KO	T2	R
KO8	KO8	KO	T2	R
KO9	KO9	KO	T2	R
KO10	KO10	KO	T2	R
KO11	KO11	KO	T2	R
KO12	KO12	KO	T2	R
OE7	OE7	OE	T2	R
OE8	OE8	OE	T2	R
OE9	OE9	OE	T2	R
OE10	OE10	OE	T2	R
OE11	OE11	OE	T2	R
OE12	OE12	OE	T2	R
WT7	WT7	WT	T2	R
WT8	WT8	WT	T2	R
WT9	WT9	WT	T2	R
WT10	WT10	WT	T2	R
WT11	WT11	WT	T2	R
WT12	WT12	WT	T2	R
KO13	KO13	KO	T3	R
KO14	KO14	KO	T3	R
KO15	KO15	KO	T3	R
KO16	KO16	KO	T3	R
KO17	KO17	KO	T3	R
KO18	KO18	KO	T3	R
OE13	OE13	OE	T3	R
OE14	OE14	OE	T3	R
OE15	OE15	OE	T3	R
OE16	OE16	OE	T3	R
OE17	OE17	OE	T3	R
OE18	OE18	OE	T3	R
WT13	WT13	WT	T3	R
WT14	WT14	WT	T3	R
WT15	WT15	WT	T3	R
WT16	WT16	WT	T3	R
WT17	WT17	WT	T3	R
WT18	WT18	WT	T3	R
KO19	KO19	KO	T1	B
KO20	KO20	KO	T1	B
KO21	KO21	KO	T1	B
KO22	KO22	KO	T1	B
KO23	KO23	KO	T1	B
KO24	KO24	KO	T1	B
OE19	OE19	OE	T1	B
OE20	OE20	OE	T1	B
OE21	OE21	OE	T1	B
OE22	OE22	OE	T1	B
OE23	OE23	OE	T1	B
OE24	OE24	OE	T1	B
WT19	WT19	WT	T1	B
WT20	WT20	WT	T1	B
WT21	WT21	WT	T1	B
WT22	WT22	WT	T1	B
WT23	WT23	WT	T1	B
WT24	WT24	WT	T1	B
KO25	KO25	KO	T2	B
KO26	KO26	KO	T2	B
KO27	KO27	KO	T2	B
KO28	KO28	KO	T2	B
KO29	KO29	KO	T2	B
KO30	KO30	KO	T2	B
OE25	OE25	OE	T2	B
OE26	OE26	OE	T2	B
OE27	OE27	OE	T2	B
OE28	OE28	OE	T2	B
OE29	OE29	OE	T2	B
OE30	OE30	OE	T2	B
WT25	WT25	WT	T2	B
WT26	WT26	WT	T2	B
WT27	WT27	WT	T2	B
WT28	WT28	WT	T2	B
WT29	WT29	WT	T2	B
WT30	WT30	WT	T2	B
KO31	KO31	KO	T3	B
KO32	KO32	KO	T3	B
KO33	KO33	KO	T3	B
KO34	KO34	KO	T3	B
KO35	KO35	KO	T3	B
KO36	KO36	KO	T3	B
OE31	OE31	OE	T3	B
OE32	OE32	OE	T3	B
OE33	OE33	OE	T3	B
OE34	OE34	OE	T3	B
OE35	OE35	OE	T3	B
OE36	OE36	OE	T3	B
WT31	WT31	WT	T3	B
WT32	WT32	WT	T3	B
WT33	WT33	WT	T3	B
WT34	WT34	WT	T3	B
WT35	WT35	WT	T3	B
WT36	WT36	WT	T3	B
