	sample1	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ASV_662	110	64	49	144	42	40	37	31	32	24	98	45	128	54	330	191	188	19
ASV_782	271	7	0	14	63	23	85	33	26	82	528	55	74	172	156	18	51	23
ASV_874	139	0	8	24	364	61	463	183	88	96	198	27	138	257	702	30	30	0
ASV_223	70	271	517	192	91	89	159	26	88	104	335	28	189	143	175	27	62	31
ASV_508	122	156	316	99	63	32	40	74	71	105	69	146	104	156	99	73	84	60
ASV_137	120	338	204	194	131	54	117	60	55	37	197	12	132	83	125	38	131	3
ASV_1129	182	17	0	111	44	30	66	61	17	82	118	0	28	32	316	37	60	101
ASV_513	202	11	38	9	216	78	143	110	62	118	909	81	137	84	192	11	25	35
ASV_24	344	602	1479	297	498	268	423	240	320	506	470	197	288	239	676	115	158	248
ASV_183	142	146	351	102	67	48	76	33	71	100	58	0	5	47	185	2	25	5
ASV_674	34	267	457	184	19	14	41	8	55	42	0	0	24	11	89	18	28	24
ASV_320	313	22	29	75	186	117	156	112	100	194	91	100	142	256	297	38	36	109
ASV_361	157	14	4	27	164	131	142	97	74	179	78	73	198	204	354	55	35	23
ASV_1489	145	0	6	0	91	31	109	27	31	35	60	139	198	247	232	0	0	0
ASV_105	196	316	157	117	160	211	243	131	98	123	296	63	65	116	266	66	280	671
ASV_352	242	128	123	144	170	198	109	78	111	250	577	48	113	150	30	46	45	57
ASV_136	507	184	173	323	511	115	359	243	319	322	162	230	277	262	654	216	454	518
ASV_307	53	87	135	85	71	27	62	39	45	121	131	143	352	188	137	13	44	19
ASV_328	185	235	293	117	245	192	263	136	183	166	295	67	194	218	71	54	47	53
ASV_63	273	148	121	98	149	61	148	120	112	119	398	94	134	154	291	348	188	353
ASV_858	30	45	165	193	74	115	294	88	77	83	148	35	133	179	86	263	249	43
ASV_923	100	34	62	27	61	61	91	76	141	59	129	114	166	127	114	20	53	24
ASV_492	90	275	1	140	46	14	49	26	12	9	14	2	10	14	111	255	801	596
ASV_403	72	83	290	139	63	58	113	42	81	54	60	52	96	81	44	85	58	24
ASV_535	58	36	39	43	68	70	128	79	91	56	101	46	111	115	159	125	130	51
ASV_124	212	135	293	188	183	182	357	153	267	159	365	144	452	324	259	296	272	94
ASV_798	42	138	101	92	55	31	35	31	48	32	61	0	21	19	81	26	122	246
ASV_22	832	478	595	650	702	554	422	529	792	944	775	810	1216	1021	1414	747	785	847
ASV_93	240	190	149	208	140	141	89	94	170	171	141	137	181	115	648	384	635	993
