,num,err.mean,err.1,err.2,err.3,err.4,err.5
300,300,0,0,0,0,0,0
270,270,0,0,0,0,0,0
243,243,0,0,0,0,0,0
219,219,0,0,0,0,0,0
197,197,0,0,0,0,0,0
177,177,0,0,0,0,0,0
159,159,0,0,0,0,0,0
143,143,0,0,0,0,0,0
129,129,0,0,0,0,0,0
116,116,0,0,0,0,0,0
105,105,0,0,0,0,0,0
94,94,0,0,0,0,0,0
85,85,0,0,0,0,0,0
76,76,0,0,0,0,0,0
69,69,0,0,0,0,0,0
62,62,0,0,0,0,0,0
56,56,0,0,0,0,0,0
50,50,0,0,0,0,0,0
45,45,0,0,0,0,0,0
41,41,0,0,0,0,0,0
36,36,0.0166666666666667,0,0.0833333333333333,0,0,0
33,33,0,0,0,0,0,0
30,30,0,0,0,0,0,0
27,27,0.0166666666666667,0,0.0833333333333333,0,0,0
24,24,0,0,0,0,0,0
22,22,0,0,0,0,0,0
19,19,0,0,0,0,0,0
17,17,0.0166666666666667,0.0833333333333333,0,0,0,0
16,16,0.0333333333333333,0.0833333333333333,0.0833333333333333,0,0,0
14,14,0.0333333333333333,0.0833333333333333,0.0833333333333333,0,0,0
13,13,0.0166666666666667,0.0833333333333333,0,0,0,0
11,11,0.0333333333333333,0.0833333333333333,0.0833333333333333,0,0,0
10,10,0.0333333333333333,0.0833333333333333,0.0833333333333333,0,0,0
9,9,0.0166666666666667,0.0833333333333333,0,0,0,0
8,8,0.05,0.166666666666667,0.0833333333333333,0,0,0
7,7,0.05,0.166666666666667,0,0.0833333333333333,0,0
6,6,0.05,0.166666666666667,0.0833333333333333,0,0,0
5,5,0.05,0.166666666666667,0.0833333333333333,0,0,0
4,4,0.05,0.166666666666667,0.0833333333333333,0,0,0
3,3,0.0333333333333333,0.0833333333333333,0.0833333333333333,0,0,0
2,2,0.05,0.25,0,0,0,0
1,1,0.0666666666666667,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0
