,Group2,Group3,MeanDecreaseAccuracy,MeanDecreaseGini,id,Kingdom,Phylum,Class,Order,Family,Genus,Species,iid
ASV_23,2.29,2.26,2.43,0.07,ASV_23,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,1
ASV_61,2.35,2.42,2.42,0.08,ASV_61,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella_occulta,2
ASV_1180,2.29,2.43,2.41,0.11,ASV_1180,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,3
ASV_1339,2.23,2.31,2.41,0.07,ASV_1339,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Unassigned,4
ASV_970,2.36,2.3,2.37,0.07,ASV_970,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned,5
ASV_82,2.18,2.07,2.23,0.06,ASV_82,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Unassigned,Unassigned,6
ASV_370,2.1,2.2,2.22,0.06,ASV_370,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unassigned,Unassigned,7
ASV_186,2.04,2.09,2.18,0.07,ASV_186,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unassigned,Unassigned,Gp1,Unassigned,8
ASV_316,2.1,2.22,2.18,0.07,ASV_316,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unassigned,Unassigned,Gp6,Unassigned,9
ASV_424,2.15,2,2.18,0.09,ASV_424,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_oxalaticus,10
ASV_608,2.04,2.09,2.11,0.07,ASV_608,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Unassigned,Unassigned,11
ASV_272,2.02,2.09,2.07,0.06,ASV_272,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,Unassigned,12
ASV_1032,2.01,1.99,2,0.05,ASV_1032,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Unassigned,13
ASV_85,1.97,1.84,2,0.05,ASV_85,Archaea,Thaumarchaeota,Unassigned,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unassigned,14
ASV_30,1.94,1.88,1.98,0.07,ASV_30,Bacteria,Acidobacteria,Acidobacteria_Gp3,Unassigned,Unassigned,Gp3,Unassigned,15
ASV_206,1.94,1.9,1.97,0.06,ASV_206,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unassigned,Unassigned,Gp1,Unassigned,16
ASV_3,1.9,1.98,1.97,0.07,ASV_3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_soli,17
ASV_313,1.84,1.84,1.97,0.07,ASV_313,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unassigned,Unassigned,Gp6,Unassigned,18
ASV_244,1.79,1.84,1.96,0.05,ASV_244,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,19
ASV_39,1.81,1.79,1.95,0.06,ASV_39,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,20
ASV_589,1.85,1.97,1.95,0.07,ASV_589,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unassigned,Unassigned,21
ASV_103,1.9,1.9,1.94,0.07,ASV_103,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas,Terrimonas_lutea,22
ASV_423,1.9,1.85,1.89,0.05,ASV_423,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella_occulta,23
ASV_16,1.74,1.95,1.87,0.06,ASV_16,Bacteria,Acidobacteria,Acidobacteria_Gp2,Unassigned,Unassigned,Gp2,Unassigned,24
ASV_74,1.79,1.85,1.84,0.07,ASV_74,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,25
ASV_290,1.71,1.7,1.74,0.04,ASV_290,Bacteria,Proteobacteria,Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,26
ASV_161,1.67,1.67,1.73,0.04,ASV_161,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,Rhodanobacter_umsongensis,27
ASV_359,1.71,1.71,1.73,0.03,ASV_359,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Pseudogulbenkiania,Pseudogulbenkiania_gefcensis,28
ASV_1159,1.72,1.67,1.72,0.04,ASV_1159,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,29
ASV_53,1.64,1.64,1.72,0.06,ASV_53,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unassigned,Unassigned,30
ASV_169,1.71,1.64,1.7,0.08,ASV_169,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unassigned,Unassigned,31
ASV_188,1.51,1.64,1.7,0.03,ASV_188,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Chryseolinea,Chryseolinea_serpens,32
ASV_213,1.61,1.53,1.7,0.07,ASV_213,Bacteria,Bacteroidetes,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,33
ASV_228,1.64,1.71,1.7,0.07,ASV_228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,Unassigned,34
ASV_707,1.68,1.72,1.7,0.05,ASV_707,Bacteria,Acidobacteria,Acidobacteria_Gp3,Unassigned,Unassigned,Unassigned,Unassigned,35
ASV_400,1.7,1.57,1.68,0.06,ASV_400,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_composti,36
ASV_442,1.67,1.61,1.68,0.05,ASV_442,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Unassigned,37
ASV_47,1.67,1.68,1.68,0.05,ASV_47,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,38
ASV_312,1.67,1.61,1.67,0.04,ASV_312,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned,Unassigned,39
ASV_6,1.63,1.67,1.66,0.03,ASV_6,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,40
