"","Sample","Abundance","aa","Group"
"1","sample3",7.39015970811212,"Proteobacteria","Group1"
"2","sample5",6.67505887124108,"Proteobacteria","Group1"
"3","sample1",6.6150555773112,"Proteobacteria","Group1"
"4","sample4",6.26200685788768,"Proteobacteria","Group1"
"5","sample2",6.14990721011753,"Proteobacteria","Group1"
"6","sample6",6.14520848757737,"Proteobacteria","Group1"
"7","sample2",3.04452482415744,"Unassigned","Group1"
"8","sample6",2.99441195876081,"Unassigned","Group1"
"9","sample4",2.89756863442126,"Unassigned","Group1"
"10","sample2",2.83037780374367,"Acidobacteria","Group1"
"11","sample1",2.7532608368226,"Acidobacteria","Group1"
"12","sample5",2.73427497716935,"Unassigned","Group1"
"13","sample4",2.7148644345205,"Acidobacteria","Group1"
"14","sample3",2.59170653907496,"Unassigned","Group1"
"15","sample5",2.52113962289843,"Acidobacteria","Group1"
"16","sample1",2.46424543047732,"Unassigned","Group1"
"17","sample6",2.45676130325512,"Acidobacteria","Group1"
"18","sample3",2.32341438902362,"Acidobacteria","Group1"
"19","sample1",1.17413554772352,"Bacteroidetes","Group1"
"20","sample5",1.03866482541402,"Bacteroidetes","Group1"
"21","sample4",0.999355684418672,"Bacteroidetes","Group1"
"22","sample2",0.975868902788279,"Bacteroidetes","Group1"
"23","sample6",0.932641312723811,"Bacteroidetes","Group1"
"24","sample3",0.8965283694916,"Bacteroidetes","Group1"
"25","sample6",0.807168507522073,"Verrucomicrobia","Group1"
"26","sample3",0.733106115225798,"Actinobacteria","Group1"
"27","sample2",0.704802162806149,"Verrucomicrobia","Group1"
"28","sample6",0.696049841600814,"Actinobacteria","Group1"
"29","sample4",0.691046975790027,"Actinobacteria","Group1"
"30","sample2",0.628050037803285,"Gemmatimonadetes","Group1"
"31","sample1",0.625809561104919,"Verrucomicrobia","Group1"
"32","sample6",0.61892782134385,"Planctomycetes","Group1"
"33","sample5",0.576797552495682,"Verrucomicrobia","Group1"
"34","sample3",0.56859146621223,"Gemmatimonadetes","Group1"
"35","sample1",0.558701756852192,"Actinobacteria","Group1"
"36","sample1",0.545648368493806,"Planctomycetes","Group1"
"37","sample4",0.539817962333459,"Gemmatimonadetes","Group1"
"38","sample5",0.52203360730107,"Actinobacteria","Group1"
"39","sample5",0.512412914226341,"Planctomycetes","Group1"
"40","sample4",0.50486199056485,"Verrucomicrobia","Group1"
"41","sample5",0.497537842626183,"Gemmatimonadetes","Group1"
"42","sample2",0.496955689967237,"Planctomycetes","Group1"
"43","sample4",0.482644211898361,"Planctomycetes","Group1"
"44","sample3",0.441655196521815,"Verrucomicrobia","Group1"
"45","sample1",0.424988201745138,"Firmicutes","Group1"
"46","sample1",0.410428653191553,"Gemmatimonadetes","Group1"
"47","sample2",0.376028134808807,"Actinobacteria","Group1"
"48","sample6",0.357468433484933,"Gemmatimonadetes","Group1"
"49","sample3",0.35622992724651,"Planctomycetes","Group1"
"50","sample3",0.345633698193179,"Firmicutes","Group1"
"51","sample5",0.31111841297047,"Thaumarchaeota","Group1"
"52","sample4",0.292015670939886,"Thaumarchaeota","Group1"
"53","sample2",0.24779767223406,"Thaumarchaeota","Group1"
"54","sample6",0.242572362489864,"Thaumarchaeota","Group1"
"55","sample2",0.224958187275185,"Firmicutes","Group1"
"56","sample4",0.224547683055981,"Firmicutes","Group1"
"57","sample5",0.207436943757428,"Firmicutes","Group1"
"58","sample6",0.20511309550791,"Firmicutes","Group1"
"59","sample5",0.204476730503665,"others","Group1"
"60","sample5",0.201590522581247,"others","Group1"
"61","sample6",0.186289026890088,"others","Group1"
"62","sample6",0.185659459377786,"others","Group1"
"63","sample1",0.185341379575798,"Thaumarchaeota","Group1"
"64","sample6",0.179426741005999,"others","Group1"
"65","sample1",0.177726903033407,"others","Group1"
"66","sample4",0.16996600679864,"others","Group1"
"67","sample2",0.169112424679818,"others","Group1"
"68","sample3",0.16538856481178,"Thaumarchaeota","Group1"
"69","sample3",0.164405409538791,"others","Group1"
"70","sample2",0.163026668499553,"others","Group1"
"71","sample3",0.162111380568482,"others","Group1"
"72","sample6",0.15493656477746,"others","Group1"
"73","sample2",0.154721401241781,"others","Group1"
"74","sample4",0.154339502469876,"others","Group1"
"75","sample1",0.141495382782246,"others","Group1"
"76","sample4",0.141231013056648,"others","Group1"
"77","sample4",0.138490820354448,"others","Group1"
"78","sample5",0.134615697714863,"others","Group1"
"79","sample3",0.134364553975225,"others","Group1"
"80","sample6",0.132523961339518,"others","Group1"
"81","sample4",0.125752627252327,"others","Group1"
"82","sample5",0.125735057953575,"others","Group1"
"83","sample1",0.119990762217469,"others","Group1"
"84","sample4",0.116124923163515,"others","Group1"
"85","sample2",0.11355305061058,"others","Group1"
"86","sample5",0.110489959696697,"others","Group1"
"87","sample1",0.11003336981588,"others","Group1"
"88","sample3",0.108474798453169,"others","Group1"
"89","sample2",0.106464934588861,"others","Group1"
"90","sample1",0.106267969327884,"others","Group1"
"91","sample5",0.104273511863795,"others","Group1"
"92","sample6",0.101360369480582,"others","Group1"
"93","sample6",0.100541931714589,"others","Group1"
"94","sample4",0.0936849667103616,"others","Group1"
"95","sample6",0.0849916141607361,"others","Group1"
"96","sample1",0.0841776197983084,"others","Group1"
"97","sample2",0.0801171901848924,"others","Group1"
"98","sample3",0.0785431823643792,"others","Group1"
"99","sample3",0.0740643638985384,"others","Group1"
"100","sample2",0.0699503975072743,"others","Group1"
"101","sample1",0.0644301861279299,"others","Group1"
"102","sample5",0.0626825156484273,"others","Group1"
"103","sample5",0.0606103663707933,"others","Group1"
"104","sample2",0.0602131876188512,"others","Group1"
"105","sample4",0.0512490094573678,"others","Group1"
"106","sample3",0.0485023268008127,"others","Group1"
"107","sample3",0.0446789451836316,"others","Group1"
"108","sample1",0.0433439433951528,"others","Group1"
"109","sample6",0.0426846773340586,"others","Group1"
"110","sample2",0.0335074575572204,"others","Group1"
"111","sample1",0.0255210477519722,"others","Group1"
"112","sample5",0.023237674042038,"others","Group1"
"113","sample4",0.022810252764262,"others","Group1"
"114","sample4",0.0202922378487265,"others","Group1"
"115","sample5",0.0180573008479531,"others","Group1"
"116","sample3",0.0135456948722991,"others","Group1"
"117","sample6",0.012591350246035,"others","Group1"
"118","sample6",0.0122765664898841,"others","Group1"
"119","sample3",0.0109239474776605,"others","Group1"
"120","sample2",0.0105963754668133,"others","Group1"
"121","sample2",0.00902123857309781,"others","Group1"
"122","sample1",0.00820020550719108,"others","Group1"
"123","sample1",0.00786550324159144,"others","Group1"
"124","sample1",0.00786550324159144,"others","Group1"
"125","sample6",0.00780663715254169,"others","Group1"
"126","sample2",0.00780408733704493,"others","Group1"
"127","sample5",0.00754854379709514,"others","Group1"
"128","sample4",0.00681345212438994,"others","Group1"
"129","sample4",0.00651721507550342,"others","Group1"
"130","sample1",0.00619199191359326,"others","Group1"
"131","sample5",0.00547639451946118,"others","Group1"
"132","sample6",0.00497358334718382,"others","Group1"
"133","sample2",0.00479700781267899,"others","Group1"
"134","sample3",0.00426033951628761,"others","Group1"
"135","sample6",0.00333670781519927,"others","Group1"
"136","sample4",0.00281425196442193,"others","Group1"
"137","sample5",0.00244217593435431,"others","Group1"
"138","sample5",0.0022201599403221,"others","Group1"
"139","sample3",0.00218478949553211,"others","Group1"
"140","sample3",0.0020755500207555,"others","Group1"
"141","sample2",0.00200471968291062,"others","Group1"
"142","sample1",0.00192453802719791,"others","Group1"
"143","sample4",0.00177742229331911,"others","Group1"
"144","sample3",0.00152935264687247,"others","Group1"
"145","sample4",0.00148118524443259,"others","Group1"
"146","sample4",0.00140712598221097,"others","Group1"
"147","sample5",0.00140610129553733,"others","Group1"
"148","sample3",0.00120163422254266,"others","Group1"
"149","sample3",0.00120163422254266,"others","Group1"
"150","sample1",0.00117145792959873,"others","Group1"
"151","sample3",0.00109239474776605,"others","Group1"
"152","sample2",0.00107395697298783,"others","Group1"
"153","sample5",0.00103607463881698,"others","Group1"
"154","sample5",0.00103607463881698,"others","Group1"
"155","sample1",0.00100410679679891,"others","Group1"
"156","sample4",0.000888711146659557,"others","Group1"
"157","sample2",0.000859165578390267,"others","Group1"
"158","sample5",0.00081405864478477,"others","Group1"
"159","sample3",0.000764676323436237,"others","Group1"
"160","sample5",0.0007400533134407,"others","Group1"
"161","sample6",0.000692524263531924,"others","Group1"
"162","sample4",0.000592474097773038,"others","Group1"
"163","sample5",0.00059204265075256,"others","Group1"
"164","sample1",0.000585728964799363,"others","Group1"
"165","sample4",0.000518414835551408,"others","Group1"
"166","sample5",0.00044403198806442,"others","Group1"
"167","sample1",0.000418377831999545,"others","Group1"
"168","sample1",0.000418377831999545,"others","Group1"
"169","sample4",0.000370296311108149,"others","Group1"
"170","sample5",0.00037002665672035,"others","Group1"
"171","sample2",0.000357985657662611,"others","Group1"
"172","sample1",0.000334702265599636,"others","Group1"
"173","sample4",0.000296237048886519,"others","Group1"
"174","sample4",0.000222177786664889,"others","Group1"
"175","sample3",0.000218478949553211,"others","Group1"
"176","sample2",0.000214791394597567,"others","Group1"
"177","sample4",0.000148118524443259,"others","Group1"
"178","sample4",0.000148118524443259,"others","Group1"
"179","sample5",0.00014801066268814,"others","Group1"
"180","sample6",0.00012591350246035,"others","Group1"
"181","sample6",0.00012591350246035,"others","Group1"
"182","sample3",0.000109239474776605,"others","Group1"
"183","sample1",8.3675566399909e-05,"others","Group1"
"184","sample5",7.400533134407e-05,"others","Group1"
"185","sample5",7.400533134407e-05,"others","Group1"
"186","sample3",0,"others","Group1"
"187","sample2",0,"others","Group1"
"188","sample4",0,"others","Group1"
"189","sample3",0,"others","Group1"
"190","sample6",0,"others","Group1"
"191","sample2",0,"others","Group1"
"192","sample1",0,"others","Group1"
"193","sample5",0,"others","Group1"
"194","sample6",0,"others","Group1"
"195","sample3",0,"others","Group1"
"196","sample4",0,"others","Group1"
"197","sample6",0,"others","Group1"
"198","sample1",0,"others","Group1"
"199","sample2",0,"others","Group1"
"200","sample3",0,"others","Group1"
"201","sample4",0,"others","Group1"
"202","sample6",0,"others","Group1"
"203","sample2",0,"others","Group1"
"204","sample6",0,"others","Group1"
"205","sample1",0,"others","Group1"
"206","sample3",0,"others","Group1"
"207","sample2",0,"others","Group1"
"208","sample3",0,"others","Group1"
"209","sample6",0,"others","Group1"
"210","sample1",0,"others","Group1"
"211","sample2",0,"others","Group1"
"212","sample6",0,"others","Group1"
"213","sample2",0,"others","Group1"
"214","sample3",0,"others","Group1"
"215","sample5",0,"others","Group1"
"216","sample6",0,"others","Group1"
"217","sample1",0,"others","Group1"
"218","sample4",0,"others","Group1"
"219","sample2",0,"others","Group1"
"220","sample1",0,"others","Group1"
"221","sample6",0,"others","Group1"
"222","sample3",0,"others","Group1"
"223","sample4",0,"others","Group1"
"224","sample1",0,"others","Group1"
"225","sample5",0,"others","Group1"
"226","sample6",0,"others","Group1"
"227","sample2",0,"others","Group1"
"228","sample2",0,"others","Group1"
"229","sample6",0,"others","Group1"
"230","sample5",0,"others","Group1"
"231","sample6",0,"others","Group1"
"232","sample2",0,"others","Group1"
"233","sample3",0,"others","Group1"
"234","sample1",0,"others","Group1"
"235","sample7",7.41717349475402,"Proteobacteria","Group2"
"236","sample12",7.26335191189387,"Proteobacteria","Group2"
"237","sample11",7.16180126232523,"Proteobacteria","Group2"
"238","sample10",6.65292785493119,"Proteobacteria","Group2"
"239","sample8",6.22299580526096,"Proteobacteria","Group2"
"240","sample9",6.00402764428578,"Proteobacteria","Group2"
