,ID,group,dd,stat,y
1,KO1,KO,0.000270823302840636,b,0.000578649031648559
2,KO2,KO,0.00011069600110696,b,0.000578649031648559
3,KO3,KO,0.000154039690893687,b,0.000578649031648559
4,KO4,KO,0.000551094315855771,b,0.000578649031648559
5,KO5,KO,7.70218228498074e-05,b,0.000578649031648559
6,KO6,KO,0.000108266118118335,b,0.000578649031648559
7,WT1,WT,0.000187170779967379,a,0.000214725495760167
8,WT2,WT,2.60504858415609e-05,a,0.000214725495760167
9,WT3,WT,2.73425751237252e-05,a,0.000214725495760167
10,WT4,WT,5.41741156075627e-05,a,0.000214725495760167
11,WT5,WT,0,a,0.000214725495760167
12,WT6,WT,0,a,0.000214725495760167
