,Sample,Abundance,aa,Group
1,KO6,0.0135332647647919,Bacillus,KO
2,KO2,0.00322863336561967,Microvirga,KO
3,KO2,0.001383700013837,Unassigned,KO
4,KO4,0.00131212932346612,Unassigned,KO
5,KO6,0.000902217650986124,Unassigned,KO
6,KO3,0.000855776060520483,Unassigned,KO
7,KO1,0.000501524634890066,Bacillus,KO
8,KO1,0.000501524634890066,Microvirga,KO
9,KO1,0.000501524634890066,Unassigned,KO
10,KO2,0.000461233337945667,Bacillus,KO
11,KO4,0.000437376441155374,Microvirga,KO
12,KO3,0,Bacillus,KO
13,KO4,0,Bacillus,KO
14,KO5,0,Bacillus,KO
15,KO5,0,Microvirga,KO
16,KO6,0,Microvirga,KO
17,KO3,0,Microvirga,KO
18,KO5,0,Unassigned,KO
19,OE6,0.00156011107990889,Bacillus,OE
20,OE1,0.00154144957918426,Microvirga,OE
21,OE1,0.00102763305278951,Unassigned,OE
22,OE4,0.00101187946491814,Unassigned,OE
23,OE5,0.00100055030266647,Bacillus,OE
24,OE1,0.000513816526394755,Bacillus,OE
25,OE4,0.000505939732459069,Microvirga,OE
26,OE2,0.000502189546422402,Bacillus,OE
27,OE2,0.000502189546422402,Unassigned,OE
28,OE5,0.000500275151333233,Unassigned,OE
29,OE3,0.000481250481250481,Bacillus,OE
30,OE3,0.000481250481250481,Unassigned,OE
31,OE4,0,Bacillus,OE
32,OE5,0,Microvirga,OE
33,OE6,0,Microvirga,OE
34,OE2,0,Microvirga,OE
35,OE3,0,Microvirga,OE
36,OE6,0,Unassigned,OE
