,Sample,Abundance,aa,Group
1,OE1,0.276947107726773,Unassigned,OE
2,OE2,0.274697681893054,Unassigned,OE
3,OE6,0.230896439826516,Unassigned,OE
4,OE4,0.194786796996742,Unassigned,OE
5,OE5,0.180099054479964,Unassigned,OE
6,OE3,0.167956417956418,Unassigned,OE
7,OE1,0.125885048966715,Paenibacillus,OE
8,OE2,0.0682977783134466,Paenibacillus,OE
9,OE4,0.0430048772590209,Paenibacillus,OE
10,OE3,0.0327250327250327,Streptomyces,OE
11,OE1,0.0195250280030007,Ohtaekwangia,OE
12,OE2,0.0175766341247841,Flavobacterium,OE
13,OE3,0.0173250173250173,Flavobacterium,OE
14,OE6,0.0171612218789978,others,OE
15,OE4,0.0166960111711493,Flavobacterium,OE
16,OE5,0.0165090799939967,Tumebacillus,OE
17,OE2,0.015065686392672,Blastopirellula,OE
18,OE5,0.0130071539346641,others,OE
19,OE1,0.0128454131598689,Streptomyces,OE
20,OE3,0.0115500115500115,others,OE
21,OE2,0.0110481700212928,Dactylosporangium,OE
22,OE1,0.0102763305278951,others,OE
23,OE5,0.0100055030266647,Flavobacterium,OE
24,OE5,0.00950522787533143,Streptomyces,OE
25,OE1,0.00924869747510559,others,OE
26,OE6,0.00884062945281704,others,OE
27,OE6,0.00884062945281704,Ohtaekwangia,OE
28,OE6,0.00884062945281704,Paenibacillus,OE
29,OE1,0.00873488094871083,others,OE
30,OE6,0.00832059242618075,others,OE
31,OE6,0.00832059242618075,Blastopirellula,OE
32,OE3,0.00818125818125818,Subdivision3_genera_incertae_sedis,OE
33,OE4,0.00809503571934511,Subdivision3_genera_incertae_sedis,OE
34,OE2,0.00803503274275843,others,OE
35,OE3,0.0077000077000077,Ohtaekwangia,OE
36,OE4,0.00758909598688604,Ohtaekwangia,OE
37,OE2,0.00753284319633603,Ohtaekwangia,OE
38,OE2,0.00753284319633602,others,OE
39,OE6,0.00728051837290815,others,OE
40,OE1,0.00667961484313181,others,OE
41,OE5,0.00650357696733203,others,OE
42,OE3,0.00625625625625626,others,OE
43,OE1,0.00616579831673706,others,OE
44,OE1,0.0056519817903423,others,OE
45,OE1,0.0056519817903423,Tumebacillus,OE
46,OE5,0.00550302666466557,others,OE
47,OE6,0.00520037026636297,Streptomyces,OE
48,OE6,0.00520037026636297,Subdivision3_genera_incertae_sedis,OE
49,OE6,0.00520037026636296,others,OE
50,OE6,0.00520037026636296,others,OE
51,OE1,0.00513816526394755,others,OE
52,OE1,0.00513816526394755,Subdivision3_genera_incertae_sedis,OE
53,OE5,0.00500275151333233,Ohtaekwangia,OE
54,OE5,0.00500275151333233,others,OE
55,OE3,0.00481250481250481,others,OE
56,OE3,0.00481250481250481,Paenibacillus,OE
57,OE6,0.00468033323972667,Flavobacterium,OE
58,OE6,0.00468033323972667,others,OE
59,OE1,0.00462434873755279,Flavobacterium,OE
60,OE1,0.00462434873755279,others,OE
61,OE4,0.00455345759213163,others,OE
62,OE4,0.00455345759213162,others,OE
63,OE2,0.00451970591780161,others,OE
64,OE5,0.0045024763619991,Blastopirellula,OE
65,OE3,0.00433125433125433,others,OE
66,OE1,0.00411053221115804,Blastopirellula,OE
67,OE1,0.00411053221115804,others,OE
68,OE1,0.00411053221115804,others,OE
