,Sample,Abundance,aa,Group
1,KO6,7.07067973077825,Unassigned,KO
2,KO2,6.88667496886675,Unassigned,KO
3,KO1,6.81722436206066,Unassigned,KO
4,KO4,6.27766405990308,Unassigned,KO
5,KO5,6.10440735986307,Unassigned,KO
6,KO3,5.77477685639222,Unassigned,KO
7,KO5,1.3209242618742,Pelomonas,KO
8,KO3,1.12748495973574,Flavobacterium,KO
9,KO5,1.07531022678648,Rhizobacter,KO
10,KO3,1.05388821853097,Pelomonas,KO
11,KO1,1.00605841758947,Pelomonas,KO
12,KO1,1.00355079441502,Rhizobacter,KO
13,KO4,0.990220262775766,Pelomonas,KO
14,KO2,0.885106775517734,Lentzea,KO
15,KO6,0.860264530215269,Pelomonas,KO
16,KO5,0.731707317073171,Flavobacterium,KO
17,KO4,0.726482268759075,Rhizobacter,KO
18,KO6,0.613959111496057,Rhizobacter,KO
19,KO3,0.613591435393186,Rhizobacter,KO
20,KO2,0.58438263917716,Pelomonas,KO
21,KO3,0.542562022369986,others,KO
22,KO3,0.536571589946343,Streptomyces,KO
23,KO4,0.52747598803338,others,KO
24,KO5,0.512623020967052,others,KO
25,KO1,0.503530733429626,Streptomyces,KO
26,KO2,0.495364604953646,Actinoplanes,KO
27,KO2,0.476915271435819,others,KO
28,KO5,0.463842533162174,others,KO
29,KO2,0.460310871269775,Streptomyces,KO
30,KO3,0.453133424045596,Lentzea,KO
31,KO1,0.447359974321939,Steroidobacter,KO
32,KO6,0.440282213681228,others,KO
33,KO3,0.420613933745817,others,KO
34,KO1,0.416766971593645,Lentzea,KO
35,KO6,0.412313466500659,Lentzea,KO
36,KO4,0.399324690774856,others,KO
37,KO2,0.396660670633273,Rhizobacter,KO
38,KO6,0.396524657608401,Actinoplanes,KO
39,KO3,0.391945435718381,Nocardioides,KO
40,KO2,0.391587103915871,Bradyrhizobium,KO
41,KO2,0.389280937226143,Nocardioides,KO
42,KO5,0.38382541720154,Lentzea,KO
43,KO4,0.38008012736402,others,KO
44,KO4,0.379642750922864,Flavobacterium,KO
45,KO4,0.377455868717087,Streptomyces,KO
46,KO6,0.368555910427832,others,KO
47,KO2,0.366680503666805,Steroidobacter,KO
48,KO4,0.362147693276649,Lentzea,KO
49,KO4,0.361710316835494,others,KO
50,KO4,0.354274917335853,others,KO
51,KO3,0.349584520722617,Bradyrhizobium,KO
52,KO6,0.348707122106137,Nocardioides,KO
53,KO6,0.342391598549234,Bradyrhizobium,KO
54,KO6,0.342391598549234,Steroidobacter,KO
55,KO1,0.339030653185684,Bradyrhizobium,KO
56,KO6,0.335624966166838,Streptomyces,KO
57,KO4,0.333280848160395,Actinoplanes,KO
58,KO3,0.326478567088564,others,KO
59,KO4,0.320596931366889,Nocardioides,KO
60,KO1,0.315960519980741,Actinoplanes,KO
61,KO5,0.313222079589217,Bradyrhizobium,KO
62,KO3,0.310218821938675,Steroidobacter,KO
63,KO6,0.306754001335282,others,KO
64,KO6,0.296378498348942,Flavobacterium,KO
65,KO1,0.289881238966458,others,KO
66,KO5,0.287976037655113,others,KO
67,KO3,0.281122435880979,others,KO
68,KO4,0.28079567522175,Steroidobacter,KO
69,KO1,0.274835499919756,Nocardioides,KO
70,KO5,0.270004278990158,others,KO
71,KO4,0.268111758428244,others,KO
72,KO5,0.267864783910997,Nocardioides,KO
73,KO6,0.263447554087948,others,KO
74,KO2,0.262441769291084,Flavobacterium,KO
75,KO4,0.259364229605137,Bradyrhizobium,KO
76,KO3,0.254593378004844,others,KO
77,KO1,0.240731824747232,others,KO
78,KO4,0.238370160429679,others,KO
79,KO3,0.237905744824694,Actinoplanes,KO
80,KO1,0.236719627668111,others,KO
81,KO1,0.235716578398331,Flavobacterium,KO
82,KO5,0.230209670517758,others,KO
83,KO5,0.229781771501926,others,KO
84,KO5,0.227642276422764,others,KO
85,KO6,0.209765603854274,others,KO
86,KO5,0.209670517757809,others,KO
87,KO5,0.203252032520325,Steroidobacter,KO
88,KO1,0.201612903225806,others,KO
89,KO2,0.199714035330474,others,KO
90,KO2,0.196024168626908,others,KO
91,KO5,0.192554557124519,others,KO
92,KO4,0.192008257667209,others,KO
93,KO2,0.191873068585397,others,KO
94,KO6,0.189014597881593,others,KO
95,KO3,0.184847629072424,others,KO
96,KO2,0.184493335178267,others,KO
97,KO2,0.180803468474701,others,KO
98,KO5,0.178005990586222,Streptomyces,KO
99,KO2,0.170195101701951,others,KO
100,KO4,0.16926468272713,others,KO
101,KO1,0.168512277323062,others,KO
102,KO5,0.167736414206247,others,KO
103,KO4,0.166203047639042,others,KO
104,KO4,0.165328294756731,others,KO
105,KO1,0.162995506339271,others,KO
106,KO4,0.162266659668644,others,KO
107,KO3,0.16003012331733,others,KO
108,KO1,0.159484833895041,others,KO
109,KO1,0.159484833895041,others,KO
110,KO5,0.154899443731279,others,KO
111,KO5,0.154043645699615,Actinoplanes,KO
112,KO3,0.151900250742386,others,KO
113,KO5,0.150620453572957,others,KO
114,KO6,0.15021923888919,others,KO
115,KO4,0.148270613551672,others,KO
116,KO3,0.148049258470044,others,KO
117,KO6,0.143452606506794,others,KO
118,KO6,0.141197062379328,others,KO
119,KO1,0.140928422404108,others,KO
120,KO2,0.139753701397537,others,KO
121,KO6,0.137137082949891,others,KO
122,KO3,0.136496281653017,others,KO
123,KO1,0.134910126785428,others,KO
124,KO5,0.134788189987163,others,KO
125,KO3,0.134356841501716,others,KO
126,KO2,0.134218901342189,others,KO
127,KO3,0.130505849229374,others,KO
128,KO4,0.12858867369968,others,KO
129,KO1,0.126885732627187,others,KO
130,KO2,0.126839167935058,others,KO
131,KO6,0.12676157996355,others,KO
132,KO3,0.125371192866251,others,KO
133,KO3,0.12365964074521,others,KO
134,KO1,0.123375060182956,others,KO
135,KO5,0.121951219512195,others,KO
136,KO6,0.119994947581154,others,KO
137,KO6,0.117739403453689,others,KO
138,KO2,0.116692034500254,others,KO
139,KO3,0.111678775897923,others,KO
140,KO6,0.1105216622458,others,KO
141,KO5,0.109114249037227,others,KO
142,KO1,0.107827796501364,others,KO
143,KO2,0.107006134403395,others,KO
144,KO6,0.105108356339883,others,KO
145,KO2,0.104699967713666,others,KO
146,KO2,0.104238734375721,others,KO
