"","ID","i","index","Group"
"sample1","sample1",100,96,"Group1"
"sample10","sample10",100,94,"Group2"
"sample11","sample11",100,95,"Group2"
"sample12","sample12",100,96,"Group2"
"sample13","sample13",100,96,"Group3"
"sample14","sample14",100,93,"Group3"
"sample15","sample15",100,96,"Group3"
"sample16","sample16",100,93,"Group3"
"sample17","sample17",100,95,"Group3"
"sample18","sample18",100,97,"Group3"
"sample2","sample2",100,96,"Group1"
"sample3","sample3",100,96,"Group1"
"sample4","sample4",100,94,"Group1"
"sample5","sample5",100,96,"Group1"
"sample6","sample6",100,95,"Group1"
"sample7","sample7",100,96,"Group2"
"sample8","sample8",100,85,"Group2"
"sample9","sample9",100,88,"Group2"
"sample19","sample1",3100,1595,"Group1"
"sample101","sample10",3100,1524,"Group2"
"sample111","sample11",3100,1493,"Group2"
"sample121","sample12",3100,1645,"Group2"
"sample131","sample13",3100,1703,"Group3"
"sample141","sample14",3100,1787,"Group3"
"sample151","sample15",3100,1708,"Group3"
"sample161","sample16",3100,1699,"Group3"
"sample171","sample17",3100,1713,"Group3"
"sample181","sample18",3100,1709,"Group3"
"sample21","sample2",3100,1535,"Group1"
"sample31","sample3",3100,1644,"Group1"
"sample41","sample4",3100,1701,"Group1"
"sample51","sample5",3100,1760,"Group1"
"sample61","sample6",3100,1594,"Group1"
"sample71","sample7",3100,1423,"Group2"
"sample81","sample8",3100,1556,"Group2"
"sample91","sample9",3100,1307,"Group2"
"sample110","sample1",6100,2495,"Group1"
"sample102","sample10",6100,2336,"Group2"
"sample112","sample11",6100,2265,"Group2"
"sample122","sample12",6100,2564,"Group2"
"sample132","sample13",6100,2738,"Group3"
"sample142","sample14",6100,2704,"Group3"
"sample152","sample15",6100,2685,"Group3"
"sample162","sample16",6100,2667,"Group3"
"sample172","sample17",6100,2772,"Group3"
"sample182","sample18",6100,2690,"Group3"
"sample22","sample2",6100,2358,"Group1"
"sample32","sample3",6100,2488,"Group1"
"sample42","sample4",6100,2680,"Group1"
"sample52","sample5",6100,2748,"Group1"
"sample62","sample6",6100,2405,"Group1"
"sample72","sample7",6100,2072,"Group2"
"sample82","sample8",6100,2421,"Group2"
"sample92","sample9",6100,1949,"Group2"
"sample113","sample1",9100,3128,"Group1"
"sample103","sample10",9100,2916,"Group2"
"sample114","sample11",9100,2828,"Group2"
"sample123","sample12",9100,3276,"Group2"
"sample133","sample13",9100,3441,"Group3"
"sample143","sample14",9100,3489,"Group3"
"sample153","sample15",9100,3478,"Group3"
"sample163","sample16",9100,3506,"Group3"
"sample173","sample17",9100,3518,"Group3"
"sample183","sample18",9100,3470,"Group3"
"sample23","sample2",9100,2843,"Group1"
"sample33","sample3",9100,3080,"Group1"
"sample43","sample4",9100,3394,"Group1"
"sample53","sample5",9100,3511,"Group1"
"sample63","sample6",9100,2946,"Group1"
"sample73","sample7",9100,2560,"Group2"
"sample83","sample8",9100,3025,"Group2"
"sample93","sample9",9100,2418,"Group2"
"sample115","sample1",12100,3609,"Group1"
"sample104","sample10",12100,3447,"Group2"
"sample116","sample11",12100,3293,"Group2"
"sample124","sample12",12100,3816,"Group2"
"sample134","sample13",12100,4125,"Group3"
"sample144","sample14",12100,4194,"Group3"
"sample154","sample15",12100,4129,"Group3"
"sample164","sample16",12100,4055,"Group3"
"sample174","sample17",12100,4167,"Group3"
"sample184","sample18",12100,4109,"Group3"
"sample24","sample2",12100,3193,"Group1"
"sample34","sample3",12100,3518,"Group1"
"sample44","sample4",12100,3955,"Group1"
"sample54","sample5",12100,4198,"Group1"
"sample64","sample6",12100,3360,"Group1"
"sample74","sample7",12100,2862,"Group2"
"sample84","sample8",12100,3591,"Group2"
"sample94","sample9",12100,2779,"Group2"
"sample117","sample1",15100,4130,"Group1"
"sample105","sample10",15100,3833,"Group2"
"sample118","sample11",15100,3606,"Group2"
"sample125","sample12",15100,4350,"Group2"
"sample135","sample13",15100,4629,"Group3"
"sample145","sample14",15100,4709,"Group3"
"sample155","sample15",15100,4573,"Group3"
"sample165","sample16",15100,4561,"Group3"
"sample175","sample17",15100,4729,"Group3"
"sample185","sample18",15100,4617,"Group3"
"sample25","sample2",15100,3560,"Group1"
"sample35","sample3",15100,3882,"Group1"
"sample45","sample4",15100,4480,"Group1"
"sample55","sample5",15100,4638,"Group1"
"sample65","sample6",15100,3678,"Group1"
"sample75","sample7",15100,3132,"Group2"
"sample85","sample8",15100,4091,"Group2"
"sample95","sample9",15100,3108,"Group2"
"sample119","sample1",18100,4410,"Group1"
"sample106","sample10",18100,4132,"Group2"
"sample1110","sample11",18100,3924,"Group2"
"sample126","sample12",18100,4754,"Group2"
"sample136","sample13",18100,5108,"Group3"
"sample146","sample14",18100,5201,"Group3"
"sample156","sample15",18100,5007,"Group3"
"sample166","sample16",18100,5029,"Group3"
"sample176","sample17",18100,5206,"Group3"
"sample186","sample18",18100,5125,"Group3"
"sample26","sample2",18100,3754,"Group1"
"sample36","sample3",18100,4155,"Group1"
"sample46","sample4",18100,4887,"Group1"
"sample56","sample5",18100,5128,"Group1"
"sample66","sample6",18100,4019,"Group1"
"sample76","sample7",18100,3342,"Group2"
"sample86","sample8",18100,4372,"Group2"
"sample96","sample9",18100,3333,"Group2"
"sample120","sample1",21100,4761,"Group1"
"sample107","sample10",21100,4426,"Group2"
"sample1111","sample11",21100,4253,"Group2"
"sample127","sample12",21100,5136,"Group2"
"sample137","sample13",21100,5483,"Group3"
"sample147","sample14",21100,5533,"Group3"
"sample157","sample15",21100,5440,"Group3"
"sample167","sample16",21100,5402,"Group3"
"sample177","sample17",21100,5679,"Group3"
"sample187","sample18",21100,5533,"Group3"
"sample27","sample2",21100,3976,"Group1"
"sample37","sample3",21100,4345,"Group1"
"sample47","sample4",21100,5210,"Group1"
"sample57","sample5",21100,5561,"Group1"
"sample67","sample6",21100,4232,"Group1"
"sample77","sample7",21100,3491,"Group2"
"sample87","sample8",21100,4738,"Group2"
"sample97","sample9",21100,3540,"Group2"
"sample128","sample1",24100,5037,"Group1"
"sample108","sample10",24100,4736,"Group2"
"sample1112","sample11",24100,4495,"Group2"
"sample129","sample12",24100,5385,"Group2"
"sample138","sample13",24100,5817,"Group3"
"sample148","sample14",24100,6011,"Group3"
"sample158","sample15",24100,5886,"Group3"
"sample168","sample16",24100,5846,"Group3"
"sample178","sample17",24100,5915,"Group3"
"sample188","sample18",24100,5888,"Group3"
"sample28","sample2",24100,4173,"Group1"
"sample38","sample3",24100,4609,"Group1"
"sample48","sample4",24100,5479,"Group1"
"sample58","sample5",24100,5933,"Group1"
"sample68","sample6",24100,4442,"Group1"
"sample78","sample7",24100,3611,"Group2"
"sample88","sample8",24100,5054,"Group2"
"sample98","sample9",24100,3733,"Group2"
"sample130","sample1",27100,5336,"Group1"
"sample109","sample10",27100,4935,"Group2"
"sample1113","sample11",27100,4663,"Group2"
"sample1210","sample12",27100,5672,"Group2"
"sample139","sample13",27100,6197,"Group3"
"sample149","sample14",27100,6382,"Group3"
"sample159","sample15",27100,6094,"Group3"
"sample169","sample16",27100,6170,"Group3"
"sample179","sample17",27100,6257,"Group3"
