"","id","Abundance","ID","Group","Kingdom","Phylum"
"569","sample7",44.5030409685241,"sample7","Group2","Bacteria","Proteobacteria"
"562","sample3",44.3409582486727,"sample3","Group1","Bacteria","Proteobacteria"
"575","sample12",43.5801114713632,"sample12","Group2","Bacteria","Proteobacteria"
"576","sample11",42.9708075739514,"sample11","Group2","Bacteria","Proteobacteria"
"567","sample18",41.9721149639549,"sample18","Group3","Bacteria","Proteobacteria"
"572","sample13",41.7255209489751,"sample13","Group3","Bacteria","Proteobacteria"
"571","sample16",41.6208878344604,"sample16","Group3","Bacteria","Proteobacteria"
"563","sample5",40.0503532274465,"sample5","Group1","Bacteria","Proteobacteria"
"560","sample10",39.9175671295872,"sample10","Group2","Bacteria","Proteobacteria"
"565","sample1",39.6903334638672,"sample1","Group1","Bacteria","Proteobacteria"
"573","sample14",39.387137944259,"sample14","Group3","Bacteria","Proteobacteria"
"564","sample17",38.8369873243686,"sample17","Group3","Bacteria","Proteobacteria"
"568","sample15",37.8295457035787,"sample15","Group3","Bacteria","Proteobacteria"
"566","sample4",37.5720411473261,"sample4","Group1","Bacteria","Proteobacteria"
"570","sample8",37.3379748315658,"sample8","Group2","Bacteria","Proteobacteria"
"559","sample2",36.8994432607052,"sample2","Group1","Bacteria","Proteobacteria"
"561","sample6",36.8712509254642,"sample6","Group1","Bacteria","Proteobacteria"
"574","sample9",36.0241658657147,"sample9","Group2","Bacteria","Proteobacteria"
"659","sample2",18.2671489449447,"sample2","Group1","Bacteria","Unassigned"
"649","sample6",17.9664717525649,"sample6","Group1","Bacteria","Unassigned"
"5","sample17",17.7013733994728,"sample17","Group3","Bacteria","Acidobacteria"
"11","sample16",17.5353015059438,"sample16","Group3","Bacteria","Acidobacteria"
"660","sample4",17.3854118065276,"sample4","Group1","Bacteria","Unassigned"
"2","sample2",16.982266822462,"sample2","Group1","Bacteria","Acidobacteria"
"8","sample15",16.7462908987311,"sample15","Group3","Bacteria","Acidobacteria"
"16","sample14",16.7254506246188,"sample14","Group3","Bacteria","Acidobacteria"
"1","sample1",16.5195650209356,"sample1","Group1","Bacteria","Acidobacteria"
"655","sample5",16.4056498630161,"sample5","Group1","Bacteria","Unassigned"
"13","sample4",16.289186607123,"sample4","Group1","Bacteria","Acidobacteria"
"650","sample3",15.5502392344498,"sample3","Group1","Bacteria","Unassigned"
"664","sample15",15.4670070785212,"sample15","Group3","Bacteria","Unassigned"
"7","sample5",15.1268377373906,"sample5","Group1","Bacteria","Acidobacteria"
"654","sample13",14.9597743774831,"sample13","Group3","Bacteria","Unassigned"
"666","sample1",14.7854725828639,"sample1","Group1","Bacteria","Unassigned"
"10","sample6",14.7405678195307,"sample6","Group1","Bacteria","Acidobacteria"
"4","sample18",14.5906644094878,"sample18","Group3","Bacteria","Acidobacteria"
"663","sample18",14.4071101135564,"sample18","Group3","Bacteria","Unassigned"
"80","sample9",14.0491555677605,"sample9","Group2","Bacteria","Bacteroidetes"
"657","sample14",13.9880671708884,"sample14","Group3","Bacteria","Unassigned"
"14","sample3",13.9404863341417,"sample3","Group1","Bacteria","Acidobacteria"
"658","sample10",13.7879371602243,"sample10","Group2","Bacteria","Unassigned"
"652","sample17",13.7419077245684,"sample17","Group3","Bacteria","Unassigned"
"651","sample11",13.6402280687163,"sample11","Group2","Bacteria","Unassigned"
"15","sample13",13.5675851871448,"sample13","Group3","Bacteria","Acidobacteria"
"653","sample8",13.330364933301,"sample8","Group2","Bacteria","Unassigned"
"656","sample7",13.248992553783,"sample7","Group2","Bacteria","Unassigned"
"6","sample9",13.1671014691748,"sample9","Group2","Bacteria","Acidobacteria"
"17","sample10",13.1348340029475,"sample10","Group2","Bacteria","Acidobacteria"
"662","sample9",12.8172456405327,"sample9","Group2","Bacteria","Unassigned"
"9","sample7",12.8121936818935,"sample7","Group2","Bacteria","Acidobacteria"
"18","sample11",12.7152005766405,"sample11","Group2","Bacteria","Acidobacteria"
"661","sample16",12.4712957206836,"sample16","Group3","Bacteria","Unassigned"
"3","sample8",12.413309226327,"sample8","Group2","Bacteria","Acidobacteria"
"665","sample12",12.1075728041219,"sample12","Group2","Bacteria","Unassigned"
"12","sample12",11.4253249615532,"sample12","Group2","Bacteria","Acidobacteria"
"85","sample8",10.6817425407705,"sample8","Group2","Bacteria","Bacteroidetes"
"77","sample10",9.18135843010634,"sample10","Group2","Bacteria","Bacteroidetes"
"79","sample17",8.39470027052557,"sample17","Group3","Bacteria","Bacteroidetes"
"88","sample16",8.21545019728245,"sample16","Group3","Bacteria","Bacteroidetes"
"86","sample18",7.93801000513572,"sample18","Group3","Bacteria","Bacteroidetes"
"75","sample12",7.92053992104928,"sample12","Group2","Bacteria","Bacteroidetes"
"90","sample13",7.70546246474648,"sample13","Group3","Bacteria","Bacteroidetes"
"76","sample1",7.04481328634114,"sample1","Group1","Bacteria","Bacteroidetes"
"78","sample11",6.90952103721364,"sample11","Group2","Bacteria","Bacteroidetes"
"87","sample14",6.75481116832331,"sample14","Group3","Bacteria","Bacteroidetes"
"29","sample7",6.45797387231945,"sample7","Group2","Bacteria","Actinobacteria"
"74","sample5",6.23198895248414,"sample5","Group1","Bacteria","Bacteroidetes"
"89","sample15",6.19206241370998,"sample15","Group3","Bacteria","Bacteroidetes"
"83","sample7",5.99939237952204,"sample7","Group2","Bacteria","Bacteroidetes"
"81","sample4",5.99613410651203,"sample4","Group1","Bacteria","Bacteroidetes"
"73","sample2",5.85521341672967,"sample2","Group1","Bacteria","Bacteroidetes"
"84","sample6",5.59584787634287,"sample6","Group1","Bacteria","Bacteroidetes"
"82","sample3",5.3791702169496,"sample3","Group1","Bacteria","Bacteroidetes"
"20","sample8",5.33097660361065,"sample8","Group2","Bacteria","Actinobacteria"
"26","sample9",4.97652066456131,"sample9","Group2","Bacteria","Actinobacteria"
"667","sample6",4.84301104513244,"sample6","Group1","Bacteria","Verrucomicrobia"
"36","sample12",4.65084387152387,"sample12","Group2","Bacteria","Actinobacteria"
"526","sample11",4.59833846210714,"sample11","Group2","Bacteria","Planctomycetes"
"671","sample14",4.55182733233998,"sample14","Group3","Bacteria","Verrucomicrobia"
"19","sample3",4.39863669135479,"sample3","Group1","Bacteria","Actinobacteria"
"684","sample15",4.2684797615656,"sample15","Group3","Bacteria","Verrucomicrobia"
"682","sample2",4.2288129768369,"sample2","Group1","Bacteria","Verrucomicrobia"
"30","sample6",4.17629904960488,"sample6","Group1","Bacteria","Actinobacteria"
"678","sample18",4.16088106062047,"sample18","Group3","Bacteria","Verrucomicrobia"
"32","sample4",4.14628185474016,"sample4","Group1","Bacteria","Actinobacteria"
"681","sample13",4.09956491135246,"sample13","Group3","Bacteria","Verrucomicrobia"
"34","sample15",4.08494225416931,"sample15","Group3","Bacteria","Actinobacteria"
"675","sample8",4.04871774113753,"sample8","Group2","Bacteria","Verrucomicrobia"
"28","sample10",3.91189222574865,"sample10","Group2","Bacteria","Actinobacteria"
"673","sample12",3.88288650099423,"sample12","Group2","Bacteria","Verrucomicrobia"
"676","sample9",3.85335713304957,"sample9","Group2","Bacteria","Verrucomicrobia"
"680","sample16",3.83336927976047,"sample16","Group3","Bacteria","Verrucomicrobia"
"672","sample17",3.81653717377435,"sample17","Group3","Bacteria","Verrucomicrobia"
"539","sample10",3.80793385801733,"sample10","Group2","Bacteria","Planctomycetes"
"524","sample15",3.80497907124543,"sample15","Group3","Bacteria","Planctomycetes"
"391","sample2",3.76830022681971,"sample2","Group1","Bacteria","Gemmatimonadetes"
"677","sample1",3.75485736662951,"sample1","Group1","Bacteria","Verrucomicrobia"
"24","sample13",3.72919629064489,"sample13","Group3","Bacteria","Actinobacteria"
"674","sample11",3.71812998438265,"sample11","Group2","Bacteria","Verrucomicrobia"
"537","sample6",3.7135669280631,"sample6","Group1","Bacteria","Planctomycetes"
"683","sample10",3.6966372525638,"sample10","Group2","Bacteria","Verrucomicrobia"
"540","sample12",3.65612357844626,"sample12","Group2","Bacteria","Planctomycetes"
"343","sample12",3.46168539215782,"sample12","Group2","Bacteria","Firmicutes"
"679","sample5",3.46078531497409,"sample5","Group1","Bacteria","Verrucomicrobia"
"388","sample3",3.41154879727338,"sample3","Group1","Bacteria","Gemmatimonadetes"
"27","sample1",3.35221054111315,"sample1","Group1","Bacteria","Actinobacteria"
"21","sample16",3.28148589842808,"sample16","Group3","Bacteria","Actinobacteria"
"533","sample14",3.27807012580396,"sample14","Group3","Bacteria","Planctomycetes"
"538","sample1",3.27389021096284,"sample1","Group1","Bacteria","Planctomycetes"
"393","sample4",3.23890777400076,"sample4","Group1","Bacteria","Gemmatimonadetes"
"25","sample17",3.23344823663816,"sample17","Group3","Bacteria","Actinobacteria"
"535","sample8",3.16944167093936,"sample8","Group2","Bacteria","Planctomycetes"
"22","sample5",3.13220164380642,"sample5","Group1","Bacteria","Actinobacteria"
"35","sample11",3.11330431648693,"sample11","Group2","Bacteria","Actinobacteria"
"534","sample13",3.0909717924613,"sample13","Group3","Bacteria","Planctomycetes"
"532","sample5",3.07447748535805,"sample5","Group1","Bacteria","Planctomycetes"
"381","sample11",3.03290732167115,"sample11","Group2","Bacteria","Gemmatimonadetes"
"670","sample4",3.0291719433891,"sample4","Group1","Bacteria","Verrucomicrobia"
"390","sample5",2.9852270557571,"sample5","Group1","Bacteria","Gemmatimonadetes"
"529","sample2",2.98173413980342,"sample2","Group1","Bacteria","Planctomycetes"
"389","sample17",2.97973778307509,"sample17","Group3","Bacteria","Gemmatimonadetes"
"356","sample8",2.9764956688345,"sample8","Group2","Bacteria","Firmicutes"
"531","sample16",2.94781847477195,"sample16","Group3","Bacteria","Planctomycetes"
"33","sample14",2.93228213784995,"sample14","Group3","Bacteria","Actinobacteria"
"528","sample18",2.91451885949061,"sample18","Group3","Bacteria","Planctomycetes"
"527","sample4",2.89586527139017,"sample4","Group1","Bacteria","Planctomycetes"
"668","sample7",2.89479567328362,"sample7","Group2","Bacteria","Verrucomicrobia"
"387","sample10",2.86497031071322,"sample10","Group2","Bacteria","Gemmatimonadetes"
"359","sample7",2.85237688519986,"sample7","Group2","Bacteria","Firmicutes"
"379","sample14",2.84300596641456,"sample14","Group3","Bacteria","Gemmatimonadetes"
"525","sample17",2.8021899218097,"sample17","Group3","Bacteria","Planctomycetes"
"386","sample18",2.80086736537767,"sample18","Group3","Bacteria","Gemmatimonadetes"
"31","sample18",2.79468548494474,"sample18","Group3","Bacteria","Actinobacteria"
"358","sample9",2.67087738569271,"sample9","Group2","Bacteria","Firmicutes"
"669","sample3",2.64993117913089,"sample3","Group1","Bacteria","Verrucomicrobia"
"392","sample7",2.61907355073918,"sample7","Group2","Bacteria","Gemmatimonadetes"
"345","sample1",2.54992921047083,"sample1","Group1","Bacteria","Firmicutes"
"648","sample14",2.48024293177917,"sample14","Group3","Archaea","Thaumarchaeota"
"382","sample1",2.46257191914932,"sample1","Group1","Bacteria","Gemmatimonadetes"
"344","sample11",2.31025847171782,"sample11","Group2","Bacteria","Firmicutes"
"23","sample2",2.25616880885284,"sample2","Group1","Bacteria","Actinobacteria"
"530","sample7",2.19259276243759,"sample7","Group2","Bacteria","Planctomycetes"
"394","sample9",2.18261705341206,"sample9","Group2","Bacteria","Gemmatimonadetes"
"347","sample10",2.17211836577446,"sample10","Group2","Bacteria","Firmicutes"
"380","sample12",2.17065501670111,"sample12","Group2","Bacteria","Gemmatimonadetes"
"536","sample9",2.16888644789235,"sample9","Group2","Bacteria","Planctomycetes"
"395","sample6",2.1448106009096,"sample6","Group1","Bacteria","Gemmatimonadetes"
"523","sample3",2.13737956347906,"sample3","Group1","Bacteria","Planctomycetes"
"352","sample3",2.07380218915907,"sample3","Group1","Bacteria","Firmicutes"
"385","sample13",2.04553077508137,"sample13","Group3","Bacteria","Gemmatimonadetes"
"396","sample8",1.95824450621115,"sample8","Group2","Bacteria","Gemmatimonadetes"
"383","sample15",1.95700291468519,"sample15","Group3","Bacteria","Gemmatimonadetes"
"632","sample5",1.86671047782282,"sample5","Group1","Archaea","Thaumarchaeota"
"346","sample13",1.84995346771793,"sample13","Group3","Bacteria","Firmicutes"
"639","sample8",1.82601577749593,"sample8","Group2","Archaea","Thaumarchaeota"
"636","sample4",1.75209402563932,"sample4","Group1","Archaea","Thaumarchaeota"
"65","sample11",1.70681895890512,"sample11","Group2","Bacteria","Other"
"351","sample15",1.68690144857663,"sample15","Group3","Bacteria","Firmicutes"
"646","sample9",1.66085404366333,"sample9","Group2","Archaea","Thaumarchaeota"
"126","sample14",1.63023318684497,"sample14","Group3","Bacteria","Other"
"117","sample17",1.62018605433261,"sample17","Group3","Bacteria","Other"
"634","sample10",1.51290001039584,"sample10","Group2","Archaea","Thaumarchaeota"
