,logFC,level,p,Genus,ord
Acidobacteria_Gp11,-3.20766393896029,depleted,0.0130391467466251,Acidobacteria_Gp11,10.2891079453062
Acidobacteria_Gp4,-1.89983618883258,depleted,0.00788505660448309,Acidobacteria_Gp4,3.60937754439789
Acidobacteria_Gp6,-1.83185888558959,depleted,4.94514239877495e-05,Acidobacteria_Gp6,3.35570697671355
Acidobacteria_Gp17,-1.61808795522151,depleted,0.000303024435490345,Acidobacteria_Gp17,2.61820863083293
Planctomycetia,-1.5752027771559,depleted,0.000168475462991291,Planctomycetia,2.48126378915967
Opitutae,-1.45160373814341,depleted,0.000205507939706143,Opitutae,2.10715341259192
Betaproteobacteria,1.42293701791769,enriched,4.43357838405888e-09,Betaproteobacteria,2.02474975696049
Spartobacteria,-1.19162098086574,depleted,0.0165829060629115,Spartobacteria,1.41996056203944
Verrucomicrobiae,-1.15152458225463,depleted,0.0207707796789332,Verrucomicrobiae,1.32600886353669
Alphaproteobacteria,1.12271138252981,enriched,9.62734855856511e-08,Alphaproteobacteria,1.260480848462
Cytophagia,-0.677257434205899,depleted,0.0209601479648489,Cytophagia,0.458677632187157
Deltaproteobacteria,0.653408313535985,enriched,0.0001181864594366,Deltaproteobacteria,0.42694242419794
Sphingobacteriia,-0.619352620021091,depleted,0.00862953901214746,Sphingobacteriia,0.38359766792699
Actinobacteria,0.614864022546191,enriched,0.000300787784223107,Actinobacteria,0.378057766221683
Gammaproteobacteria,0.583662567855651,enriched,0.00765655398374601,Gammaproteobacteria,0.340661993115853
Unassigned,0.544973907270526,enriched,0.00245721297200464,Unassigned,0.296996559605704
