,logFC,level,p,Genus,ord
ASV_1145,-5.14078963424477,depleted,0.000368001199844172,ASV_1145,26.4277180635585
ASV_1024,-4.71221306484598,depleted,0.000102090382885771,ASV_1024,22.2049519685052
ASV_1017,4.340378833628,enriched,0.000204609411225273,ASV_1017,18.838888419406
ASV_1150,-4.16448023034813,depleted,0.00392049682983609,ASV_1150,17.3428955889604
ASV_1850,-4.05728686849421,depleted,2.29687565613191e-05,ASV_1850,16.4615767332556
ASV_1080,-3.80601801291923,depleted,0.000803490680818272,ASV_1080,14.4857731146656
ASV_1098,3.52096348944505,enriched,0.000736372741382691,ASV_1098,12.3971838940051
ASV_1908,-3.50376687350878,depleted,0.000272437699802805,ASV_1908,12.2763823038975
ASV_945,3.47934000843523,enriched,0.00187713717002229,ASV_945,12.1058068942981
ASV_2234,-3.46786492504766,depleted,0.000306459250105452,ASV_2234,12.0260871383758
ASV_2907,-3.4527113793226,depleted,5.78660069503408e-07,ASV_2907,11.9212158689038
ASV_951,-3.31248980149169,depleted,0.000158476884420938,ASV_951,10.9725886849864
ASV_621,-3.30138070574559,depleted,0.0012288047569206,ASV_621,10.8991145642692
ASV_1447,-3.2877217342373,depleted,0.000270284315809785,ASV_1447,10.8091142017763
ASV_920,3.10469585298299,enriched,2.02785979226547e-05,ASV_920,9.63913633952979
ASV_175,3.07421863071324,enriched,6.26596569145524e-09,ASV_175,9.45082018942439
ASV_1008,3.04898034691823,enriched,0.000210165086362232,ASV_1008,9.2962811558936
ASV_338,3.04322752422371,enriched,1.01078705301329e-05,ASV_338,9.26123376419275
ASV_1496,-2.99404574433187,depleted,0.00138598414926985,ASV_1496,8.96430991915177
ASV_201,2.97693749590626,enriched,2.6909893170892e-10,ASV_201,8.86215685453266
ASV_2863,-2.96259618223353,depleted,0.000788731837940576,ASV_2863,8.77697613898467
ASV_1277,2.9293755178518,enriched,0.000157207308204005,ASV_1277,8.5812409245895
ASV_764,-2.92901547201233,depleted,0.00180279757253182,ASV_764,8.57913163528764
ASV_1099,-2.9150213727136,depleted,0.0021851106071056,ASV_1099,8.49734960337709
ASV_823,-2.89155952493851,depleted,0.000174534327138788,ASV_823,8.36111648626265
ASV_664,-2.88342439657315,depleted,0.00210014566192512,ASV_664,8.31413625075324
ASV_575,-2.87862156713232,depleted,4.2805063528759e-06,ASV_575,8.28646212675935
ASV_998,-2.87612411797252,depleted,6.10220457141672e-06,ASV_998,8.27208994198319
ASV_916,-2.8422327448721,depleted,0.0018507677696685,ASV_916,8.07828697602321
