,logFC,level,p,Genus,ord
Flammeovirgaceae,-2.39746836568793,depleted,0.00247742758183435,Flammeovirgaceae,5.74785456447435
Cryomorphaceae,-2.04879259350963,depleted,5.11700861042613e-09,Cryomorphaceae,4.19755109121993
Paenibacillaceae_1,2.02418185193171,enriched,3.2819518080927e-05,Paenibacillaceae_1,4.0973121696897
Chitinophagaceae,-1.83257555823935,depleted,2.43305566264192e-09,Chitinophagaceae,3.35833317665625
Opitutaceae,-1.73905432837599,depleted,2.72388146224335e-06,Opitutaceae,3.02430995704327
Haliangiaceae,-1.08718149785454,depleted,0.00254752427314556,Haliangiaceae,1.18196360927724
Hyphomicrobiaceae,1.02687382290455,enriched,8.09239332692057e-08,Hyphomicrobiaceae,1.0544698481666
Sphingomonadaceae,0.932707917677776,enriched,5.63502578484677e-05,Sphingomonadaceae,0.869944059698813
Erythrobacteraceae,0.838256804199596,enriched,0.00116712151277592,Erythrobacteraceae,0.70267446978692
Kineosporiaceae,-0.824941138504116,depleted,0.00441235292988627,Kineosporiaceae,0.680527881996467
Bacillaceae_1,0.792151299033958,enriched,0.00426774544546327,Bacillaceae_1,0.627503680561187
Rhizobiaceae,0.747710321600612,enriched,0.00754791157309216,Rhizobiaceae,0.559070725028091
Caulobacteraceae,0.687635063818243,enriched,6.53279133191232e-05,Caulobacteraceae,0.47284198099232
Comamonadaceae,0.61184846841631,enriched,0.0072757937508646,Comamonadaceae,0.374358548303384
Bradyrhizobiaceae,0.432694563205139,enriched,0.00166658275867101,Bradyrhizobiaceae,0.187224585027286
Sinobacteraceae,-0.432293499756481,depleted,0.00136662831735244,Sinobacteraceae,0.186877669931706
