,logFC,level,p,Genus,ord
ASV_744,5.26679587648744,enriched,0.0011048418244322,ASV_744,27.7391388045851
ASV_443,-4.15672030227668,depleted,0.000594108210051466,ASV_443,17.2783236713591
ASV_975,4.12392938972836,enriched,0.0013016920621201,ASV_975,17.0067936114653
ASV_1908,-3.97194220175986,depleted,3.1105804108803e-05,ASV_1908,15.776324854121
ASV_1191,-3.94426804198867,depleted,0.000180850394357998,ASV_1191,15.5572503870532
ASV_842,3.91806692150752,enriched,0.00195400613122239,ASV_842,15.3512484014114
ASV_1850,-3.74009323819663,depleted,0.000102599120537173,ASV_1850,13.9882974304041
ASV_174,-3.51337375823943,depleted,4.19479448310992e-05,ASV_174,12.3437951650855
ASV_1690,-3.46041205814116,depleted,0.00100538494521704,ASV_1690,11.9744516121287
ASV_1533,-3.37732694847562,depleted,0.00141589297229047,ASV_1533,11.4063373168997
ASV_1508,3.28270551747484,enriched,0.0018266659573417,ASV_1508,10.7761555144598
ASV_322,3.15428992702956,enriched,1.17904343964197e-05,ASV_322,9.94954494376013
ASV_1350,3.05424729896874,enriched,0.00111080677746651,ASV_1350,9.32842656325786
ASV_2863,-2.7860155604133,depleted,0.00167290097248271,ASV_2863,7.76188270286501
ASV_958,-2.74582329646256,depleted,0.00183649540199522,ASV_958,7.53954557539651
ASV_1114,-2.64655009367163,depleted,0.00155861555431133,ASV_1114,7.00422739831332
ASV_823,-2.50006117940452,depleted,0.001323996913888,ASV_823,6.25030590076554
ASV_717,-2.46988344723004,depleted,0.000659500500845473,ASV_717,6.10032424290094
ASV_1005,-2.41881540552614,depleted,0.00087160151804645,ASV_1005,5.85066796601057
ASV_247,-2.38955000555371,depleted,6.30029756428527e-09,ASV_247,5.70994922904176
ASV_581,-2.38598296802247,depleted,0.000190183424143558,ASV_581,5.69291472369333
ASV_1008,2.35725474621272,enriched,0.00135077819962643,ASV_1008,5.55664993854238
ASV_998,-2.24047981707039,depleted,0.000535064397239002,ASV_998,5.01974981069977
ASV_2907,-2.22735226261002,depleted,0.00193256350890017,ASV_2907,4.96109810175399
ASV_862,-2.19540239457781,depleted,0.0012753417113574,ASV_862,4.81979167411796
ASV_1591,-2.18523229067235,depleted,0.000266195393706348,ASV_1591,4.77524016419711
ASV_204,-2.14999860295422,depleted,4.18565485156236e-09,ASV_204,4.62249399270508
ASV_553,-2.12150075667618,depleted,2.94339420022183e-05,ASV_553,4.5007654605776
ASV_112,-2.00452866544833,depleted,1.19882708602048e-07,ASV_112,4.01813517060408
ASV_2488,-2.00344162701228,depleted,0.000974157202058999,ASV_2488,4.0137783528456
ASV_1139,2.00302290719001,enriched,0.000751507181617806,ASV_1139,4.01210076672792
ASV_191,-1.98687128562645,depleted,4.24593525766157e-05,ASV_191,3.94765750564689
ASV_952,-1.96216750489045,depleted,0.000919766983212777,ASV_952,3.85010131724802
ASV_2902,-1.85077210334283,depleted,0.000123506028588697,ASV_2902,3.42535737851205
ASV_201,1.8240435684829,enriched,3.66894261991688e-05,ASV_201,3.32713493972383
ASV_316,-1.81089959099732,depleted,0.00158619853796427,ASV_316,3.27935732867428
ASV_469,-1.77582143251534,depleted,0.00114333389313115,ASV_469,3.15354176018084
ASV_302,-1.74539823751022,depleted,3.31521567810898e-07,ASV_302,3.04641500750378
ASV_175,1.71975855437605,enriched,0.000639145520178131,ASV_175,2.95756948534959
ASV_329,-1.52429569819595,depleted,0.000122431002326998,ASV_329,2.32347737553869
ASV_141,1.48229727085447,enriched,9.22069392965895e-06,ASV_141,2.1972051991826
ASV_168,-1.48035186947048,depleted,0.000116589987806513,ASV_168,2.19144165744475
ASV_348,-1.42499250959157,depleted,0.000158693680159313,ASV_348,2.03060365239208
ASV_336,1.36403779515914,enriched,0.000261029089178952,ASV_336,1.8605991066226
ASV_73,1.35872985511041,enriched,1.21793176999175e-05,ASV_73,1.84614681916836
ASV_307,1.34633287802972,enriched,0.000907496618683318,ASV_307,1.8126122184638
ASV_405,1.22930551587556,enriched,0.000847487614930028,ASV_405,1.51119205136207
ASV_41,1.21653694495365,enriched,4.68377854123412e-05,ASV_41,1.47996213843716
ASV_24,1.19089547011449,enriched,0.000861953586480934,ASV_24,1.4182320207392
ASV_251,1.17925541073697,enriched,0.000110750650310428,ASV_251,1.39064332375243
ASV_187,1.16672853281542,enriched,0.000671021312235598,ASV_187,1.36125546928563
ASV_96,1.16133416937137,enriched,0.000234614332352331,ASV_96,1.34869705294949
ASV_120,1.141461464764,enriched,1.17870844686663e-05,ASV_120,1.30293427554117
ASV_203,-1.11275536568034,depleted,0.000872789911724703,ASV_203,1.2382245038504
ASV_156,1.08759061812548,enriched,7.52711351583483e-05,ASV_156,1.18285335263456
ASV_383,-1.08549252098295,depleted,0.00159031776675439,ASV_383,1.17829401310992
ASV_146,-1.04004740966886,depleted,0.00142046012680168,ASV_146,1.08169861435891
ASV_6,1.02499010623939,enriched,1.32047966628423e-05,ASV_6,1.05060471788865
ASV_195,0.969056050808448,enriched,0.000579067109128204,ASV_195,0.939069629608465
ASV_167,0.931722355423038,enriched,0.00101787056580616,ASV_167,0.868106547595055
ASV_301,0.920422175994244,enriched,0.00166342237553869,ASV_301,0.84717698206198
