"","Group1-Group2logFC","Group1-Group2level","Group1-Group2p","Group1-Group3logFC","Group1-Group3level","Group1-Group3p","Group2-Group3logFC","Group2-Group3level","Group2-Group3p","Group1","Group2","Group3"
"Acidobacteria",0.175688013288699,"nosig",0.342296657755157,-0.104436822865827,"nosig",0.572314812516912,-0.280124836154526,"nosig",0.130176582453202,0.155998183902639,0.126113273197561,0.161444443375665
"Actinobacteria",-0.537854756670553,"nosig",0.0408187584320281,0.0632516765642102,"nosig",0.809409216553514,0.601106433234763,"nosig",0.0223622867884941,0.0357696643157871,0.0474025192570848,0.0334267338377919
"Aminicenantes",2.49965347802532,"nosig",0.0334317615051505,2.49965347802532,"nosig",0.0341937695308271,0,"nosig",1,2.83594400204329e-06,0,0
"Armatimonadetes",-0.287916367966668,"nosig",0.289106054858143,0.153881143422313,"nosig",0.57092353366173,0.441797511388981,"nosig",0.104310617245906,0.00869406183071358,0.00979721780212607,0.00752725127849842
"Bacteroidetes",-0.725743951421008,"depleted",0.0034867268016777,-0.387195120809492,"nosig",0.117759426809988,0.338548830611516,"nosig",0.17122495242595,0.0601719464255991,0.0912361831273706,0.0753341608662058
"BRC1",-0.2629790257439,"nosig",0.577966466404738,0.11947589306383,"nosig",0.800777208503295,0.38245491880773,"nosig",0.420351132109409,0.000360230185412955,0.000388751595674169,0.000315229383893394
"candidate_division_WPS-1",-0.0393202924881679,"nosig",0.850789077151852,-0.596364631230658,"nosig",0.00443484521585183,-0.55704433874249,"depleted",0.00786141420740557,0.0100021164037201,0.0093874863771398,0.0144926716575837
"candidate_division_WPS-2",-2.09995850464185,"depleted",0.000528779566332367,0.237164530500399,"nosig",0.686732393451103,2.33712303514224,"enriched",0.000137038798261656,0.00029158675771828,0.00109218279617282,0.000231946036927891
"Candidatus_Saccharibacteria",-0.90435833908203,"depleted",0.00621720125167814,0.580699603208685,"nosig",0.0780643004688376,1.48505794229071,"enriched",9.37999616896531e-06,0.00452916943345941,0.00770810831687471,0.00291901546962538
"Chlamydiae",0.0197328643505256,"nosig",0.953956160584421,0.696006974120892,"nosig",0.0428412204030694,0.676274109770366,"nosig",0.0491193513357149,0.00478317884483878,0.00430443590083038,0.00285617029127329
"Chlorobi",1.76141896105178,"nosig",0.0635149778306418,-1.37430662683822,"nosig",0.115467230110151,-3.13572558789,"depleted",0.00112595347548843,2.86264046109101e-05,7.16175072233313e-06,7.44117031169834e-05
"Chloroflexi",0.136820480845275,"nosig",0.518707167357259,-0.144635953648941,"nosig",0.494880099883242,-0.281456434494216,"nosig",0.184688338323754,0.00844895807485091,0.0071047288201797,0.00897107338152987
