,KO-OElogFC,KO-OElevel,KO-OEp,KO-WTlogFC,KO-WTlevel,KO-WTp,OE-WTlogFC,OE-WTlevel,OE-WTp,KO,OE,WT
Acidobacteria_Gp10,0.220710602813063,nosig,0.482542101228944,0.169999563593873,nosig,0.588948924045516,-0.0507110392191904,nosig,0.871107648642351,0.00194572734924581,0.00297486078811868,0.0025816430682771
Acidobacteria_Gp11,-3.20766393896029,depleted,0.0130391467466251,-2.75282034980583,nosig,0.0365682789895382,0.454843589154461,nosig,0.674211821224509,0,8.54276722370955e-05,4.93569358260201e-05
Acidobacteria_Gp17,-1.61808795522151,depleted,0.000303024435490345,-1.19916613232366,depleted,0.00800260815310924,0.418921822897848,nosig,0.312803313524011,0.00024054487458557,0.00128922004508526,0.000783749221686821
Acidobacteria_Gp25,-0.636699840327436,nosig,0.33815480725058,-0.0378151277301273,nosig,0.956716343369479,0.598884712597309,nosig,0.337727049068933,6.07233584062617e-05,0.000156589957292634,8.47999072263629e-05
Acidobacteria_Gp3,0.176967143410045,nosig,0.705141696385367,0.686421457334534,nosig,0.158777478038726,0.509454313924489,nosig,0.281974935919983,0.000215193260623141,0.00031759693473014,0.000179019272797895
Acidobacteria_Gp4,-1.89983618883258,depleted,0.00788505660448309,-1.62322635161575,nosig,0.0249870318167197,0.27660983721683,nosig,0.629774905993366,4.06099286361333e-05,0.000258868097407209,0.000175011189249045
Acidobacteria_Gp5,-0.374361955332263,nosig,0.552678448898572,-0.145060604320442,nosig,0.822629231282958,0.229301351011821,nosig,0.694860635879815,6.48739734261739e-05,0.000141342049767712,9.855431826269e-05
Acidobacteria_Gp6,-1.83185888558959,depleted,4.94514239877495e-05,-1.19285515414925,depleted,0.00883953353060959,0.639003731440339,nosig,0.134641699946535,0.000330608587643104,0.00195765990468071,0.00103163264458777
Acidobacteria_Gp7,0.393052177516231,nosig,0.654123345073839,0.419886601158858,nosig,0.636534246405311,0.0268344236426268,nosig,0.975373481063228,4.55763742350337e-05,6.03483402990442e-05,4.94207248616215e-05
Actinobacteria,0.614864022546191,enriched,0.000300787784223107,0.220965527409005,nosig,0.193899298847966,-0.393898495137186,nosig,0.0205633744458724,0.271485875288732,0.303626210146896,0.323994936764502
Alphaproteobacteria,1.12271138252981,enriched,9.62734855856511e-08,0.958640195675341,enriched,5.25670597917875e-06,-0.164071186854469,nosig,0.435802627010985,0.187198733653991,0.155506503654217,0.141104327477732
Armatimonadia,-0.742616964602666,nosig,0.457983852684886,-0.629746717698169,nosig,0.533978575814295,0.112870246904496,nosig,0.900299801604426,2.63404076807634e-05,8.0637545905807e-05,5.7871866359429e-05
Bacilli,-0.134975885448157,nosig,0.687604718380258,1.57843186943061,enriched,2.80172328910438e-06,1.71340775487877,enriched,3.56411489516642e-07,0.0164272568101605,0.0324472883980434,0.00806525435608911
Bacteroidia,0,nosig,1,-3.1980145333539,nosig,0.380988960326759,-3.85293713183957,nosig,0.291209164470135,0,0,7.74706295172213e-05
Betaproteobacteria,1.42293701791769,enriched,4.43357838405888e-09,0.890598069524613,enriched,0.000240101920245571,-0.532338948393079,nosig,0.0281772774214163,0.281147245764515,0.192564184242501,0.226317376037094
Caldilineae,-1.10527761204722,nosig,0.131911155785686,-0.57562315459078,nosig,0.443973919874377,0.529654457456443,nosig,0.431518270127976,6.42371467068789e-05,0.000220941093076511,0.000130031287024239
Chlamydiia,-0.254086716978714,nosig,0.609118850891178,-0.480091131648208,nosig,0.332792743240462,-0.226004414669494,nosig,0.63755028311905,0.000293308207389802,0.000588736769492031,0.000588689745335205
Chloroflexia,0.172683651719955,nosig,0.669580737485504,-0.36146451139633,nosig,0.371447660994945,-0.534148163116285,nosig,0.186152947981845,0.00821505983917538,0.0127594888838061,0.0152832511150813
Clostridia,1.12558668100442,nosig,0.102135864244902,1.35354423437623,nosig,0.0500860219656829,0.227957553371808,nosig,0.742232229889972,0.0013570180376854,0.000992434123911677,0.000640147704977781
Cytophagia,-0.677257434205899,depleted,0.0209601479648489,-0.716402749057035,nosig,0.0146239206336671,-0.0391453148511366,nosig,0.893218082566543,0.00560271792636448,0.015228371033761,0.0130296228233419
Deltaproteobacteria,0.653408313535985,enriched,0.0001181864594366,0.344690079768912,nosig,0.0421259774204595,-0.308718233767073,nosig,0.0687220226900665,0.0288366269610891,0.032918952143993,0.0329924355030949
Erysipelotrichia,-0.415226218317776,nosig,0.526628010255846,0.341555736521226,nosig,0.625886416017648,0.756781954839002,nosig,0.238837316317187,6.23019242185892e-05,0.000147142786841902,7.15588990258497e-05
Flavobacteriia,0.598252611324353,nosig,0.199137051312496,0.473661758724343,nosig,0.309339556930195,-0.12459085260001,nosig,0.78915056083816,0.0314621032765026,0.038031933132821,0.0339932748083859
Gammaproteobacteria,0.583662567855651,enriched,0.00765655398374601,0.240293506555818,nosig,0.272174534322661,-0.343369061299834,nosig,0.116609667324034,0.110884954600634,0.13355734999892,0.137812144112059
Ignavibacteria,-0.13058370947073,nosig,0.881286039103801,0.920934135578328,nosig,0.308604076218018,1.05151784504906,nosig,0.235973096920296,0.000137276492569645,0.000222615327700005,9.89802260936175e-05
Nitrospira,0.0610592609915408,nosig,0.867213261130441,-0.466708340504316,nosig,0.196774106704085,-0.527767601495857,nosig,0.135828528657521,0.00059488894847954,0.000988211165033553,0.00114343088960516
