,Group1-Group2logFC,Group1-Group2level,Group1-Group2p,Group1-Group3logFC,Group1-Group3level,Group1-Group3p,Group2-Group3logFC,Group2-Group3level,Group2-Group3p,Group1,Group2,Group3
Acidobacteria,0.230550531103322,nosig,0.0353564046954281,-0.0751828823457609,nosig,0.492536994598672,-0.305733413449083,depleted,0.00526514235541522,0.155998183902639,0.126113273197561,0.161444443375665
Actinobacteria,-0.491694976464407,nosig,0.0141570755272434,0.0836474787119658,nosig,0.676493515762387,0.575342455176373,enriched,0.00410146066772083,0.0357696643157871,0.0474025192570848,0.0334267338377919
Aminicenantes,1.52293116257244,nosig,0.681037789037387,1.51886922907943,nosig,0.68184185758125,0,nosig,1,2.83594400204329e-06,0,0
Armatimonadetes,-0.23462792644674,nosig,0.288418227563593,0.187384823357027,nosig,0.396831663579701,0.422012749803767,nosig,0.0563514313305457,0.00869406183071358,0.00979721780212607,0.00752725127849842
Bacteroidetes,-0.67392477000568,depleted,0.000322571505339072,-0.350402200402511,nosig,0.0615084141794017,0.323522569603169,nosig,0.0842430104394755,0.0601719464255991,0.0912361831273706,0.0753341608662058
BRC1,-0.196870685417662,nosig,0.680181123597198,0.150408536565976,nosig,0.753482365869767,0.347279221983637,nosig,0.468381165212786,0.000360230185412955,0.000388751595674169,0.000315229383893394
candidate_division_WPS-1,0.0157360876277416,nosig,0.906538585360211,-0.569977187120229,depleted,2.04158195276598e-05,-0.58571327474797,depleted,1.2161193157237e-05,0.0100021164037201,0.0093874863771398,0.0144926716575837
candidate_division_WPS-2,-2.06061105175073,depleted,0.000475559937931935,0.260194841957517,nosig,0.662011801587992,2.32080589370824,enriched,8.74577326483844e-05,0.00029158675771828,0.00109218279617282,0.000231946036927891
Candidatus_Saccharibacteria,-0.852685561974851,depleted,0.00257744836499023,0.619648577311441,nosig,0.0289131496064949,1.47233413928629,enriched,2.04340948620236e-07,0.00452916943345941,0.00770810831687471,0.00291901546962538
Chlamydiae,0.0563877602757044,nosig,0.854021894661155,0.722090070487104,nosig,0.0186211297836217,0.665702310211399,nosig,0.0301203735697992,0.00478317884483878,0.00430443590083038,0.00285617029127329
Chlorobi,2.00739048881509,nosig,0.132008799151219,-1.36007447525809,nosig,0.273632593090668,-3.36746496407318,depleted,0.0107990467866055,2.86264046109101e-05,7.16175072233313e-06,7.44117031169834e-05
Chloroflexi,0.17060596714049,nosig,0.29878104449692,-0.124929921307106,nosig,0.446328173828078,-0.295535888447595,nosig,0.0719244230161949,0.00844895807485091,0.0071047288201797,0.00897107338152987
Crenarchaeota,5.08544787217117,enriched,0.000142144148426119,0.744348106015399,nosig,0.494470830131135,-4.34109976615577,depleted,0.00133921442949638,3.39851952909806e-05,0,1.99584166404485e-05
Cyanobacteria,0.0322116844846545,nosig,0.939048631191707,0.167819139342058,nosig,0.690458368603539,0.135607454857404,nosig,0.747740423467331,0.00150986668817591,0.00139323006942857,0.00133354213961505
Deferribacteres,1.2288759222694,nosig,0.740907061280705,0.743918978213262,nosig,0.841351127927258,-0.484956944056136,nosig,0.896416186964571,2.14791394597567e-06,0,9.13121927344715e-07
Deinococcus-Thermus,1.78236311185286,nosig,0.093010591087506,0.769698077476804,nosig,0.459425367704515,-1.01266503437606,nosig,0.344332059724052,7.50524354448434e-05,2.17203540701458e-05,4.34905710448304e-05
Elusimicrobia,-3.054549577369,nosig,0.318003543762735,-1.69216051254525,nosig,0.586084834403029,1.36238906482375,nosig,0.652529165289622,7.400533134407e-07,9.90866909678103e-06,3.94073956860662e-06
Euryarchaeota,-1.42080278926124,nosig,0.174033640929363,-0.48426278278735,nosig,0.645439275430228,0.936540006473889,nosig,0.368678520839848,4.1305268048181e-05,0.000104375649756825,5.86535055615406e-05
Fibrobacteres,1.30599319105931,nosig,0.479354730629286,1.48200713100238,nosig,0.423147975969358,0.176013939943072,nosig,0.925005471415769,4.52090097845951e-05,1.68213390684442e-05,1.44463257426953e-05
Firmicutes,-0.794398035278222,depleted,0.000182714791843752,0.16525318800226,nosig,0.436664099964888,0.959651223280482,enriched,6.22059933205334e-06,0.0163267780953482,0.0274063536156286,0.0146426438480258
Fusobacteria,-0.13450968262384,nosig,0.855605467085903,0.0252724755590463,nosig,0.972831224230936,0.159782158182887,nosig,0.829767649234839,4.79824772660973e-05,4.93689103629237e-05,4.65811304867428e-05
