,KO-OElogFC,KO-OElevel,KO-OEp,KO-WTlogFC,KO-WTlevel,KO-WTp,OE-WTlogFC,OE-WTlevel,OE-WTp,KO,OE,WT,phylum,class,order,family,genus,species
ASV_1,0.0245123419195364,nosig,0.910280783261475,-0.584064820184204,nosig,0.00719258353614556,-0.60857716210374,nosig,0.00509692563277891,0.0335992528579207,0.0377241672679275,0.051743443304362,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_1591,-0.904452084145052,nosig,0.137979694443688,-2.18523229067235,depleted,0.000266195393706348,-1.28078020652729,nosig,0.0278225824674013,0.000238787901579865,0.000506315144538104,0.00104802118904514,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_657,-0.834830798353457,nosig,0.13099001033051,-0.0700132651064998,nosig,0.902042720312137,0.764817533246958,nosig,0.162673359333603,0.000183698177716463,0.000388677690103056,0.000205806914040981,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Unassigned,Unassigned
ASV_28,0.147847801741888,nosig,0.688203951382492,-0.586033751845602,nosig,0.110788809247157,-0.73388155358749,nosig,0.0459016300234296,0.00620338121655582,0.00628494608011092,0.00929708573190322,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinocorallia,Unassigned
ASV_1717,0.0966623497314045,NA,0.925366280332802,0.0620881038848287,NA,0.951858909957088,-0.0345742458465757,nosig,0.973225745598245,6.51378567547182e-05,6.54362049843071e-05,6.27435423876013e-05,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Unassigned
ASV_2407,0.0777671803286297,NA,0.923322626367282,0.814996850190976,nosig,0.33901902898639,0.737229669862346,nosig,0.387472526231596,8.00486831688679e-05,9.18626375889301e-05,4.91703750909235e-05,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Unassigned
ASV_1480,-1.88882275826628,nosig,0.00617494364811539,-1.92509778094862,nosig,0.00513755935995125,-0.0362750226823399,nosig,0.948626391525891,4.63253524567612e-05,0.000190629053353238,0.000178642789961764,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_seranimatus
ASV_125,0.101406440362503,nosig,0.857609262912505,0.245204082511227,nosig,0.664694177178429,0.143797642148724,nosig,0.79940262054494,0.00139287592902054,0.00146348084568238,0.00121577692743268,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_1960,1.39007947082347,NA,0.531454171706931,-1.43270457897992,NA,0.493350947058151,-2.8227840498034,nosig,0.192022345652353,2.767400027674e-05,1.0043790928448e-05,7.22064216205864e-05,Actinobacteria,Actinobacteria,Actinomycetales,Unassigned,Unassigned,Unassigned
ASV_135,-0.226758511804808,nosig,0.590536434643905,-0.208350717949637,nosig,0.620976609384732,0.0184077938551708,nosig,0.964986592645681,0.00106934217384409,0.00138664574581739,0.00124624295072863,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_1418,1.38278238522656,NA,NA,1.98162285058604,NA,NA,0.598840465359477,NA,NA,0.000136604071506793,6.03289555699398e-05,3.55269370604007e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_434,-0.92442832239108,nosig,0.341052664567723,-1.76342197226939,nosig,0.0670547717681245,-0.838993649878315,nosig,0.374745275331979,0.000150478426091051,0.000307990996579877,0.000491172438815775,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Unassigned
ASV_1109,-1.56800632420473,nosig,0.102232454252734,1.80938334680131,nosig,0.113407918222051,3.37738967100604,nosig,0.00221050930324396,7.91121807364651e-05,0.000245705325739252,2.24457430283874e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_688,-0.609478532011536,nosig,0.434163988155525,-1.62760325681536,nosig,0.0309111407008623,-1.01812472480382,nosig,0.159715100185377,8.06562439258071e-05,0.000140631243372893,0.00025483332501138,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_muscovyensis
ASV_1604,-2.39243889216651,NA,0.165213186633982,-3.17884068984897,NA,0.0617525862105626,-0.786401797682454,nosig,0.610126868364099,9.22466675891333e-06,6.09294485194491e-05,8.91667941496762e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_maritima
ASV_2410,-1.96830201435496,NA,0.37003309563664,0.59335131813437,NA,0.797492765011485,2.56165333248933,nosig,0.244864304531332,1.5045739046702e-05,6.66798786315946e-05,8.93721568350067e-06,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_kuesteri
ASV_2539,0.809776993361223,NA,0.633537601901836,0.191752733864461,NA,0.908058283111434,-0.618024259496762,nosig,0.716641071137788,5.07356671740233e-05,3.09368386515747e-05,4.00838678968696e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_salmonea
ASV_1493,2.09536326979577,NA,0.102773319558525,1.18254595378463,nosig,0.334911680747176,-0.912817316011132,nosig,0.488016807927507,0.000129780988495726,3.57721191085525e-05,5.74611290673034e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Nonomuraea_jabiensis
ASV_1087,-0.0897400475909581,nosig,0.915116492487318,0.0627389652246156,nosig,0.940929864105051,0.152479012815574,nosig,0.856056970333219,9.4518196693681e-05,0.000115560053953556,9.9646639418233e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Unassigned,Unassigned
ASV_2789,-1.56001767638886,NA,0.165937319488202,-0.461029343590349,NA,0.698851659007379,1.09898833279851,nosig,0.301555397723032,2.31608444931492e-05,7.49051027134889e-05,3.13033132387803e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Unassigned
ASV_8,-0.717271284778872,nosig,0.0539989333083548,-0.566845180873253,nosig,0.127879303529828,0.150426103905619,nosig,0.685813719818374,0.0116165304924124,0.0211682480187984,0.0177470867081166,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_174,-2.0692753755826,nosig,0.0164672770275333,-3.51337375823943,depleted,4.19479448310992e-05,-1.44409838265684,nosig,0.0818812449843786,0.000161132908280277,0.000749268623330499,0.00185928088660569,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_208,-0.542294368495084,nosig,0.402418968305258,-1.29203503075566,nosig,0.0443484760581758,-0.749740662260571,nosig,0.238519129706854,0.000408650881632832,0.000673389603106559,0.00100051041408075,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_716,-2.91858909251956,nosig,0.0110565452989676,-3.26425653361498,nosig,0.00430001538897838,-0.345667441095413,nosig,0.720760733009027,2.31312366455933e-05,0.000192330778963255,0.000225293738741629,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1181,-0.101320418880157,nosig,0.916755429991731,-1.32662056213357,nosig,0.152143898911069,-1.22530014325341,nosig,0.181565542517893,5.8721263714774e-05,7.50273265540188e-05,0.000156952874362758,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1312,0.198805746071845,nosig,0.877778481058712,-1.87600203194977,nosig,0.124741661594864,-2.07480777802161,nosig,0.0917380654731951,4.48491766051423e-05,4.5066023727492e-05,0.000164907377532287,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1464,-1.22884690069309,NA,0.123750639262447,-1.52312307956618,nosig,0.0521680085323602,-0.294276178873092,nosig,0.663505721881884,3.67295579603401e-05,9.56292375088626e-05,0.000107535215613157,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1703,-0.758686200109257,NA,0.44734824067146,-1.7618874213192,nosig,0.0664634963636198,-1.00320122120994,nosig,0.264598015585482,3.56343146208261e-05,7.0761879550088e-05,0.000135293010892377,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1667,0.367513642226121,NA,0.705283484607319,1.83217503410749,nosig,0.0887600520294591,1.46466139188136,nosig,0.178052747167851,8.86371274026997e-05,7.92122890677388e-05,2.63042062445413e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1225,-3.47689477025032,nosig,0.0232142038261316,-2.71558852606506,nosig,0.0787597202037748,0.761306244185259,nosig,0.567319307454708,1.36345098893179e-05,0.000160170901721546,9.96554845456803e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_lincolnensis
ASV_106,-1.69383455789936,depleted,0.00145620504884531,-0.778547612741905,nosig,0.145625925460793,0.915286945157452,nosig,0.0822780962527074,0.000778322788694274,0.0027074519825892,0.00137555469405013,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1287,-1.0287206037723,nosig,0.228094139287712,-1.49757763570143,nosig,0.0734833808787816,-0.468857031929125,nosig,0.541781905436188,4.45193869987509e-05,0.000103050042746275,0.000134499198325418,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_albiflavescens
ASV_2611,-2.49251617427733,NA,0.105004755323898,-1.73944829303602,NA,0.265485153212653,0.753067881241316,nosig,0.58417154834776,1.5045739046702e-05,8.31997892134721e-05,4.94990597396254e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_2618,-2.14144985753292,NA,0.0206359260132327,-0.655863437388897,nosig,0.509659307191635,1.48558642014402,nosig,0.0785218374626111,2.80451280142477e-05,0.000136026723117734,4.45147419057459e-05,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_fimbriatus
ASV_266,-0.341737212638564,nosig,0.475590264930813,-0.108748253654111,nosig,0.821206878970965,0.232988958984453,nosig,0.624839738294268,0.000532439543299685,0.000750186924493717,0.000577673230995327,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
