,logFC,level,p,Genus,ord
Acidobacteria_Gp11,-4.40149989049342,depleted,8.58605992882464e-05,Acidobacteria_Gp11,19.3732012860136
Oligoflexia,-2.25412050488251,depleted,0.00216048977935303,Oligoflexia,5.08105925053178
Acidobacteria_Gp4,-2.0196726546068,depleted,0.000593066770424992,Acidobacteria_Gp4,4.07907763176647
Acidobacteria_Gp6,-1.99490928621485,depleted,9.27722965134947e-06,Acidobacteria_Gp6,3.97966306022624
Acidobacteria_Gp17,-1.78040728090914,depleted,8.20052321882776e-05,Acidobacteria_Gp17,3.16985008591429
Planctomycetia,-1.69665935038068,depleted,0.000257441842722257,Planctomycetia,2.8786529512342
Opitutae,-1.60399122079232,depleted,3.24938200132791e-05,Opitutae,2.57278783637883
Spartobacteria,-1.37093728661061,depleted,0.00355924977796654,Spartobacteria,1.87946904381926
Verrucomicrobiae,-1.2866669683174,depleted,0.0064326872048972,Verrucomicrobiae,1.65551188735908
Betaproteobacteria,1.19964393208912,enriched,9.05358486700607e-06,Betaproteobacteria,1.43914556379824
Alphaproteobacteria,0.922823420251075,enriched,0.000132315818005774,Alphaproteobacteria,0.851603064963892
Cytophagia,-0.916349487820728,depleted,0.00387192686558162,Cytophagia,0.83969638382931
Sphingobacteriia,-0.889233555699325,depleted,0.00127191150794645,Sphingobacteriia,0.790736316581665
