,logFC,level,p,Genus,ord
Bacteroidia,-4.41397096313006,depleted,0.00325003281309315,Bacteroidia,19.4831396633553
Acidobacteria_Gp11,-3.90139979863137,depleted,0.000838239647318001,Acidobacteria_Gp11,15.2209203887609
Acidobacteria_Gp4,-1.72042126918302,depleted,0.00425781247116861,Acidobacteria_Gp4,2.9598493434573
Opitutae,-1.56683806798355,depleted,5.16989767553482e-05,Opitutae,2.45498153128244
Acidobacteria_Gp6,-1.36542422794387,depleted,0.00235080675934961,Acidobacteria_Gp6,1.86438332225611
Bacilli,1.35433849802625,enriched,5.33619433235012e-05,Bacilli,1.83423276723601
Acidobacteria_Gp17,-1.33276749556883,depleted,0.00329340793347898,Acidobacteria_Gp17,1.77626919724482
Sphingobacteriia,-0.99947727598144,depleted,0.000297545213383835,Sphingobacteriia,0.998954825203279
Cytophagia,-0.9079562968328,depleted,0.00421132480972857,Cytophagia,0.824384636958332
Alphaproteobacteria,0.780441459847663,enriched,0.00119537841818331,Alphaproteobacteria,0.609088872249152
Betaproteobacteria,0.705837809779036,enriched,0.00840362626770738,Betaproteobacteria,0.498207013713667
