,logFC,level,p,Genus,ord
ASV_649,7.41876175603881,enriched,0.00110149063859964,ASV_649,55.0380259928641
ASV_723,-6.92428216965278,depleted,3.86492102142162e-06,ASV_723,47.9456835649714
ASV_802,-6.85394748623278,depleted,6.91445622714245e-05,ASV_802,46.9765961440367
ASV_173,6.51844398169643,enriched,0.000192642224947519,ASV_173,42.4901119425144
ASV_1185,6.32501298231397,enriched,0.000401634352899738,ASV_1185,40.0057892264403
ASV_1373,5.96452452961452,enriched,0.00192113154651942,ASV_1373,35.5755528643733
ASV_1481,5.71249345072242,enriched,0.00216044418397956,ASV_1481,32.6325814245465
ASV_2717,5.47759578637747,enriched,0.000146747193342352,ASV_2717,30.0040555989402
ASV_1719,5.40095514612666,enriched,0.00204390797941358,ASV_1719,29.1703164904721
ASV_662,5.36503088232291,enriched,0.000890340265044205,ASV_662,28.7835563682785
ASV_1659,5.20067261815533,enriched,0.000808595124296114,ASV_1659,27.0469956812306
ASV_1852,-5.11449713757986,depleted,0.00161463148466412,ASV_1852,26.1580809703126
ASV_1348,-5.02388099726761,depleted,0.00116491041960528,ASV_1348,25.2393802747066
ASV_744,5.00654813117023,enriched,0.000796288245764261,ASV_744,25.0655241897241
ASV_2560,4.94691998859277,enriched,0.00119637062284626,ASV_2560,24.4720173735387
ASV_2248,4.84047565266496,enriched,0.000934461959502578,ASV_2248,23.4302045440423
ASV_2158,4.80035453307071,enriched,0.000811048313442302,ASV_2158,23.0434036431725
ASV_2547,4.67384020126829,enriched,0.00127743730797782,ASV_2547,21.8447822269916
ASV_1191,-4.65374603753216,depleted,1.45616608055446e-05,ASV_1191,21.6573521818463
ASV_1803,-4.53429564662641,depleted,0.000275246691204535,ASV_1803,20.5598370110153
ASV_2365,-4.36425858304304,depleted,0.00146638720665777,ASV_2365,19.0467529796649
ASV_2081,-4.29583292816185,depleted,0.000184876064239616,ASV_2081,18.4541805466796
ASV_1853,-4.28892203350076,depleted,0.00152243852023128,ASV_1853,18.3948522094483
ASV_1909,-4.18957159551161,depleted,0.000130905453598317,ASV_1909,17.5525101539177
ASV_443,-4.03744178449969,depleted,0.000612737819179697,ASV_443,16.300936163224
ASV_2641,4.03243158721848,enriched,0.000237159021973832,ASV_2641,16.2605045055973
ASV_2918,-3.95284807009967,depleted,0.000600533190567716,ASV_2918,15.6250078652907
ASV_2599,-3.95268585211233,depleted,0.000702830430097082,ASV_2599,15.623725445489
ASV_661,3.92793734833185,enriched,0.00180678092537879,ASV_661,15.4286918124202
ASV_2720,-3.92718186460383,depleted,0.00113789348475617,ASV_2720,15.4227573976732
ASV_2917,-3.91799354934684,depleted,0.00136655151957719,ASV_2917,15.3506734527235
ASV_2893,-3.8420329902786,depleted,0.000709304978493745,ASV_2893,14.7612174983892
ASV_975,3.79336494069802,enriched,0.000540661797518946,ASV_975,14.3896175733169
ASV_1523,-3.78688417514507,depleted,0.000898275874779453,ASV_1523,14.3404917559641
ASV_1241,3.74322524473869,enriched,0.000503391203881256,ASV_1241,14.011735232849
ASV_2076,-3.71920997860233,depleted,5.39588147246873e-05,ASV_2076,13.8325228649351
ASV_1908,-3.70175291527065,depleted,3.19362651469078e-07,ASV_1908,13.7029746457148
ASV_842,3.68652588287714,enriched,0.00068513471639921,ASV_842,13.590473085123
ASV_2829,3.50883565316338,enriched,0.000359818915355884,ASV_2829,12.3119276409105
ASV_174,-3.48257440464659,depleted,0.000124455296716329,ASV_174,12.1283244838996
ASV_1850,-3.47403599250964,depleted,2.6762486043766e-06,ASV_1850,12.0689260772524
ASV_2583,-3.45684262530201,depleted,0.000148701404725501,ASV_2583,11.9497609361049
ASV_2659,-3.36658408455468,depleted,0.000256679355479727,ASV_2659,11.3338883983769
ASV_945,3.309710469562,enriched,0.00145517506502057,ASV_945,10.9541833923283
ASV_2738,3.24112040718639,enriched,0.000527119536218205,ASV_2738,10.50486149388
ASV_2894,-3.21932264933349,depleted,0.000742927138133473,ASV_2894,10.3640383205116
ASV_1080,-3.19567256491554,depleted,0.000662153063413466,ASV_1080,10.2123231421539
ASV_1690,-3.18657023820838,depleted,0.000127308420935773,ASV_1690,10.1542298830354
ASV_2481,-3.13033645764119,depleted,0.00119061727273982,ASV_2481,9.79900633803758
ASV_1847,-3.11849448422438,depleted,0.00114253190200468,ASV_1847,9.72500784813788
ASV_1533,-3.11698053854731,depleted,0.000218644299979217,ASV_1533,9.71556767768268
ASV_716,-3.08767106205678,depleted,0.00211515729711675,ASV_716,9.53371258746284
ASV_322,3.08321635366219,enriched,3.286536413931e-05,ASV_322,9.50622308348997
ASV_1508,3.03281336067991,enriched,0.000525031439717829,ASV_1508,9.19795688071854
ASV_1832,2.91121482734024,enriched,0.00167374570187909,ASV_1832,8.47517177092566
ASV_1557,-2.83729206156667,depleted,0.000197836586669378,ASV_1557,8.05022624262926
ASV_1910,-2.83168380074237,depleted,0.000270355355170609,ASV_1910,8.01843314738677
ASV_1350,2.80791461191962,enriched,0.000131071806508628,ASV_1350,7.88438446783172
ASV_1671,-2.7462785013864,depleted,0.00198640561441074,ASV_1671,7.54204560717714
ASV_958,-2.6252350061572,depleted,0.000484584668235568,ASV_958,6.89185883755318
ASV_1135,-2.62414418685425,depleted,0.000628900669164459,ASV_1135,6.88613271340095
ASV_1462,-2.61639745806205,depleted,0.00194638491418836,ASV_1462,6.84553565855355
ASV_2863,-2.58998905556229,depleted,0.000267713919519745,ASV_2863,6.70804330793244
ASV_1215,-2.53019382733096,depleted,0.00106561407768893,ASV_1215,6.40188080386371
ASV_1792,-2.51394676578762,depleted,0.00187514754721652,ASV_1792,6.31992834121404
ASV_1114,-2.51143816250236,depleted,0.000251941902947833,ASV_1114,6.30732164407326
ASV_951,-2.49026216219888,depleted,0.000514217281150556,ASV_951,6.20140563647944
ASV_717,-2.39168992534592,depleted,0.000239721001800781,ASV_717,5.72018069900118
ASV_247,-2.38123993449774,depleted,2.46305507890324e-08,ASV_247,5.67030362564681
ASV_823,-2.37926372237532,depleted,0.000384415363990318,ASV_823,5.66089586061124
ASV_206,2.36617032464417,enriched,0.00189391698977939,ASV_206,5.59876200522668
ASV_581,-2.32892374765582,depleted,0.000103251780065287,ASV_581,5.42388582239522
ASV_1492,-2.31490162680718,depleted,0.000953314789950275,ASV_1492,5.35876954179453
ASV_1005,-2.29980380763636,depleted,0.000139881453320789,ASV_1005,5.28909755361869
ASV_1008,2.26038365545992,enriched,0.000474045420876152,ASV_1008,5.10933426987035
ASV_2327,-2.19923626127052,depleted,0.0013564544636047,ASV_2327,4.83664013288712
ASV_998,-2.16737856405879,depleted,0.000225084673010883,ASV_998,4.69752983994154
ASV_204,-2.15790788702524,depleted,1.20690287586878e-08,ASV_204,4.65656644888575
ASV_1539,-2.15704517429686,depleted,0.00188211846475715,ASV_1539,4.65284388395736
ASV_1591,-2.15584403398455,depleted,0.00056695457887326,ASV_1591,4.64766349886679
ASV_862,-2.13890575779245,depleted,0.000885636548876193,ASV_862,4.5749178407177
ASV_970,-2.13206561363895,depleted,0.00163012345567462,ASV_970,4.54570378086161
ASV_2907,-2.11768369269334,depleted,0.000538276336651285,ASV_2907,4.4845842222993
ASV_1333,-2.11372628004576,depleted,0.00179291933717192,ASV_1333,4.46783878695608
ASV_553,-2.08130360073205,depleted,1.41047492039741e-05,ASV_553,4.33182467842019
ASV_1399,-2.04516740916672,depleted,0.00157549745110148,ASV_1399,4.18270973151773
ASV_112,-2.01275070085025,depleted,8.88937407200557e-07,ASV_112,4.05116538377318
ASV_1511,-1.97983198511086,depleted,0.00190599542348005,ASV_1511,3.91973468926802
ASV_191,-1.9793072317112,depleted,0.000127845152915287,ASV_191,3.91765711750426
ASV_666,-1.96352494642545,depleted,0.00142669568437566,ASV_666,3.85543021523505
ASV_2488,-1.95495059460897,depleted,0.000869354584141655,ASV_2488,3.82183182736195
ASV_952,-1.91694524718274,depleted,0.000421565026177417,ASV_952,3.67467908069649
