,logFC,level,p,Genus,ord
ASV_849,6.7788982822771,enriched,1.4728265347231e-05,ASV_849,45.9534619214594
ASV_881,6.54869860738133,enriched,1.21606220541857e-05,ASV_881,42.8854534503182
ASV_1731,6.06203300048237,enriched,3.12350043769495e-05,ASV_1731,36.7482440989373
ASV_2362,4.79277464069731,enriched,0.000174774882285765,ASV_2362,22.9706887565112
ASV_1145,4.79143522117911,enriched,0.000120016156930749,ASV_1145,22.9578514787557
ASV_1943,4.57736659677857,enriched,0.000265423298357964,ASV_1943,20.9522849613042
ASV_1799,-3.93248197957965,depleted,8.95907647823877e-05,ASV_1799,15.4644145197187
ASV_916,3.50353262515233,enriched,9.05947080572269e-05,ASV_916,12.2747408555068
ASV_1202,3.07558100502964,enriched,2.29965495872572e-05,ASV_1202,9.45919851849916
ASV_877,-3.01843456104545,depleted,0.000212026911177493,ASV_877,9.11094719931363
ASV_575,2.87190251776737,enriched,3.49049918349921e-06,ASV_575,8.24782407155856
ASV_43,2.73583158438672,enriched,5.01101273373356e-10,ASV_43,7.48477445812796
ASV_172,2.68359010263047,enriched,4.08311721448324e-10,ASV_172,7.20165583893621
ASV_1093,2.28492981296674,enriched,7.2544805159728e-05,ASV_1093,5.22090425018422
ASV_67,2.2762858270822,enriched,1.51173303741134e-05,ASV_67,5.18147716657527
ASV_246,2.23492865358709,enriched,5.76379024345551e-06,ASV_246,4.99490608662462
