"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT"
"Acidimicrobiaceae",-0.18891146155559,"nosig",0.430957115238405,0.240334990019338,"nosig",0.326422088788789,0.429246451574929,"nosig",0.0743973369804784,0.00110103997323954,0.0016050848854216,0.00102709196140174
"Acidimicrobineae_incertae_sedis",-0.158164392011672,"nosig",0.73872658197313,0.06326339371326,"nosig",0.895520122939688,0.221427785724932,"nosig",0.637560557388326,0.000167746084091583,0.000238054455564909,0.000174419581993354
"Alcaligenaceae",-2.29039113553947,"depleted",0.0019952131147348,0.813278506572102,"nosig",0.283276737745639,3.10366964211157,"enriched",5.38757226575807e-05,0.00016463726397103,0.00109894877632641,0.000111985511091964
"Alicyclobacillaceae",-2.08924801393253,"nosig",0.0144581563940222,-0.295041469212471,"nosig",0.727099572448698,1.79420654472006,"nosig",0.0322744407222343,0.000130079332400542,0.000694185747149671,0.000179660726881144
"Armatimonadaceae",-1.14097053353121,"nosig",0.113699641325714,-0.896594610917431,"nosig",0.226594423866722,0.244375922613779,"nosig",0.700740560908424,2.63404076807634e-05,8.0637545905807e-05,5.7871866359429e-05
"Bacillaceae_1",-1.21735479964307,"depleted",4.32836778673669e-05,0.764184364196405,"nosig",0.0102855206242983,1.98153916383948,"enriched",8.02678667709523e-11,0.00689577777373933,0.0204260206361294,0.00448661527016728
"Bacillaceae_2",-0.963328400819459,"nosig",0.133515884549081,1.17717530771551,"nosig",0.0842694313084593,2.14050370853497,"enriched",0.00154138653722849,0.000219052190156996,0.000582323318582123,0.00011241420747165
"Bacteriovoracaceae",0.892207979681301,"nosig",0.0680216769549979,0.29599915600068,"nosig",0.540925839672847,-0.596208823680621,"nosig",0.220823339366029,0.00231252384964269,0.00177696409039023,0.00230374220181425
"Bdellovibrionaceae",0.777922760580699,"nosig",0.0300397728740552,0.490805649118264,"nosig",0.167362846582894,-0.287117111462435,"nosig",0.42357873405081,0.00138962180765013,0.001080938576631,0.00116373410985871
"Beijerinckiaceae",1.35525432633571,"nosig",0.013510380859651,1.16849204638079,"nosig",0.031389075351534,-0.186762279954917,"nosig",0.740157095280931,0.000349453134137973,0.000185744869714983,0.000186989650800517
"Bradyrhizobiaceae",0.52289570559788,"enriched",0.0117148580422258,0.422907340298654,"nosig",0.0412600271296155,-0.0999883652992263,"nosig",0.629144640596576,0.02864668636403,0.0262548023505101,0.0244129073096127
"Brucellaceae",2.34114092597389,"enriched",0.00570834783032709,0.499110037097728,"nosig",0.505987803075315,-1.84203088887617,"nosig",0.0303170979393733,0.000123099741417657,3.02843584040176e-05,0.000101987925269188
"Burkholderiaceae",0.619155592422749,"nosig",0.0579527176052023,0.499246401295103,"nosig",0.125371216522834,-0.119909191127646,"nosig",0.714131184978289,0.00185095585378404,0.00161425113815269,0.00149569737028747
"Burkholderiales_incertae_sedis",0.483079236359697,"nosig",0.119960500462296,0.207511731207066,"nosig",0.503149806051512,-0.275567505152631,"nosig",0.374280092722624,0.0173387316310221,0.0166507949770915,0.0179736487797236
"Caldilineaceae",-1.49739532564467,"depleted",0.0109192851144969,-0.934589696333358,"nosig",0.124984556372646,0.562805629311311,"nosig",0.294733381486038,6.42371467068789e-05,0.000220941093076511,0.000130031287024239
"Caulobacteraceae",0.891692824187439,"enriched",0.00013943603490927,0.674649960771526,"enriched",0.00379921645246199,-0.217042863415913,"nosig",0.351881960247836,0.0122150696032638,0.00869506261262768,0.00874301042290695
"Cellulomonadaceae",-1.33911886660264,"depleted",0.00425529358579282,-1.14491150476388,"nosig",0.0145735103868956,0.194207361838758,"nosig",0.665287582806684,0.000386544448759246,0.00116615324793553,0.000883334871793566
"Chitinophagaceae",-2.01169729638572,"depleted",3.00508394004832e-09,-1.85788936537281,"depleted",3.95326892186521e-08,0.153807931012916,"nosig",0.629379671559295,0.000911779632215257,0.00445778681272237,0.00355882499809157
"Chlamydiaceae",-1.4311619143157,"nosig",0.0874419256649632,-1.83660154753273,"nosig",0.028320723233885,-0.405439633217021,"nosig",0.605743683000616,7.84434267655368e-05,0.000261075987287582,0.000334352654829609
"Chloroflexaceae",0.079982097152181,"nosig",0.801741158671871,-0.101544163495189,"nosig",0.748922982913975,-0.18152626064737,"nosig",0.566122586837656,0.00132159223510781,0.00157010573217889,0.00158754170592594
"Clostridiaceae_1",0.611038308986189,"nosig",0.572923680405757,1.81725986238403,"nosig",0.10407694188247,1.20622155339784,"nosig",0.274596750274756,0.000741177746674465,0.00042898511086692,0.000179271373995867
"Comamonadaceae",1.00061656378113,"enriched",0.000530210455307348,0.607695668864141,"nosig",0.0342047109189432,-0.392920894916987,"nosig",0.170168754002656,0.11374443776024,0.0749584516462827,0.0872686739536774
"Conexibacteraceae",0.257182525967238,"nosig",0.383355003893754,0.357312181178292,"nosig",0.227676318420337,0.100129655211054,"nosig",0.735253590972263,0.00179487466157981,0.00193385135697219,0.00152457443681472
"Cryomorphaceae",-1.31487376758966,"depleted",0.000452368884494188,-2.05055885782936,"depleted",2.98618775043819e-08,-0.735685090239709,"nosig",0.0292836197928398,0.000258901304419021,0.00081414889291278,0.00119422141608313
"Cryptosporangiaceae",0.0940234749383586,"nosig",0.910763752429401,0.202668779541189,"nosig",0.809821671204074,0.10864530460283,"nosig",0.896407363404079,0.000100020049844086,0.000122005387423313,9.40652266032783e-05
"Cyclobacteriaceae",-1.61973658709737,"depleted",0.00306449375774079,-1.46589517674596,"nosig",0.00772014314268369,0.153841410351409,"nosig",0.748417704005249,7.20877066443533e-05,0.000283538660878659,0.00023141386637041
"Cystobacteraceae",-0.785872507868236,"nosig",0.0150723868818298,-0.221314862479238,"nosig",0.501415449659177,0.564557645388998,"nosig",0.0749292748700867,0.00056793869853267,0.00119968669657417,0.000710608990001855
"Ectothiorhodospiraceae",-1.56243910797456,"nosig",0.105857683407875,-1.39709537521409,"nosig",0.154353564500918,0.165343732760472,"nosig",0.83798323383015,9.22466675891333e-06,4.0622125781424e-05,3.14937130156697e-05
"Enterobacteriaceae",-5.17058501574056,"depleted",0.000342804294485586,0.703049641650896,"nosig",0.592659878675859,5.87363465739145,"enriched",8.360964037177e-05,2.60528182514198e-05,0.00155678201220248,1.77496262732731e-05
"Erysipelotrichaceae",-0.822784138647412,"nosig",0.132738019717179,-0.0288763336527865,"nosig",0.961026515452141,0.793907804994625,"nosig",0.136276737670661,6.23019242185892e-05,0.000147142786841902,7.15588990258497e-05
"Erythrobacteraceae",1.04855625609902,"enriched",0.000464497792209468,0.834612408076982,"enriched",0.00504665569520956,-0.213943848022036,"nosig",0.475756278927739,0.00286706322476403,0.00186822977303082,0.00187524300572949
"Flammeovirgaceae",-2.62354227253268,"depleted",1.76345887971499e-05,-2.29057626880407,"depleted",0.000260034872761512,0.332966003728601,"nosig",0.475629365992876,2.88085142187101e-05,0.000232029994159148,0.000160487370743966
"Flavobacteriaceae",0.194899121899802,"nosig",0.689639870201896,0.221640724203495,"nosig",0.649768318664726,0.0267416023036931,"nosig",0.956285708490703,0.0311660693912981,0.0370573830316728,0.0326529383588723
"Gaiellaceae",0.0502803196420799,"nosig",0.817605141383182,0.0630230144403129,"nosig",0.772666243914169,0.012742694798233,"nosig",0.953310771131281,0.00455469640657531,0.00557244794963908,0.0047722888895285
