,Pvalues,FDR,Group1,Group2,Group3,max,min,LDAscore,class,color
o__Archaea_Rank_Thaumarchaeota_Rank_Unassigned_Rank_Nitrosopumilales,0.0018941,0.051004,422.833333333333,87.3333333333333,270.166666666667,422.833333333333,87.3333333333333,2.23,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Chromatiales,0.0021416,0.051004,1409.16666666667,610,860.666666666667,1409.16666666667,610,2.6,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Deltaproteobacteria_Rank_Syntrophobacterales,0.0026881,0.051004,49,13,21.8333333333333,49,13,1.28,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Deltaproteobacteria_Rank_Desulfovibrionales,0.002706,0.051004,57.6666666666667,28.3333333333333,186.333333333333,186.333333333333,28.3333333333333,1.9,Group3,blue
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacteriales,0.002706,0.051004,141,528.5,49.6666666666667,528.5,49.6666666666667,2.38,Group2,red
o__Bacteria_Rank_Proteobacteria_Rank_Betaproteobacteria_Rank_Neisseriales,0.0031455,0.051004,734.333333333333,2710.16666666667,636.5,2710.16666666667,636.5,3.02,Group2,red
o__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria_Rank_Rhodospirillales,0.0032249,0.051004,10423.1666666667,6006.33333333333,6280.33333333333,10423.1666666667,6006.33333333333,3.34,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria_Rank_Rhodobacterales,0.0041713,0.051004,68.8333333333333,215,117,215,68.8333333333333,1.87,Group2,red
o__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Halanaerobiales,0.0041832,0.051004,18.1666666666667,1.16666666666667,4.33333333333333,18.1666666666667,1.16666666666667,0.978,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Pasteurellales,0.004419,0.051004,5.66666666666667,1.66666666666667,0,5.66666666666667,0,0.584,Group1,darkgreen
o__Bacteria_Rank_Actinobacteria_Rank_Actinobacteria_Rank_Acidimicrobiales,0.0047109,0.051004,370.333333333333,380.333333333333,259.5,380.333333333333,259.5,1.79,Group2,red
o__Bacteria_Rank_Proteobacteria_Rank_Deltaproteobacteria_Rank_Desulfuromonadales,0.005427,0.051004,844.833333333333,632,3773.83333333333,3773.83333333333,632,3.2,Group3,blue
o__Bacteria_Rank_Actinobacteria_Rank_Actinobacteria_Rank_Coriobacteriales,0.0057137,0.051004,0.5,0.5,4.66666666666667,4.66666666666667,0.5,0.489,Group3,blue
p__Bacteria_Rank_Spirochaetes,0.0057203,0.051004,88.6666666666667,31,82,88.6666666666667,31,1.47,Group1,darkgreen
c__Bacteria_Rank_Spirochaetes_Rank_Spirochaetia,0.0057203,0.051004,88.6666666666667,31,82,88.6666666666667,31,1.47,Group1,darkgreen
o__Bacteria_Rank_Spirochaetes_Rank_Spirochaetia_Rank_Spirochaetales,0.0057203,0.051004,88.6666666666667,31,82,88.6666666666667,31,1.47,Group1,darkgreen
c__Bacteria_Rank_Chloroflexi_Rank_Caldilineae,0.0061848,0.051004,182.333333333333,85.3333333333333,164,182.333333333333,85.3333333333333,1.69,Group1,darkgreen
o__Bacteria_Rank_Chloroflexi_Rank_Caldilineae_Rank_Caldilineales,0.0061848,0.051004,182.333333333333,85.3333333333333,164,182.333333333333,85.3333333333333,1.69,Group1,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Betaproteobacteria_Rank_Hydrogenophilales,0.006212,0.051004,77.3333333333333,19.5,386.666666666667,386.666666666667,19.5,2.27,Group3,blue
o__Bacteria_Rank_Actinobacteria_Rank_Actinobacteria_Rank_Rubrobacterales,0.006827,0.05228,3.33333333333333,3.5,0,3.5,0,0.439,Group2,red
p__Bacteria_Rank_Firmicutes,0.007708,0.05228,2750.33333333333,4649.16666666667,2186.33333333333,4649.16666666667,2186.33333333333,3.09,Group2,red
c__Bacteria_Rank_Firmicutes_Rank_Bacilli,0.007708,0.05228,2616.66666666667,4505.33333333333,2065.33333333333,4505.33333333333,2065.33333333333,3.09,Group2,red
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Bacillales,0.007708,0.05228,2600,4492,2060.66666666667,4492,2060.66666666667,3.09,Group2,red
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Oceanospirillales,0.0098389,0.063953,13.3333333333333,35.3333333333333,2.66666666666667,35.3333333333333,2.66666666666667,1.24,Group2,red
o__Bacteria_Rank_Proteobacteria_Rank_Betaproteobacteria_Rank_Sulfuricellales,0.010707,0.066812,55.8333333333333,29,133.833333333333,133.833333333333,29,1.73,Group3,blue
c__Bacteria_Rank_Proteobacteria_Rank_Betaproteobacteria,0.01639,0.090747,9901.33333333333,15125,10943.8333333333,15125,9901.33333333333,3.42,Group2,red
