"","KO","Means","SD"
"num.edges",757,757,0
"num.pos.edges",386,0,0
"num.neg.edges",371,0,0
"num.vertices",410,410,0
"connectance",0.00902856461327449,0.00902856461327449,0
"average.degree",3.69268292682927,3.69268292682927,0
"average.path.length",1.09773539928486,4.67548714947538,0.0424761600010889
"diameter",1.97122152121832,10.2,0.864566219253764
"edge.connectivity",0,0,0
"clustering.coefficient",0.977209560867148,0.00943583516030905,0.0034951803340682
"no.clusters",114,11.61,2.6738350621147
"centralization.degree",0.0252012642375813,0.0170839048243783,0.00259777953553533
"centralization.betweenness",0.000586309451596709,0.0455532660078164,0.00829354378850845
"centralization.closeness",0.000123394097289377,0.0126243428111843,0.00450271292991321
