source,target,correlation,direct,cor
ASV_22,ASV_691,-0.985610760609162,undirected,-
ASV_148,ASV_691,-0.985610760609162,undirected,-
ASV_34,ASV_691,0.985610760609162,undirected,+
ASV_214,ASV_691,0.985610760609162,undirected,+
ASV_273,ASV_691,-0.985610760609162,undirected,-
ASV_46,ASV_691,-0.985610760609162,undirected,-
ASV_33,ASV_691,0.985610760609162,undirected,+
ASV_276,ASV_691,-0.985610760609162,undirected,-
ASV_77,ASV_691,0.985610760609162,undirected,+
ASV_70,ASV_691,0.985610760609162,undirected,+
ASV_28,ASV_691,0.985610760609162,undirected,+
ASV_219,ASV_691,-0.985610760609162,undirected,-
ASV_50,ASV_691,0.985610760609162,undirected,+
ASV_165,ASV_691,0.985610760609162,undirected,+
ASV_503,ASV_691,-0.985610760609162,undirected,-
ASV_221,ASV_691,0.985610760609162,undirected,+
ASV_223,ASV_691,0.985610760609162,undirected,+
ASV_142,ASV_691,0.985610760609162,undirected,+
ASV_504,ASV_691,0.985610760609162,undirected,+
ASV_674,ASV_691,0.985610760609162,undirected,+
ASV_194,ASV_691,0.985610760609162,undirected,+
ASV_179,ASV_691,0.985610760609162,undirected,+
ASV_526,ASV_691,-0.985610760609162,undirected,-
ASV_183,ASV_691,0.985610760609162,undirected,+
ASV_572,ASV_691,-0.985610760609162,undirected,-
ASV_869,ASV_691,0.985610760609162,undirected,+
ASV_1426,ASV_691,0.985610760609162,undirected,+
ASV_540,ASV_691,-0.985610760609162,undirected,-
ASV_802,ASV_691,0.985610760609162,undirected,+
ASV_1745,ASV_691,0.985610760609162,undirected,+
ASV_408,ASV_691,0.985610760609162,undirected,+
ASV_865,ASV_691,0.985610760609162,undirected,+
ASV_1057,ASV_691,1,undirected,+
ASV_663,ASV_691,-0.985610760609162,undirected,-
ASV_999,ASV_691,0.985610760609162,undirected,+
ASV_994,ASV_691,0.985610760609162,undirected,+
ASV_216,ASV_691,0.985610760609162,undirected,+
