"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_202",2,0.00256410256410256,0,2
"ASV_1036",2,0.00256410256410256,0,2
"ASV_838",1,0.00255754475703325,0,1
"ASV_2118",1,0.00255754475703325,0,1
"ASV_92",3,0.0025706940874036,0,3
"ASV_101",3,0.0025706940874036,0,3
"ASV_546",3,0.0025706940874036,0,3
"ASV_23",3,0.0025706940874036,0,3
"ASV_298",3,0.0025706940874036,0,3
"ASV_495",3,0.0025706940874036,0,3
"ASV_273",4,0.00257731958762887,0,4
"ASV_1217",4,0.00257731958762887,0,4
"ASV_630",4,0.00257731958762887,0,4
"ASV_735",4,0.00257731958762887,0,4
"ASV_455",1,0.00255754475703325,0,1
"ASV_49",3,0.0025706940874036,0,3
"ASV_812",3,0.0025706940874036,0,3
"ASV_540",3,0.0025706940874036,0,3
"ASV_228",2,0.00256410256410256,0,2
"ASV_596",2,0.00256410256410256,0,2
"ASV_1342",2,0.00256410256410256,0,2
"ASV_1607",2,0.00256410256410256,0,2
"ASV_41",11,0.0026246719160105,0,11
"ASV_81",11,0.0026246719160105,0,11
"ASV_95",11,0.0026246719160105,0,11
"ASV_970",11,0.0026246719160105,0,11
"ASV_85",11,0.0026246719160105,0,11
"ASV_190",11,0.0026246719160105,0,11
"ASV_235",11,0.0026246719160105,0,11
"ASV_421",11,0.0026246719160105,0,11
"ASV_258",11,0.0026246719160105,0,11
"ASV_1025",11,0.0026246719160105,0,11
"ASV_2633",11,0.0026246719160105,0,11
"ASV_171",1,0.00255754475703325,0,1
"ASV_316",3,0.0025706940874036,0,3
"ASV_73",3,0.0025706940874036,0,3
"ASV_341",3,0.0025706940874036,0,3
"ASV_80",8,0.00260416666666667,0,8
"ASV_276",8,0.00260416666666667,0,8
"ASV_253",8,0.00260416666666667,0,8
"ASV_1180",8,0.00260416666666667,0,8
"ASV_51",8,0.00260416666666667,0,8
"ASV_874",8,0.00260416666666667,0,8
"ASV_34",8,0.00260416666666667,0,8
