"","Group1","Group2","Group3"
"num.edges(L)","757","1868","732"
"num.pos.edges","386","1116","401"
"num.neg.edges","371","752","331"
"num.vertices(n)","410","411","392"
"Connectance(edge_density)","0.00902856461327449","0.0221707910509762","0.00955164674565478"
"average.degree(Average K)","3.69268292682927","9.09002433090024","3.73469387755102"
"average.path.length","1.09773539928486","1.35895676046671","1"
"diameter","1.97122152121832","1.97122152121832","1"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.992996915365336","0.98328094398002","1"
"no.clusters","114","70","113"
"centralization.degree","0.0252012642375813","0.0753901845587799","0.0185813455817109"
"centralization.betweenness","0.000586309451596709","0.00385522647044706","0"
"centralization.closeness","0.000123394097289377","0.000345473883530048","9.83315727351288e-05"
"RM(relative.modularity)","1.15549581129478","2.4033856268397","1.06257507156075"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
