source,target,correlation,direct,cor
ASV_11,ASV_725,-0.985610760609162,undirected,-
ASV_101,ASV_725,0.985610760609162,undirected,+
ASV_617,ASV_725,-0.985610760609162,undirected,-
ASV_59,ASV_725,0.985610760609162,undirected,+
ASV_307,ASV_725,-0.985610760609162,undirected,-
ASV_104,ASV_725,0.985610760609162,undirected,+
ASV_255,ASV_725,0.985610760609162,undirected,+
ASV_972,ASV_725,0.985610760609162,undirected,+
ASV_1402,ASV_725,0.985610760609162,undirected,+
ASV_1195,ASV_725,-0.985610760609162,undirected,-
ASV_372,ASV_725,0.985610760609162,undirected,+
ASV_907,ASV_725,-0.985610760609162,undirected,-
ASV_1854,ASV_725,0.985610760609162,undirected,+
ASV_257,ASV_725,0.985610760609162,undirected,+
ASV_725,ASV_101,0.985610760609162,undirected,+
ASV_59,ASV_101,1,undirected,+
ASV_972,ASV_101,1,undirected,+
ASV_1195,ASV_101,-1,undirected,-
ASV_907,ASV_101,-1,undirected,-
ASV_1854,ASV_101,1,undirected,+
ASV_257,ASV_101,1,undirected,+
ASV_11,ASV_617,1,undirected,+
ASV_725,ASV_617,-0.985610760609162,undirected,-
ASV_307,ASV_617,1,undirected,+
ASV_104,ASV_617,-1,undirected,-
ASV_255,ASV_617,-1,undirected,-
ASV_1402,ASV_617,-1,undirected,-
ASV_372,ASV_617,-1,undirected,-
ASV_101,ASV_59,1,undirected,+
ASV_725,ASV_59,0.985610760609162,undirected,+
ASV_972,ASV_59,1,undirected,+
ASV_1195,ASV_59,-1,undirected,-
ASV_907,ASV_59,-1,undirected,-
ASV_1854,ASV_59,1,undirected,+
ASV_257,ASV_59,1,undirected,+
ASV_11,ASV_307,1,undirected,+
ASV_725,ASV_307,-0.985610760609162,undirected,-
ASV_617,ASV_307,1,undirected,+
ASV_104,ASV_307,-1,undirected,-
ASV_255,ASV_307,-1,undirected,-
ASV_1402,ASV_307,-1,undirected,-
ASV_372,ASV_307,-1,undirected,-
ASV_11,ASV_104,-1,undirected,-
ASV_725,ASV_104,0.985610760609162,undirected,+
ASV_617,ASV_104,-1,undirected,-
ASV_307,ASV_104,-1,undirected,-
ASV_255,ASV_104,1,undirected,+
ASV_1402,ASV_104,1,undirected,+
ASV_372,ASV_104,1,undirected,+
ASV_11,ASV_255,-1,undirected,-
ASV_725,ASV_255,0.985610760609162,undirected,+
ASV_617,ASV_255,-1,undirected,-
ASV_307,ASV_255,-1,undirected,-
ASV_104,ASV_255,1,undirected,+
ASV_1402,ASV_255,1,undirected,+
ASV_372,ASV_255,1,undirected,+
ASV_101,ASV_972,1,undirected,+
ASV_725,ASV_972,0.985610760609162,undirected,+
ASV_59,ASV_972,1,undirected,+
ASV_1195,ASV_972,-1,undirected,-
ASV_907,ASV_972,-1,undirected,-
ASV_1854,ASV_972,1,undirected,+
ASV_257,ASV_972,1,undirected,+
ASV_11,ASV_1402,-1,undirected,-
ASV_725,ASV_1402,0.985610760609162,undirected,+
ASV_617,ASV_1402,-1,undirected,-
ASV_307,ASV_1402,-1,undirected,-
ASV_104,ASV_1402,1,undirected,+
ASV_255,ASV_1402,1,undirected,+
ASV_372,ASV_1402,1,undirected,+
ASV_101,ASV_1195,-1,undirected,-
ASV_725,ASV_1195,-0.985610760609162,undirected,-
ASV_59,ASV_1195,-1,undirected,-
ASV_972,ASV_1195,-1,undirected,-
ASV_907,ASV_1195,1,undirected,+
ASV_1854,ASV_1195,-1,undirected,-
ASV_257,ASV_1195,-1,undirected,-
ASV_11,ASV_372,-1,undirected,-
ASV_725,ASV_372,0.985610760609162,undirected,+
ASV_617,ASV_372,-1,undirected,-
ASV_307,ASV_372,-1,undirected,-
ASV_104,ASV_372,1,undirected,+
ASV_255,ASV_372,1,undirected,+
ASV_1402,ASV_372,1,undirected,+
ASV_101,ASV_907,-1,undirected,-
ASV_725,ASV_907,-0.985610760609162,undirected,-
ASV_59,ASV_907,-1,undirected,-
ASV_972,ASV_907,-1,undirected,-
ASV_1195,ASV_907,1,undirected,+
ASV_1854,ASV_907,-1,undirected,-
ASV_257,ASV_907,-1,undirected,-
ASV_101,ASV_1854,1,undirected,+
ASV_725,ASV_1854,0.985610760609162,undirected,+
ASV_59,ASV_1854,1,undirected,+
ASV_972,ASV_1854,1,undirected,+
ASV_1195,ASV_1854,-1,undirected,-
ASV_907,ASV_1854,-1,undirected,-
ASV_257,ASV_1854,1,undirected,+
ASV_101,ASV_257,1,undirected,+
ASV_725,ASV_257,0.985610760609162,undirected,+
ASV_59,ASV_257,1,undirected,+
ASV_972,ASV_257,1,undirected,+
ASV_1195,ASV_257,-1,undirected,-
ASV_907,ASV_257,-1,undirected,-
ASV_1854,ASV_257,1,undirected,+
