"","KO","Means","SD"
"num.edges",1868,1868,0
"num.pos.edges",1116,0,0
"num.neg.edges",752,0,0
"num.vertices",411,411,0
"connectance",0.0221707910509762,0.0221707910509762,0
"average.degree",9.09002433090024,9.09002433090024,0
"average.path.length",1.35895676046671,2.96099256027843,0.00351030293804845
"diameter",1.97122152121832,5.03,0.171446607997765
"edge.connectivity",0,1.61,0.750689918365335
"clustering.coefficient",0.943710350145456,0.0219705149614453,0.001995403654702
"no.clusters",70,1.05,0.21904291355759
"centralization.degree",0.0753901845587799,0.0245365260221945,0.00365853658536585
"centralization.betweenness",0.00385522647044706,0.0141601639448669,0.00269782787526482
"centralization.closeness",0.000345473883530048,0.09235115714974,0.0132063839616525
