source,target,correlation,direct,cor
ASV_33,ASV_16,-1,undirected,-
ASV_27,ASV_16,-1,undirected,-
ASV_37,ASV_16,-1,undirected,-
ASV_297,ASV_16,-1,undirected,-
ASV_192,ASV_16,1,undirected,+
ASV_238,ASV_16,-1,undirected,-
ASV_16,ASV_33,-1,undirected,-
ASV_27,ASV_33,1,undirected,+
ASV_37,ASV_33,1,undirected,+
ASV_297,ASV_33,1,undirected,+
ASV_192,ASV_33,-1,undirected,-
ASV_238,ASV_33,1,undirected,+
ASV_16,ASV_27,-1,undirected,-
ASV_33,ASV_27,1,undirected,+
ASV_37,ASV_27,1,undirected,+
ASV_297,ASV_27,1,undirected,+
ASV_192,ASV_27,-1,undirected,-
ASV_238,ASV_27,1,undirected,+
ASV_16,ASV_37,-1,undirected,-
ASV_33,ASV_37,1,undirected,+
ASV_27,ASV_37,1,undirected,+
ASV_297,ASV_37,1,undirected,+
ASV_192,ASV_37,-1,undirected,-
ASV_238,ASV_37,1,undirected,+
ASV_16,ASV_297,-1,undirected,-
ASV_33,ASV_297,1,undirected,+
ASV_27,ASV_297,1,undirected,+
ASV_37,ASV_297,1,undirected,+
ASV_192,ASV_297,-1,undirected,-
ASV_238,ASV_297,1,undirected,+
ASV_16,ASV_192,1,undirected,+
ASV_33,ASV_192,-1,undirected,-
ASV_27,ASV_192,-1,undirected,-
ASV_37,ASV_192,-1,undirected,-
ASV_297,ASV_192,-1,undirected,-
ASV_238,ASV_192,-1,undirected,-
ASV_16,ASV_238,-1,undirected,-
ASV_33,ASV_238,1,undirected,+
ASV_27,ASV_238,1,undirected,+
ASV_37,ASV_238,1,undirected,+
ASV_297,ASV_238,1,undirected,+
ASV_192,ASV_238,-1,undirected,-
ASV_217,ASV_101,-1,undirected,-
ASV_283,ASV_101,1,undirected,+
ASV_337,ASV_101,1,undirected,+
ASV_301,ASV_101,1,undirected,+
ASV_1246,ASV_101,1,undirected,+
ASV_566,ASV_101,1,undirected,+
ASV_101,ASV_217,-1,undirected,-
ASV_283,ASV_217,-1,undirected,-
ASV_337,ASV_217,-1,undirected,-
ASV_301,ASV_217,-1,undirected,-
ASV_1246,ASV_217,-1,undirected,-
ASV_566,ASV_217,-1,undirected,-
ASV_101,ASV_283,1,undirected,+
ASV_217,ASV_283,-1,undirected,-
ASV_337,ASV_283,1,undirected,+
ASV_301,ASV_283,1,undirected,+
ASV_1246,ASV_283,1,undirected,+
ASV_566,ASV_283,1,undirected,+
ASV_101,ASV_337,1,undirected,+
ASV_217,ASV_337,-1,undirected,-
ASV_283,ASV_337,1,undirected,+
ASV_301,ASV_337,1,undirected,+
ASV_1246,ASV_337,1,undirected,+
ASV_566,ASV_337,1,undirected,+
ASV_101,ASV_301,1,undirected,+
ASV_217,ASV_301,-1,undirected,-
ASV_283,ASV_301,1,undirected,+
ASV_337,ASV_301,1,undirected,+
ASV_1246,ASV_301,1,undirected,+
ASV_566,ASV_301,1,undirected,+
ASV_101,ASV_1246,1,undirected,+
ASV_217,ASV_1246,-1,undirected,-
ASV_283,ASV_1246,1,undirected,+
ASV_337,ASV_1246,1,undirected,+
ASV_301,ASV_1246,1,undirected,+
ASV_566,ASV_1246,1,undirected,+
ASV_101,ASV_566,1,undirected,+
ASV_217,ASV_566,-1,undirected,-
