"","KO","Means","SD"
"num.edges",389,389,0
"num.pos.edges",256,0,0
"num.neg.edges",133,0,0
"num.vertices",368,368,0
"connectance",0.00576057339177823,0.00576057339177823,0
"average.degree",2.11413043478261,2.11413043478261,0
"average.path.length",1,7.20147267004458,0.291037663423953
"diameter",1,17.41,1.77009387412994
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00619595735161391,0.00463109626548572
"no.clusters",136,51.59,4.52176554416122
"centralization.degree",0.0105882004501836,0.0143484184338349,0.00244266396544385
"centralization.betweenness",0,0.0910220431847045,0.018576449821971
"centralization.closeness",5.88445033930814e-05,0.00479490279691103,0.000244327146749972
