source,target,correlation,direct,cor
ASV_107,ASV_4,-1,undirected,-
ASV_150,ASV_4,-1,undirected,-
ASV_249,ASV_4,1,undirected,+
ASV_290,ASV_4,-1,undirected,-
ASV_468,ASV_4,-1,undirected,-
ASV_4,ASV_107,-1,undirected,-
ASV_150,ASV_107,1,undirected,+
ASV_249,ASV_107,-1,undirected,-
ASV_290,ASV_107,1,undirected,+
ASV_468,ASV_107,1,undirected,+
ASV_4,ASV_150,-1,undirected,-
ASV_107,ASV_150,1,undirected,+
ASV_249,ASV_150,-1,undirected,-
ASV_290,ASV_150,1,undirected,+
ASV_468,ASV_150,1,undirected,+
ASV_4,ASV_249,1,undirected,+
ASV_107,ASV_249,-1,undirected,-
ASV_150,ASV_249,-1,undirected,-
ASV_290,ASV_249,-1,undirected,-
ASV_468,ASV_249,-1,undirected,-
ASV_4,ASV_290,-1,undirected,-
ASV_107,ASV_290,1,undirected,+
ASV_150,ASV_290,1,undirected,+
ASV_249,ASV_290,-1,undirected,-
ASV_468,ASV_290,1,undirected,+
ASV_4,ASV_468,-1,undirected,-
ASV_107,ASV_468,1,undirected,+
ASV_150,ASV_468,1,undirected,+
ASV_249,ASV_468,-1,undirected,-
ASV_290,ASV_468,1,undirected,+
ASV_27,ASV_20,-1,undirected,-
ASV_148,ASV_20,-1,undirected,-
ASV_348,ASV_20,-1,undirected,-
ASV_321,ASV_20,-1,undirected,-
ASV_406,ASV_20,-1,undirected,-
ASV_20,ASV_27,-1,undirected,-
ASV_148,ASV_27,1,undirected,+
ASV_348,ASV_27,1,undirected,+
ASV_321,ASV_27,1,undirected,+
ASV_406,ASV_27,1,undirected,+
ASV_20,ASV_148,-1,undirected,-
ASV_27,ASV_148,1,undirected,+
ASV_348,ASV_148,1,undirected,+
ASV_321,ASV_148,1,undirected,+
ASV_406,ASV_148,1,undirected,+
ASV_20,ASV_348,-1,undirected,-
ASV_27,ASV_348,1,undirected,+
ASV_148,ASV_348,1,undirected,+
ASV_321,ASV_348,1,undirected,+
ASV_406,ASV_348,1,undirected,+
ASV_20,ASV_321,-1,undirected,-
ASV_27,ASV_321,1,undirected,+
ASV_148,ASV_321,1,undirected,+
ASV_348,ASV_321,1,undirected,+
ASV_406,ASV_321,1,undirected,+
ASV_20,ASV_406,-1,undirected,-
ASV_27,ASV_406,1,undirected,+
ASV_148,ASV_406,1,undirected,+
ASV_348,ASV_406,1,undirected,+
ASV_321,ASV_406,1,undirected,+
ASV_53,ASV_44,-1,undirected,-
ASV_289,ASV_44,-1,undirected,-
ASV_484,ASV_44,-1,undirected,-
ASV_343,ASV_44,-1,undirected,-
