"","KO","Means","SD"
"num.edges",395,395,0
"num.pos.edges",240,0,0
"num.neg.edges",155,0,0
"num.vertices",374,374,0
"connectance",0.00566300124729395,0.00566300124729395,0
"average.degree",2.11229946524064,2.11229946524064,0
"average.path.length",1,7.16570195284067,0.267338558817029
"diameter",1,17.26,1.82363827708692
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00525022713206842,0.00459270066126824
"no.clusters",137,54.05,4.56241784207196
"centralization.degree",0.00774182448997147,0.0140689022379607,0.00203499491948535
"centralization.betweenness",0,0.0903822534101562,0.0207874308474558
"centralization.closeness",4.22005594741339e-05,0.00467421406030236,0.000217472934934431
