source,target,correlation,direct,cor
ASV_20,ASV_11,0.997039475622457,undirected,+
ASV_376,ASV_33,0.995344721408266,undirected,+
ASV_253,ASV_35,0.991138912226475,undirected,+
ASV_486,ASV_41,0.991137621599572,undirected,+
ASV_918,ASV_15,0.994095139337951,undirected,+
ASV_129,ASV_55,0.994336983950546,undirected,+
ASV_513,ASV_55,0.993302755190976,undirected,+
ASV_1228,ASV_46,0.996234265903485,undirected,+
ASV_608,ASV_387,0.99307897314578,undirected,+
ASV_11,ASV_20,0.997039475622457,undirected,+
ASV_3819,ASV_92,-0.993601949953712,undirected,-
ASV_230,ASV_66,0.996596324541326,undirected,+
ASV_72,ASV_23,0.992668596777618,undirected,+
ASV_131,ASV_60,0.996032657047023,undirected,+
ASV_445,ASV_60,0.994777895578324,undirected,+
ASV_2709,ASV_60,0.992291492135752,undirected,+
ASV_23,ASV_72,0.992668596777618,undirected,+
ASV_247,ASV_69,0.991219938463511,undirected,+
ASV_350,ASV_71,0.993862397949449,undirected,+
ASV_253,ASV_276,0.99173344110029,undirected,+
ASV_55,ASV_129,0.994336983950546,undirected,+
ASV_445,ASV_129,0.992401288608022,undirected,+
ASV_226,ASV_129,0.991121625700134,undirected,+
ASV_279,ASV_219,0.994984099924486,undirected,+
ASV_35,ASV_253,0.991138912226475,undirected,+
ASV_276,ASV_253,0.99173344110029,undirected,+
ASV_34,ASV_51,0.994989429839732,undirected,+
ASV_69,ASV_247,0.991219938463511,undirected,+
ASV_170,ASV_334,-0.993859602722865,undirected,-
ASV_2254,ASV_169,0.996139655659203,undirected,+
ASV_60,ASV_131,0.996032657047023,undirected,+
ASV_445,ASV_131,0.998502723650552,undirected,+
ASV_387,ASV_608,0.99307897314578,undirected,+
ASV_182,ASV_304,0.991999325015855,undirected,+
ASV_51,ASV_34,0.994989429839732,undirected,+
ASV_521,ASV_707,0.994978697224005,undirected,+
ASV_258,ASV_149,0.997190851391593,undirected,+
ASV_1342,ASV_775,0.991903169180608,undirected,+
ASV_511,ASV_404,0.991517505342992,undirected,+
ASV_572,ASV_180,0.994968615762382,undirected,+
ASV_219,ASV_279,0.994984099924486,undirected,+
ASV_350,ASV_332,0.992699770434294,undirected,+
ASV_46,ASV_1228,0.996234265903485,undirected,+
ASV_3106,ASV_1228,0.993013337553252,undirected,+
ASV_169,ASV_2254,0.996139655659203,undirected,+
ASV_1519,ASV_459,0.997208298058459,undirected,+
ASV_734,ASV_599,0.997924968090233,undirected,+
ASV_71,ASV_350,0.993862397949449,undirected,+
ASV_332,ASV_350,0.992699770434294,undirected,+
ASV_617,ASV_76,0.994613301669679,undirected,+
ASV_55,ASV_513,0.993302755190976,undirected,+
ASV_403,ASV_964,0.996492823395747,undirected,+
ASV_149,ASV_258,0.997190851391593,undirected,+
ASV_60,ASV_445,0.994777895578324,undirected,+
ASV_129,ASV_445,0.992401288608022,undirected,+
ASV_131,ASV_445,0.998502723650552,undirected,+
ASV_683,ASV_118,0.993770294344648,undirected,+
ASV_334,ASV_170,-0.993859602722865,undirected,-
ASV_896,ASV_546,0.993523571249707,undirected,+
ASV_129,ASV_226,0.991121625700134,undirected,+
ASV_347,ASV_148,0.998460074215558,undirected,+
ASV_609,ASV_580,0.995939499543209,undirected,+
ASV_66,ASV_230,0.996596324541326,undirected,+
ASV_304,ASV_182,0.991999325015855,undirected,+
ASV_76,ASV_617,0.994613301669679,undirected,+
ASV_965,ASV_617,0.993027110640243,undirected,+
ASV_33,ASV_376,0.995344721408266,undirected,+
ASV_735,ASV_245,0.991242121305897,undirected,+
ASV_118,ASV_683,0.993770294344648,undirected,+
ASV_41,ASV_486,0.991137621599572,undirected,+
ASV_558,ASV_274,0.993599313730861,undirected,+
ASV_245,ASV_735,0.991242121305897,undirected,+
ASV_274,ASV_558,0.993599313730861,undirected,+
ASV_702,ASV_622,0.995315156363784,undirected,+
ASV_148,ASV_347,0.998460074215558,undirected,+
ASV_4768,ASV_1125,0.998078511358899,undirected,+
ASV_918,ASV_792,0.991823792156494,undirected,+
ASV_60,ASV_2709,0.992291492135752,undirected,+
ASV_622,ASV_702,0.995315156363784,undirected,+
ASV_180,ASV_572,0.994968615762382,undirected,+
ASV_580,ASV_609,0.995939499543209,undirected,+
ASV_459,ASV_1519,0.997208298058459,undirected,+
ASV_617,ASV_965,0.993027110640243,undirected,+
ASV_775,ASV_1342,0.991903169180608,undirected,+
ASV_1125,ASV_4768,0.998078511358899,undirected,+
ASV_92,ASV_3819,-0.993601949953712,undirected,-
ASV_546,ASV_896,0.993523571249707,undirected,+
ASV_404,ASV_511,0.991517505342992,undirected,+
ASV_964,ASV_403,0.996492823395747,undirected,+
ASV_707,ASV_521,0.994978697224005,undirected,+
ASV_15,ASV_918,0.994095139337951,undirected,+
ASV_792,ASV_918,0.991823792156494,undirected,+
ASV_1228,ASV_3106,0.993013337553252,undirected,+
ASV_599,ASV_734,0.997924968090233,undirected,+
