ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_20,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_jaspsi,387.666666666667,ASV_20
ASV_376,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_panipatensis,94.6666666666667,ASV_376
ASV_253,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_granadensis,240.166666666667,ASV_253
ASV_486,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Unassigned,83.5,ASV_486
ASV_918,Bacteria,Acidobacteria,Acidobacteria_Gp2,Unassigned,Unassigned,Gp2,Unassigned,66.5,ASV_918
ASV_129,Bacteria,Verrucomicrobia,Spartobacteria,Unassigned,Unassigned,Spartobacteria_genera_incertae_sedis,Unassigned,265.333333333333,ASV_129
ASV_513,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,121.166666666667,ASV_513
ASV_1228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Unassigned,140.5,ASV_1228
ASV_608,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Unassigned,Unassigned,191.166666666667,ASV_608
ASV_11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unassigned,Unassigned,1199.33333333333,ASV_11
ASV_3819,Bacteria,Acidobacteria,Acidobacteria_Gp3,Unassigned,Unassigned,Gp3,Unassigned,71.6666666666667,ASV_3819
ASV_230,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned,98.3333333333333,ASV_230
ASV_72,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,286.333333333333,ASV_72
ASV_131,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_corrugata,198.833333333333,ASV_131
ASV_445,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Unassigned,117.833333333333,ASV_445
ASV_2709,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,77,ASV_2709
ASV_23,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,364.833333333333,ASV_23
ASV_247,Bacteria,Acidobacteria,Acidobacteria_Gp3,Unassigned,Unassigned,Gp3,Unassigned,204,ASV_247
ASV_350,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unassigned,Unassigned,Gp1,Unassigned,125.666666666667,ASV_350
ASV_55,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium_muchangponense,409.833333333333,ASV_55
ASV_226,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter_ramosus,111.333333333333,ASV_226
ASV_279,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Povalibacter,Povalibacter_uvarum,146,ASV_279
ASV_35,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_caribensis,666,ASV_35
ASV_276,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned,276.166666666667,ASV_276
ASV_34,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,180.666666666667,ASV_34
ASV_69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia_insulae,287.5,ASV_69
ASV_170,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unassigned,Unassigned,Gp6,Unassigned,107.666666666667,ASV_170
ASV_2254,Bacteria,Proteobacteria,Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,147.833333333333,ASV_2254
