source,target,correlation,direct,cor
ASV_20,ASV_1,0.998119023725085,undirected,+
ASV_154,ASV_1,0.990876793949582,undirected,+
ASV_62,ASV_3,0.994791556239167,undirected,+
ASV_545,ASV_11,0.993015270623209,undirected,+
ASV_322,ASV_25,0.99119350547837,undirected,+
ASV_649,ASV_25,0.996238114890127,undirected,+
ASV_705,ASV_25,0.997470356405618,undirected,+
ASV_913,ASV_25,0.994913235174871,undirected,+
ASV_767,ASV_25,0.990876628068691,undirected,+
ASV_1234,ASV_25,0.998018957298784,undirected,+
ASV_1,ASV_20,0.998119023725085,undirected,+
ASV_173,ASV_69,0.999841517686346,undirected,+
ASV_206,ASV_69,0.999305737248087,undirected,+
ASV_444,ASV_69,0.992842699351897,undirected,+
ASV_744,ASV_69,0.999385205153198,undirected,+
ASV_945,ASV_69,0.993628684809612,undirected,+
ASV_654,ASV_69,0.999788607491378,undirected,+
ASV_165,ASV_21,0.994193082196611,undirected,+
ASV_264,ASV_21,0.997845253986946,undirected,+
ASV_322,ASV_51,0.991162423612359,undirected,+
ASV_153,ASV_51,0.992780977935024,undirected,+
ASV_244,ASV_51,0.992672261706947,undirected,+
ASV_367,ASV_51,0.995881664712247,undirected,+
ASV_228,ASV_73,-0.993594664028664,undirected,-
ASV_3,ASV_62,0.994791556239167,undirected,+
ASV_420,ASV_60,0.991219976400668,undirected,+
ASV_304,ASV_63,-0.993413356195651,undirected,-
ASV_349,ASV_53,0.992209993719634,undirected,+
ASV_293,ASV_57,0.991670172042482,undirected,+
ASV_67,ASV_71,0.992251201600051,undirected,+
ASV_61,ASV_116,0.993312301464562,undirected,+
ASV_94,ASV_116,0.995671437348567,undirected,+
ASV_661,ASV_116,0.997679574626212,undirected,+
ASV_116,ASV_61,0.993312301464562,undirected,+
ASV_411,ASV_61,0.994048275775245,undirected,+
ASV_69,ASV_173,0.999841517686346,undirected,+
ASV_206,ASV_173,0.999136483747866,undirected,+
ASV_444,ASV_173,0.993988964145212,undirected,+
ASV_744,ASV_173,0.999683978749791,undirected,+
ASV_945,ASV_173,0.991538975387252,undirected,+
ASV_654,ASV_173,0.999936280045486,undirected,+
ASV_94,ASV_105,0.991403900094293,undirected,+
ASV_90,ASV_105,0.990823766697807,undirected,+
ASV_330,ASV_105,0.994780899936254,undirected,+
ASV_661,ASV_105,0.992117572433658,undirected,+
ASV_420,ASV_105,0.996347683154657,undirected,+
ASV_116,ASV_94,0.995671437348567,undirected,+
ASV_105,ASV_94,0.991403900094293,undirected,+
ASV_661,ASV_94,0.996474487279296,undirected,+
ASV_293,ASV_94,0.99337469883973,undirected,+
ASV_239,ASV_97,0.997229365162749,undirected,+
ASV_217,ASV_80,0.998515218195674,undirected,+
ASV_69,ASV_206,0.999305737248087,undirected,+
