source,target,correlation,direct,cor
ASV_148,ASV_15,0.992895595671482,undirected,+
ASV_525,ASV_22,0.998354332498497,undirected,+
ASV_259,ASV_32,0.991546591312151,undirected,+
ASV_125,ASV_29,0.994116323881921,undirected,+
ASV_376,ASV_29,-0.991476277944805,undirected,-
ASV_505,ASV_24,-0.992389106336407,undirected,-
ASV_85,ASV_166,0.993835770302818,undirected,+
ASV_308,ASV_54,0.992259036254798,undirected,+
ASV_614,ASV_65,0.995027331656892,undirected,+
ASV_258,ASV_106,0.995114690254166,undirected,+
ASV_968,ASV_161,0.992582536293831,undirected,+
ASV_228,ASV_71,0.993903416615175,undirected,+
ASV_364,ASV_113,-0.993278355032409,undirected,-
ASV_614,ASV_113,-0.994277466165644,undirected,-
ASV_29,ASV_125,0.994116323881921,undirected,+
ASV_166,ASV_85,0.993835770302818,undirected,+
ASV_337,ASV_217,-0.991383856615678,undirected,-
ASV_1246,ASV_217,-0.991871494635186,undirected,-
ASV_352,ASV_180,0.99483112746208,undirected,+
ASV_15,ASV_148,0.992895595671482,undirected,+
ASV_423,ASV_124,0.997470053976541,undirected,+
ASV_569,ASV_191,-0.994118494516078,undirected,-
ASV_536,ASV_240,0.99208727073124,undirected,+
ASV_29,ASV_376,-0.991476277944805,undirected,-
ASV_671,ASV_568,0.998409790821178,undirected,+
ASV_1038,ASV_568,1,undirected,+
ASV_113,ASV_364,-0.993278355032409,undirected,-
ASV_282,ASV_268,0.991533373150926,undirected,+
ASV_515,ASV_288,0.994006332646675,undirected,+
ASV_32,ASV_259,0.991546591312151,undirected,+
ASV_71,ASV_228,0.993903416615175,undirected,+
ASV_217,ASV_337,-0.991383856615678,undirected,-
ASV_106,ASV_258,0.995114690254166,undirected,+
ASV_334,ASV_258,0.992980883132856,undirected,+
ASV_258,ASV_334,0.992980883132856,undirected,+
ASV_180,ASV_352,0.99483112746208,undirected,+
ASV_568,ASV_671,0.998409790821178,undirected,+
ASV_1038,ASV_671,0.998409790821178,undirected,+
ASV_161,ASV_968,0.992582536293831,undirected,+
ASV_217,ASV_1246,-0.991871494635186,undirected,-
ASV_849,ASV_211,0.994237142134742,undirected,+
ASV_54,ASV_308,0.992259036254798,undirected,+
ASV_211,ASV_849,0.994237142134742,undirected,+
ASV_240,ASV_536,0.99208727073124,undirected,+
ASV_268,ASV_282,0.991533373150926,undirected,+
ASV_654,ASV_1145,0.998805820817051,undirected,+
ASV_191,ASV_569,-0.994118494516078,undirected,-
ASV_568,ASV_1038,1,undirected,+
ASV_671,ASV_1038,0.998409790821178,undirected,+
ASV_24,ASV_505,-0.992389106336407,undirected,-
ASV_124,ASV_423,0.997470053976541,undirected,+
ASV_1145,ASV_654,0.998805820817051,undirected,+
ASV_614,ASV_2916,0.99369466465014,undirected,+
ASV_22,ASV_525,0.998354332498497,undirected,+
ASV_288,ASV_515,0.994006332646675,undirected,+
ASV_65,ASV_614,0.995027331656892,undirected,+
ASV_113,ASV_614,-0.994277466165644,undirected,-
ASV_2916,ASV_614,0.99369466465014,undirected,+
