source,target,correlation,direct,cor
ASV_348,ASV_18,-0.992158781907938,undirected,-
ASV_243,ASV_40,0.99507103220678,undirected,+
ASV_392,ASV_77,-0.997069988592403,undirected,-
ASV_433,ASV_77,0.997427636953892,undirected,+
ASV_388,ASV_87,-0.992189738422058,undirected,-
ASV_205,ASV_129,-0.998202482881731,undirected,-
ASV_281,ASV_143,0.994975171458295,undirected,+
ASV_338,ASV_117,-0.992338523636355,undirected,-
ASV_40,ASV_243,0.99507103220678,undirected,+
ASV_430,ASV_155,0.994924276202967,undirected,+
ASV_350,ASV_225,0.99519483009104,undirected,+
ASV_129,ASV_205,-0.998202482881731,undirected,-
ASV_533,ASV_459,0.999550014673836,undirected,+
ASV_407,ASV_459,0.994329268234504,undirected,+
ASV_1039,ASV_459,0.999919678849136,undirected,+
ASV_329,ASV_1156,0.993652968314957,undirected,+
ASV_236,ASV_228,0.993472086807736,undirected,+
ASV_225,ASV_350,0.99519483009104,undirected,+
ASV_723,ASV_484,0.996825240010746,undirected,+
ASV_802,ASV_484,0.998288523482414,undirected,+
ASV_927,ASV_484,0.998387286137628,undirected,+
ASV_1348,ASV_484,0.998445653296521,undirected,+
ASV_228,ASV_236,0.993472086807736,undirected,+
ASV_307,ASV_272,0.994219064880084,undirected,+
ASV_459,ASV_533,0.999550014673836,undirected,+
ASV_407,ASV_533,0.995480338580021,undirected,+
ASV_1039,ASV_533,0.999707008194769,undirected,+
ASV_1156,ASV_329,0.993652968314957,undirected,+
ASV_18,ASV_348,-0.992158781907938,undirected,-
ASV_459,ASV_407,0.994329268234504,undirected,+
ASV_533,ASV_407,0.995480338580021,undirected,+
ASV_1039,ASV_407,0.993959718074501,undirected,+
ASV_143,ASV_281,0.994975171458295,undirected,+
ASV_430,ASV_325,0.99356623718813,undirected,+
ASV_77,ASV_392,-0.997069988592403,undirected,-
ASV_433,ASV_392,-0.991718137350716,undirected,-
ASV_379,ASV_284,0.991413624513613,undirected,+
ASV_430,ASV_284,0.993806838637474,undirected,+
ASV_484,ASV_723,0.996825240010746,undirected,+
ASV_802,ASV_723,0.997922214946949,undirected,+
ASV_927,ASV_723,0.992441932987382,undirected,+
ASV_1348,ASV_723,0.993020902919836,undirected,+
ASV_77,ASV_433,0.997427636953892,undirected,+
ASV_392,ASV_433,-0.991718137350716,undirected,-
ASV_484,ASV_802,0.998288523482414,undirected,+
ASV_723,ASV_802,0.997922214946949,undirected,+
ASV_927,ASV_802,0.995584156955963,undirected,+
ASV_1348,ASV_802,0.997249637402708,undirected,+
ASV_710,ASV_412,0.998529843816928,undirected,+
ASV_87,ASV_388,-0.992189738422058,undirected,-
ASV_412,ASV_710,0.998529843816928,undirected,+
ASV_272,ASV_307,0.994219064880084,undirected,+
ASV_284,ASV_379,0.991413624513613,undirected,+
ASV_430,ASV_379,0.993264902948232,undirected,+
ASV_155,ASV_430,0.994924276202967,undirected,+
ASV_325,ASV_430,0.99356623718813,undirected,+
ASV_284,ASV_430,0.993806838637474,undirected,+
ASV_379,ASV_430,0.993264902948232,undirected,+
ASV_484,ASV_927,0.998387286137628,undirected,+
ASV_723,ASV_927,0.992441932987382,undirected,+
ASV_802,ASV_927,0.995584156955963,undirected,+
ASV_1348,ASV_927,0.999501236304345,undirected,+
ASV_117,ASV_338,-0.992338523636355,undirected,-
ASV_459,ASV_1039,0.999919678849136,undirected,+
ASV_533,ASV_1039,0.999707008194769,undirected,+
ASV_407,ASV_1039,0.993959718074501,undirected,+
ASV_484,ASV_1348,0.998445653296521,undirected,+
ASV_723,ASV_1348,0.993020902919836,undirected,+
ASV_802,ASV_1348,0.997249637402708,undirected,+
ASV_927,ASV_1348,0.999501236304345,undirected,+
