"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.532463414634146,0.00209998885483733,0.000209998885483733,"weighted","Group1"
"2",2,0.530951219512195,0.00280982778233814,0.000280982778233814,"weighted","Group1"
"3",3,0.529463414634146,0.00416982466447577,0.000416982466447577,"weighted","Group1"
"4",4,0.526634146341463,0.00558640985346812,0.000558640985346812,"weighted","Group1"
"5",5,0.525878048780488,0.00596324094099722,0.000596324094099722,"weighted","Group1"
"6",6,0.524048780487805,0.00647647511140009,0.000647647511140009,"weighted","Group1"
"7",7,0.521268292682927,0.00729717257636322,0.000729717257636322,"weighted","Group1"
"8",8,0.521,0.00709522434612631,0.000709522434612631,"weighted","Group1"
"9",9,0.520731707317073,0.00650868276579062,0.000650868276579062,"weighted","Group1"
"10",10,0.519048780487805,0.0058080571642023,0.00058080571642023,"weighted","Group1"
"11",11,0.517073170731707,0.00632609428722267,0.000632609428722267,"weighted","Group1"
"12",12,0.517609756097561,0.00605012343133528,0.000605012343133528,"weighted","Group1"
"13",13,0.514390243902439,0.00605925390068281,0.000605925390068281,"weighted","Group1"
"14",14,0.512878048780488,0.00574967175286946,0.000574967175286946,"weighted","Group1"
"15",15,0.513439024390244,0.00575400724527496,0.000575400724527496,"weighted","Group1"
"16",16,0.512243902439024,0.00501147890071061,0.000501147890071061,"weighted","Group1"
"17",17,0.511682926829268,0.00448389077039027,0.000448389077039027,"weighted","Group1"
"18",18,0.510243902439024,0.00393738968273975,0.000393738968273975,"weighted","Group1"
"19",19,0.509707317073171,0.00202080883092392,0.000202080883092392,"weighted","Group1"
"20",20,0.509756097560976,0,0,"weighted","Group1"
"21",1,0.434487804878049,0.00631677876113775,0.000631677876113775,"unweighted","Group1"
"22",2,0.434853658536585,0.00739707435609634,0.000739707435609634,"unweighted","Group1"
"23",3,0.432048780487805,0.00959474856216448,0.000959474856216448,"unweighted","Group1"
"24",4,0.429463414634146,0.0103692515046108,0.00103692515046108,"unweighted","Group1"
"25",5,0.427975609756098,0.0102981645723706,0.00102981645723706,"unweighted","Group1"
"26",6,0.425853658536585,0.00970669928123105,0.000970669928123105,"unweighted","Group1"
"27",7,0.422951219512195,0.0106348232616338,0.00106348232616338,"unweighted","Group1"
"28",8,0.423341463414634,0.00960247991531869,0.000960247991531869,"unweighted","Group1"
