,ID,group,Group
1,ASV_141,Group1model_1,Group1
2,ASV_73,Group1model_1,Group1
3,ASV_812,Group1model_1,Group1
4,ASV_65,Group1model_1,Group1
5,ASV_473,Group1model_1,Group1
6,ASV_232,Group1model_1,Group1
7,ASV_300,Group1model_1,Group1
8,ASV_1835,Group1model_1,Group1
9,ASV_63,Group1model_1,Group1
10,ASV_725,Group1model_8,Group1
11,ASV_39,Group1model_7,Group1
12,ASV_1938,Group1model_7,Group1
13,ASV_348,Group1model_7,Group1
14,ASV_133,Group1model_8,Group1
15,ASV_617,Group1model_8,Group1
16,ASV_62,Group1model_2,Group1
17,ASV_31,Group1model_2,Group1
18,ASV_69,Group1model_2,Group1
19,ASV_99,Group1model_6,Group1
20,ASV_205,Group1model_6,Group1
21,ASV_68,Group1model_6,Group1
22,ASV_94,Group1model_4,Group1
23,ASV_17,Group1model_4,Group1
24,ASV_1243,Group1model_4,Group1
25,ASV_370,Group1model_5,Group1
26,ASV_75,Group1model_5,Group1
27,ASV_428,Group1model_5,Group1
28,ASV_521,Group1model_3,Group1
29,ASV_235,Group1model_3,Group1
30,ASV_324,Group1model_3,Group1
31,ASV_352,Group1model_7,Group1
32,ASV_307,Group1model_8,Group1
33,ASV_328,Group1model_2,Group1
34,ASV_190,Group1model_6,Group1
35,ASV_733,Group1model_4,Group1
36,ASV_661,Group1model_5,Group1
37,ASV_149,Group1model_3,Group1
38,ASV_416,Group1model_10,Group1
39,ASV_332,Group1model_10,Group1
40,ASV_130,Group1model_16,Group1
41,ASV_278,Group1model_16,Group1
42,ASV_127,Group1model_17,Group1
43,ASV_334,Group1model_17,Group1
44,ASV_46,Group1model_12,Group1
45,ASV_258,Group1model_12,Group1
46,ASV_87,Group1model_11,Group1
47,ASV_170,Group1model_11,Group1
48,ASV_131,Group1model_18,Group1
49,ASV_50,Group1model_18,Group1
50,ASV_342,Group1model_9,Group1
51,ASV_329,Group1model_9,Group1
52,ASV_47,Group1model_13,Group1
53,ASV_305,Group1model_13,Group1
54,ASV_55,Group1model_14,Group1
55,ASV_64,Group1model_14,Group1
56,ASV_59,Group1model_8,Group1
57,ASV_206,Group1model_15,Group1
58,ASV_316,Group1model_15,Group1
59,ASV_1489,Group1model_10,Group1
60,ASV_5,Group1model_16,Group1
61,ASV_227,Group1model_17,Group1
62,ASV_18,Group1model_12,Group1
63,ASV_2,Group1model_11,Group1
64,ASV_142,Group1model_18,Group1
65,ASV_153,Group1model_9,Group1
66,ASV_25,Group1model_13,Group1
67,ASV_114,Group1model_14,Group1
68,ASV_101,Group1model_8,Group1
69,ASV_29,Group1model_15,Group1
70,ASV_60,Group1model_44,Group1
71,ASV_294,Group1model_43,Group1
72,ASV_191,Group1model_31,Group1
73,ASV_19,Group1model_29,Group1
74,ASV_272,Group1model_28,Group1
75,ASV_117,Group1model_27,Group1
76,ASV_70,Group1model_41,Group1
77,ASV_143,Group1model_34,Group1
78,ASV_878,Group1model_30,Group1
79,ASV_573,Group1model_25,Group1
