,Sample,Abundance,aa,Group
1,sample3,0.178497301784973,Proteobacteria,Group1
2,sample4,0.176186984825257,Proteobacteria,Group1
3,sample2,0.167537287786102,Proteobacteria,Group1
4,sample1,0.167100106100618,Proteobacteria,Group1
5,sample5,0.161553638324105,Proteobacteria,Group1
6,sample6,0.160791542641867,Unassigned,Group1
7,sample2,0.16037757463285,Unassigned,Group1
8,sample5,0.154893158503139,Unassigned,Group1
9,sample1,0.150030290555037,Unassigned,Group1
10,sample4,0.149895946736579,Unassigned,Group1
11,sample3,0.146490135675428,Unassigned,Group1
12,sample6,0.139512160726068,Proteobacteria,Group1
13,sample3,0.0882654956194971,Acidobacteria,Group1
14,sample2,0.0799739959218274,Acidobacteria,Group1
15,sample4,0.0755404474660624,Acidobacteria,Group1
16,sample1,0.0712915825727224,Acidobacteria,Group1
17,sample5,0.0698610327888021,Acidobacteria,Group1
18,sample6,0.0676155508212079,Acidobacteria,Group1
19,sample3,0.05341810316576,Bacteroidetes,Group1
20,sample1,0.0521298778671433,Bacteroidetes,Group1
21,sample5,0.0472154013975167,Bacteroidetes,Group1
22,sample4,0.0422878387285506,Bacteroidetes,Group1
23,sample5,0.0395188469377334,Parcubacteria,Group1
24,sample4,0.0358446829152688,Planctomycetes,Group1
25,sample4,0.0342894384086146,Parcubacteria,Group1
26,sample2,0.0278512841661512,Planctomycetes,Group1
27,sample3,0.0277468265932577,Actinobacteria,Group1
28,sample3,0.0263267134211619,Parcubacteria,Group1
29,sample1,0.0255210477519722,Planctomycetes,Group1
30,sample4,0.0245876750575811,Actinobacteria,Group1
31,sample5,0.0244957646748872,Planctomycetes,Group1
32,sample1,0.023010780759975,Firmicutes,Group1
33,sample2,0.0225530964327445,Verrucomicrobia,Group1
34,sample1,0.0221740250959759,Actinobacteria,Group1
35,sample3,0.0217386554805445,Verrucomicrobia,Group1
36,sample6,0.0217200791744103,Planctomycetes,Group1
37,sample4,0.01999600079984,others,Group1
38,sample2,0.0198324054345087,Firmicutes,Group1
39,sample3,0.0195538659850123,Firmicutes,Group1
40,sample2,0.0194028226453135,Bacteroidetes,Group1
41,sample5,0.0182053115106412,Actinobacteria,Group1
42,sample3,0.0180245133381399,Planctomycetes,Group1
43,sample5,0.0175392635285446,Verrucomicrobia,Group1
44,sample6,0.0171871930858378,Verrucomicrobia,Group1
45,sample1,0.0171534911119813,others,Group1
46,sample4,0.0163670969509802,Firmicutes,Group1
47,sample2,0.01618095172635,Parcubacteria,Group1
48,sample4,0.0154783858043206,Verrucomicrobia,Group1
49,sample4,0.0153302672798774,candidate_division_WPS-1,Group1
50,sample2,0.0148922033587646,Actinobacteria,Group1
51,sample1,0.0143921974207843,Verrucomicrobia,Group1
52,sample2,0.0138182463857768,others,Group1
53,sample5,0.0136169809673089,others,Group1
54,sample5,0.0135429756359648,Firmicutes,Group1
55,sample5,0.0133949649732767,candidate_division_WPS-1,Group1
56,sample1,0.0131370639247857,others,Group1
57,sample3,0.0125625395993096,candidate_division_WPS-1,Group1
58,sample3,0.0125625395993096,others,Group1
59,sample6,0.0117729124800427,Actinobacteria,Group1
60,sample4,0.0114791856443526,others,Group1
61,sample1,0.0112962014639877,Parcubacteria,Group1
62,sample6,0.011143344967741,Bacteroidetes,Group1
63,sample6,0.0110174314652806,Parcubacteria,Group1
64,sample2,0.0100235984145531,candidate_division_WPS-1,Group1
65,sample2,0.0099520012830206,others,Group1
66,sample1,0.00903696117119017,others,Group1
67,sample2,0.00852005865237015,others,Group1
68,sample6,0.00831029116238309,others,Group1
69,sample6,0.00805846415746239,Firmicutes,Group1
70,sample1,0.00794917880799135,candidate_division_WPS-1,Group1
71,sample3,0.00786524218391558,others,Group1
72,sample6,0.00749185339639082,others,Group1
73,sample6,0.00736593989393047,others,Group1
74,sample6,0.00705115613777959,others,Group1
75,sample4,0.00651721507550342,others,Group1
76,sample4,0.00562850392884386,others,Group1
77,sample3,0.00557121321360687,others,Group1
78,sample5,0.00503236253139676,others,Group1
79,sample3,0.00502501583972384,others,Group1
80,sample2,0.00486860494421151,others,Group1
81,sample1,0.00451848058559508,others,Group1
82,sample5,0.00436631454930013,others,Group1
83,sample4,0.00407325942218964,others,Group1
84,sample5,0.00377427189854757,others,Group1
85,sample6,0.00358853482011997,candidate_division_WPS-1,Group1
86,sample6,0.0035255780688898,others,Group1
87,sample6,0.0035255780688898,others,Group1
88,sample5,0.00340424524182722,others,Group1
89,sample6,0.0030219240590484,others,Group1
90,sample3,0.00294946581896834,others,Group1
91,sample1,0.00292864482399681,others,Group1
92,sample2,0.00264909386670332,others,Group1
93,sample4,0.00259207417775704,others,Group1
94,sample6,0.00245531329797682,others,Group1
95,sample5,0.00236817060301024,others,Group1
96,sample4,0.00229583712887052,others,Group1
97,sample4,0.00222177786664889,others,Group1
98,sample5,0.00185013328360175,others,Group1
99,sample1,0.001840862460798,others,Group1
100,sample6,0.00182574578567507,others,Group1
101,sample4,0.00177742229331911,others,Group1
102,sample1,0.00167351132799818,others,Group1
103,sample3,0.00163859212164908,others,Group1
104,sample3,0.00142011317209587,others,Group1
105,sample2,0.00136034549911792,others,Group1
106,sample5,0.00125809063284919,others,Group1
107,sample5,0.00118408530150512,others,Group1
108,sample4,0.00111088893332445,others,Group1
109,sample3,0.00109239474776605,others,Group1
110,sample1,0.00108778236319882,others,Group1
111,sample2,0.00107395697298783,others,Group1
112,sample1,0.00100410679679891,others,Group1
113,sample2,0.00093076270992279,others,Group1
114,sample4,0.000888711146659557,others,Group1
115,sample1,0.00083675566399909,others,Group1
116,sample2,0.000715971315325223,others,Group1
117,sample5,0.00066604798209663,others,Group1
118,sample3,0.000436957899106421,others,Group1
119,sample5,0.00037002665672035,others,Group1
120,sample4,0.000222177786664889,others,Group1
121,sample3,0.000218478949553211,others,Group1
122,sample1,0.000167351132799818,others,Group1
123,sample6,0.00012591350246035,others,Group1
124,sample6,0.00012591350246035,others,Group1
125,sample3,0.000109239474776605,others,Group1
126,sample2,7.15971315325223e-05,others,Group1
127,sample5,0,others,Group1
128,sample1,0,others,Group1
129,sample2,0,others,Group1
130,sample2,0,others,Group1
131,sample6,0,others,Group1
132,sample3,0,others,Group1
133,sample13,0.140541664107785,Proteobacteria,Group3
134,sample18,0.132593409798439,Unassigned,Group3
135,sample18,0.130374273232775,Proteobacteria,Group3
136,sample17,0.128503767740361,Proteobacteria,Group3
137,sample14,0.124483675663441,Proteobacteria,Group3
138,sample13,0.117078686010239,Unassigned,Group3
139,sample17,0.113419617967118,Acidobacteria,Group3
140,sample15,0.11313580679801,Unassigned,Group3
141,sample14,0.106565570833098,Unassigned,Group3
142,sample17,0.106248464796232,Unassigned,Group3
143,sample14,0.102688553998462,Acidobacteria,Group3
144,sample16,0.100967170339546,Proteobacteria,Group3
145,sample16,0.0988526746256285,Acidobacteria,Group3
146,sample16,0.0909233156984391,Unassigned,Group3
147,sample15,0.0897598854579855,Proteobacteria,Group3
148,sample18,0.0883691882398443,Acidobacteria,Group3
149,sample13,0.0836951198580254,Bacteroidetes,Group3
150,sample15,0.0668405250816331,Bacteroidetes,Group3
151,sample16,0.0663951654169997,Bacteroidetes,Group3
152,sample18,0.0625320982253248,Bacteroidetes,Group3
153,sample13,0.0621217775804158,Acidobacteria,Group3
154,sample17,0.0591001933738545,Bacteroidetes,Group3
155,sample15,0.052869759593259,Acidobacteria,Group3
156,sample14,0.0376175417198447,Bacteroidetes,Group3
157,sample15,0.0300417114096411,Planctomycetes,Group3
158,sample16,0.0283342425664903,Parcubacteria,Group3
159,sample15,0.023832482303697,Parcubacteria,Group3
160,sample13,0.0231480387942234,Planctomycetes,Group3
161,sample18,0.022983914430094,Planctomycetes,Group3
162,sample14,0.022947748291493,Verrucomicrobia,Group3
163,sample16,0.0208277827820843,Planctomycetes,Group3
164,sample13,0.0203923198901492,Verrucomicrobia,Group3
165,sample18,0.0195759547042525,Verrucomicrobia,Group3
166,sample17,0.0194527833141278,Planctomycetes,Group3
167,sample17,0.0193703562661866,Parcubacteria,Group3
168,sample18,0.0190211705628364,Parcubacteria,Group3
169,sample14,0.0185468102629875,Planctomycetes,Group3
170,sample15,0.0178971897759564,Verrucomicrobia,Group3
171,sample13,0.0172429268569215,Parcubacteria,Group3
172,sample17,0.0164029825403027,Verrucomicrobia,Group3
173,sample16,0.0161758922114665,Verrucomicrobia,Group3
174,sample13,0.0146446776045087,Firmicutes,Group3
175,sample14,0.014145872234482,candidate_division_WPS-1,Group3
176,sample17,0.0140125981500073,candidate_division_WPS-1,Group3
177,sample13,0.0131487159137255,Actinobacteria,Group3
178,sample17,0.0129410465267715,Actinobacteria,Group3
179,sample17,0.0129410465267715,Firmicutes,Group3
180,sample18,0.0122052511111534,Firmicutes,Group3
181,sample14,0.0121549716977771,Parcubacteria,Group3
182,sample16,0.0117354512122404,Actinobacteria,Group3
183,sample14,0.0116310505039074,Actinobacteria,Group3
184,sample15,0.0104095899717297,candidate_division_WPS-1,Group3
185,sample18,0.0101446243001794,candidate_division_WPS-1,Group3
186,sample18,0.00958984015876337,others,Group3
187,sample14,0.00953536572842859,Firmicutes,Group3
188,sample15,0.00949646804438503,Actinobacteria,Group3
189,sample17,0.00914940232147538,others,Group3
190,sample16,0.00898660678414805,candidate_division_WPS-1,Group3
191,sample15,0.00840072173157137,others,Group3
192,sample18,0.00808399748920549,Actinobacteria,Group3
193,sample18,0.00784623285717003,others,Group3
194,sample13,0.0077160129314078,others,Group3
195,sample13,0.00771601293140779,candidate_division_WPS-1,Group3
196,sample16,0.00750645978440602,Firmicutes,Group3
197,sample15,0.00748759980422666,others,Group3
198,sample15,0.00748759980422666,Firmicutes,Group3
199,sample16,0.00708356064162258,others,Group3
200,sample16,0.00687211107023086,others,Group3
201,sample17,0.00675901793118001,others,Group3
202,sample15,0.00666579006961642,others,Group3
203,sample13,0.00661372536977811,others,Group3
204,sample13,0.00629878606645534,others,Group3
205,sample14,0.00628705432643643,others,Group3
206,sample16,0.00560341364188055,others,Group3
207,sample14,0.00534399617747097,others,Group3
208,sample17,0.00519290402029684,others,Group3
209,sample14,0.00450572226727945,others,Group3
210,sample18,0.00372497923522214,others,Group3
211,sample16,0.00359464271365922,others,Group3
212,sample18,0.00348721460318668,others,Group3
213,sample14,0.0033530956407661,others,Group3
214,sample15,0.0031959267457065,others,Group3
215,sample16,0.00306601878517992,others,Group3
216,sample18,0.00293243046177062,others,Group3
