"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_29791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9755",11,4,0,2,1,4,12,3,13,4,0,5,17,5,28,0,0,0
"ASV_19754",0,0,2,4,1,0,1,0,3,0,0,0,0,0,0,0,0,0
"ASV_27408",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21869",0,0,0,0,1,4,0,0,5,0,0,0,2,0,0,0,4,0
"ASV_30708",12,0,0,0,2,0,0,0,1,2,0,0,0,0,0,15,0,0
"ASV_25274",1,0,0,0,1,2,0,0,0,0,11,0,0,0,0,4,0,8
"ASV_37006",0,0,0,1,0,0,3,0,0,3,0,0,9,3,0,0,0,0
"ASV_26286",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV_14952",0,0,6,2,0,8,5,0,1,1,6,0,8,3,0,0,6,0
"ASV_34309",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8129",0,0,5,6,0,14,2,22,7,1,0,0,5,3,41,0,0,0
"ASV_11195",0,0,0,2,0,1,0,0,3,2,0,0,6,15,12,0,0,0
"ASV_32662",0,0,0,1,4,2,0,0,0,0,0,0,7,3,0,0,0,0
"ASV_20809",0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,23,4,7
"ASV_1783",27,16,7,23,14,16,11,14,14,15,65,0,9,32,59,43,51,60
"ASV_2044",57,10,8,22,23,10,17,12,18,14,64,18,19,64,21,0,15,18
"ASV_662",110,64,49,144,42,40,37,31,32,24,98,45,128,54,330,191,188,19
"ASV_16829",0,0,0,0,5,1,0,1,3,0,0,0,1,0,0,0,0,0
"ASV_9515",0,0,0,2,2,2,5,3,7,0,0,11,13,1,5,0,0,0
"ASV_13936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13538",0,0,0,7,0,5,5,1,3,5,0,15,0,14,9,0,4,0
"ASV_22339",0,0,0,0,0,0,7,1,0,0,0,0,0,0,12,0,0,0
"ASV_37152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"ASV_11033",0,3,0,2,10,7,5,2,4,0,0,8,1,0,4,18,4,14
"ASV_29037",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ASV_25237",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6128",2,0,0,0,15,7,9,12,18,3,0,1,17,21,0,26,8,0
"ASV_14252",0,0,0,0,6,1,4,1,1,0,0,0,0,0,0,0,0,0
"ASV_29796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_31497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2546",0,2,6,10,6,20,8,14,39,9,0,25,42,8,0,0,10,0
"ASV_24367",0,0,0,0,1,2,0,0,1,0,0,7,0,1,0,0,0,0
"ASV_33940",0,0,0,0,1,3,0,0,0,0,0,9,1,1,0,0,0,0
"ASV_29210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10630",0,0,0,0,0,3,3,3,7,4,0,3,8,5,0,0,0,0
"ASV_24399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30071",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_10679",26,7,7,0,7,0,1,4,6,7,0,0,4,16,0,0,0,0
"ASV_3503",22,2,3,4,23,10,24,4,17,9,146,24,41,20,10,6,6,0
"ASV_1866",78,26,15,2,48,24,32,19,22,18,92,60,81,62,93,53,13,1
"ASV_12691",0,0,0,0,5,1,0,0,3,0,0,13,4,14,11,8,0,0
"ASV_9457",8,0,0,11,4,7,10,5,3,5,0,18,15,9,0,0,9,0
"ASV_28088",8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_35611",0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0
"ASV_14815",0,0,0,0,17,3,0,0,1,3,0,8,1,3,0,0,0,0
"ASV_4556",7,7,0,3,11,14,9,4,10,3,17,36,40,11,19,0,1,0
"ASV_6174",0,0,3,0,1,3,6,1,14,1,1,0,0,11,3,0,0,0
"ASV_23631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12308",0,0,0,0,2,9,7,4,4,2,0,9,9,7,0,0,0,0
"ASV_29287",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"ASV_3502",14,14,10,2,8,9,9,3,8,10,12,28,14,36,3,0,8,0
"ASV_5825",15,28,10,6,2,7,13,5,5,1,11,26,2,4,16,0,0,3
"ASV_23561",0,4,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0
"ASV_29419",0,0,0,0,3,0,0,0,0,1,0,2,0,5,0,0,0,0
"ASV_10981",0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
"ASV_26151",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV_28366",0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_21499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34247",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30905",0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"ASV_5722",0,0,0,0,0,0,1,1,0,4,0,0,6,0,0,0,8,0
"ASV_22030",0,0,0,3,0,0,0,2,0,1,0,0,0,2,0,0,0,0
"ASV_35875",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ASV_36691",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"ASV_21532",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ASV_1689",18,23,9,11,29,55,65,34,55,40,114,50,63,83,65,19,34,45
"ASV_8084",0,1,13,9,1,0,0,2,4,6,0,0,0,0,0,26,0,0
"ASV_6290",8,0,18,0,10,1,4,3,6,20,0,42,3,8,0,0,2,0
"ASV_30761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9111",0,9,21,0,0,1,6,1,2,3,15,0,3,2,0,0,5,0
"ASV_17288",1,0,0,0,7,3,1,0,0,0,0,0,14,2,0,0,13,0
"ASV_7209",0,5,0,10,8,14,4,1,0,0,0,42,9,8,0,21,0,8
"ASV_22306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11843",6,0,0,0,11,0,11,3,6,5,0,25,5,5,0,0,0,0
"ASV_10663",0,0,7,0,0,4,0,0,3,0,0,0,5,1,0,17,9,3
"ASV_22605",0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0
"ASV_13321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5834",0,4,0,9,7,6,4,3,0,2,50,0,8,0,56,0,0,0
"ASV_25361",0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0
"ASV_3560",22,9,0,1,12,6,13,9,1,0,5,16,12,23,61,11,5,14
"ASV_6932",1,0,6,18,0,2,3,0,1,0,0,0,0,0,0,0,0,5
"ASV_8585",0,6,10,10,1,0,4,0,2,0,0,1,0,8,18,0,11,12
"ASV_12929",0,0,0,0,5,2,3,2,0,1,0,0,0,0,46,0,0,0
"ASV_23231",0,0,0,0,0,0,0,0,0,0,0,14,5,6,0,0,0,0
"ASV_24899",0,0,0,2,4,0,3,6,2,3,0,0,4,2,0,4,1,0
"ASV_16277",0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0
"ASV_16110",0,0,10,3,0,5,4,2,5,5,0,8,6,2,0,0,0,0
"ASV_36152",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10844",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ASV_8788",0,8,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV_15307",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3434",0,0,0,8,29,19,13,9,40,5,31,13,28,38,0,13,7,0
"ASV_26857",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ASV_34953",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV_9329",0,4,0,0,0,1,8,0,0,0,0,0,0,0,0,3,7,21
"ASV_13143",0,0,0,6,0,3,13,3,2,4,14,0,0,3,0,0,13,24
"ASV_10495",2,0,0,3,2,2,0,3,6,2,0,0,1,2,0,0,0,3
"ASV_24827",0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,9
"ASV_5157",6,8,2,2,14,7,4,4,2,5,24,0,22,7,0,0,0,0
"ASV_33123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11681",17,0,0,0,15,2,0,0,8,6,23,0,18,7,0,0,0,0
"ASV_30713",0,0,0,0,0,3,3,1,1,1,0,0,11,0,0,0,0,0
"ASV_10793",0,7,0,0,1,4,5,0,2,2,0,15,14,0,0,0,0,0
"ASV_15781",8,0,0,0,3,8,0,1,0,3,0,0,0,6,2,0,0,14
"ASV_3732",0,4,2,1,13,6,21,7,23,2,20,12,21,26,0,9,19,0
"ASV_26103",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32660",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13740",0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0
"ASV_3036",7,0,1,15,41,43,22,19,55,42,11,11,46,43,17,0,17,0
"ASV_34924",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV_21622",0,0,0,0,8,1,0,3,2,0,0,0,0,2,10,0,0,0
"ASV_23576",11,0,0,0,3,0,5,0,0,2,0,0,3,0,0,0,0,0
"ASV_29526",0,0,0,0,0,0,0,0,1,4,0,0,0,5,8,0,0,0
"ASV_13548",0,1,0,4,0,5,0,2,1,0,0,0,0,5,1,0,2,0
"ASV_6273",0,0,0,16,27,17,6,14,23,8,0,0,21,18,0,0,21,0
"ASV_5231",0,0,0,2,2,7,0,0,3,3,0,0,3,0,0,25,5,0
"ASV_19873",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ASV_5951",0,0,8,4,3,6,5,2,19,3,0,3,10,9,3,0,3,0
"ASV_724",0,16,45,9,36,18,18,5,41,7,0,4,11,53,1,0,18,0
"ASV_12531",0,0,0,7,1,0,0,0,6,2,0,0,0,0,0,0,0,0
"ASV_3316",4,1,35,24,8,4,9,7,11,16,0,6,59,18,25,0,11,1
"ASV_1272",17,17,33,22,30,18,21,14,30,27,7,31,39,79,96,3,46,0
"ASV_31664",0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0
"ASV_31162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_23529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35098",0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
"ASV_32025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ASV_12086",0,0,0,0,1,2,2,2,3,1,12,0,1,24,21,0,0,19
"ASV_2592",7,10,19,28,24,10,16,10,21,4,9,37,31,8,10,25,8,3
"ASV_7104",0,0,18,3,6,1,4,1,13,0,0,0,2,6,16,0,0,0
"ASV_12718",0,0,5,9,10,4,4,0,1,0,0,0,0,4,4,0,0,0
"ASV_28499",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_3047",8,0,0,3,19,23,6,12,9,14,66,30,41,20,47,0,5,15
"ASV_1591",35,19,14,15,60,31,24,24,37,29,52,15,47,69,17,3,26,16
"ASV_11757",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV_22513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24773",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"ASV_8593",0,0,0,0,2,1,0,2,1,0,0,0,0,2,0,0,1,0
"ASV_2491",0,0,12,6,19,19,22,13,12,4,15,18,6,17,1,13,1,0
"ASV_3756",0,0,9,0,17,5,27,14,14,5,0,44,19,31,34,15,0,0
"ASV_18592",0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21847",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21086",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"ASV_22287",0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
"ASV_22613",0,0,0,0,0,0,0,2,6,0,0,0,3,3,0,0,0,0
"ASV_3812",23,4,6,19,8,0,11,7,1,8,91,2,3,6,13,0,0,8
"ASV_9386",0,0,2,3,0,0,0,0,0,3,22,0,4,0,0,0,6,0
"ASV_8702",0,0,5,0,14,0,3,3,2,0,0,0,10,4,0,0,0,0
"ASV_4498",7,1,8,31,12,13,19,15,12,9,33,8,11,23,1,64,11,0
"ASV_10484",0,0,5,0,2,19,0,0,0,0,0,0,0,2,8,18,24,0
"ASV_5148",0,0,4,7,12,32,20,8,17,11,31,0,8,10,50,31,31,1
"ASV_7664",1,0,0,4,0,7,13,8,2,12,15,3,9,11,29,31,15,0
"ASV_719",42,0,5,16,61,42,33,38,51,31,80,0,52,49,83,76,29,61
"ASV_5153",9,0,2,6,12,0,6,4,0,6,0,0,10,20,0,0,0,2
"ASV_14135",0,0,0,0,0,0,7,0,0,0,0,0,3,3,0,0,9,0
"ASV_9572",0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV_12084",0,3,5,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0
"ASV_14566",9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3753",8,1,7,0,12,8,4,12,5,4,0,5,13,9,30,17,15,0
"ASV_8422",23,0,0,0,8,2,17,7,15,3,29,0,16,0,27,0,0,0
"ASV_13500",0,3,0,0,1,0,0,0,0,0,0,0,0,5,12,0,28,0
"ASV_782",271,7,0,14,63,23,85,33,26,82,528,55,74,172,156,18,51,23
"ASV_5386",18,0,0,3,7,7,24,2,13,4,45,16,43,22,0,37,3,0
"ASV_19612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19882",0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_1284",45,26,0,35,48,20,17,8,12,27,108,12,31,49,48,87,55,48
"ASV_6426",0,0,0,10,9,1,0,3,2,11,0,0,10,3,0,0,9,0
"ASV_9412",0,0,0,2,5,3,0,0,3,2,0,0,8,6,0,0,6,14
"ASV_7168",4,0,0,6,7,1,7,1,1,6,21,0,4,0,0,0,0,0
"ASV_5905",10,14,6,5,2,2,2,1,1,3,1,3,1,5,13,0,9,18
"ASV_1113",38,11,22,40,33,26,17,23,15,26,10,36,56,41,33,13,37,45
