"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order"
"Acidimicrobiales",0.00157142713699029,0.00270291756101439,0.00158021679465499,0.00195417723750845,0.0013888823276534,0.00149003187536544,0.0015888321535798,0.00124966696692506,0.00145895874855959,0.00116029140433302,0.00126297340023369,0.00209739791571082,0.0020084871914506,0.0015674329178674,0.00185092848616714,0.00186871958314942,0.00182601577749593,0.00201565289029246,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales"
"Actinomycetales",0.0145495074856162,0.0154347600090505,0.0154694907266225,0.0220493882788547,0.0189341509157648,0.0123289135341418,0.0216081172886853,0.0148564468859822,0.0131009549997774,0.012506419645065,0.00880644717850024,0.018817591925018,0.0190761847630474,0.0139603657047454,0.0163826058051161,0.0238634344314449,0.0204414820411798,0.017871756144446,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales"
"Aeromonadales",5.52258738239399e-05,6.11519810184251e-05,6.46872372080988e-05,4.89768731205125e-06,0,1.88611629793093e-05,4.93085840766146e-05,6.34348714175156e-06,0,4.75529264070911e-05,1.71833115678053e-05,0.000347381529789605,2.66613343997867e-05,3.10822391645094e-05,3.7774050738105e-06,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales"
"Alphaproteobacteria_incertae_sedis",0.00935325481218182,0.00865300531410715,0.00846940755731751,0.00867380422964276,0.00646255450418318,0.00684660216148928,0.00744011746400473,0.00755509318582611,0.00632050603613272,0.00748958590911685,0.00957110454326758,0.00545323458084814,0.0060254615743518,0.00706898924998557,0.00705997008295182,0.00932640110976721,0.00775831826645438,0.00858986681312646,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis"
"Alteromonadales",6.02464078079345e-05,0.000103958367731323,0.000203302745511168,8.81583716169225e-05,7.55854327974641e-05,2.51482173057457e-05,1.64361946922049e-05,1.90304614252547e-05,5.44018516412049e-05,9.03505601734731e-05,0.000176128943570005,0.000190076686111293,4.88791130662756e-05,0.000226456313912854,0.000105767342066694,2.86613432998378e-05,4.0478182259762e-05,3.84456954551696e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales"
"Anaerolineales",0.00224919922482955,0.0010640444697206,0.00292478722519475,0.00160644143835281,0.00388792569951956,0.00336986111896993,0.00561569985316999,0.00314636962230878,0.00227993214605413,0.00252981568485725,0.00236700116846519,0.00210395228419742,0.00356817525383812,0.00394300405401205,0.00402671380868199,0.000791053075075523,0.00184850365652913,0.000225181930523136,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales"
"Anaeroplasmatales",0,7.33823772221101e-05,0,0,9.44817909968301e-05,0,1.64361946922049e-05,3.17174357087578e-05,0,9.51058528141822e-06,0,0,0,1.33209596419326e-05,0,0,1.34927274199207e-05,3.84456954551696e-05,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales"
"Armatimonadales",0.00048699179644747,0.000330220697499495,0.000559082550155711,0.000866890654233071,0.000779474775723849,0.000232621010078148,0.000613617935175648,0.000279113434237069,0.000247281143823659,0.00031860460692751,0.00025774967351708,0.000353935898276201,0.000115532449065742,0.000284180472361229,0.000982125319190729,0.000177700328458994,0.000661143643576112,0.00102155705066593,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales"
"Bacillales",0.0217087889467924,0.0176851529105285,0.0207830852115735,0.0313696872336882,0.0147297112164058,0.00741243705086856,0.0137297012995551,0.00987680947970718,0.00879331747436931,0.0105852814182185,0.01006082892295,0.0168316182735793,0.0090159745828612,0.00900496871794644,0.00872202831542843,0.0221609506394346,0.0253123566397712,0.0201180832074694,"Bacteria","Firmicutes","Bacilli","Bacillales"
"Bacteroidales",0.00043176592262353,6.11519810184251e-05,2.31025847171782e-05,8.32606843048712e-05,0.000410995790836211,0.000100592869222983,0.000120532094409502,0.000399639689930349,0.000272009258206025,0.000175945827706237,0.000343666231356107,0.000380153372222586,0.000164411562132018,0.000208695034390277,7.55481014762099e-05,1.71968059799027e-05,9.89466677460849e-05,0.000186736235067966,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales"
"Bdellovibrionales",0.000999086262814913,0.000739938970322944,0.000785487880384057,0.0015770553144805,0.00185656719308771,0.000943058148965465,0.00141899147509369,0.0010086144555385,0.000979233329541689,0.00132672664675784,0.00158945632002199,0.00115356885364095,0.000986469372792108,0.00102127357254817,0.000819696901016877,0.00104900516477406,0.00150668789522447,0.00147192091171221,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales"
"Bifidobacteriales",0,0,0,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales"
"Burkholderiales",0.0467361508570052,0.0432650265705358,0.04396421871679,0.062592443848015,0.0390068074130413,0.0335414348315384,0.0404549538690802,0.0479377323302166,0.0377548850389962,0.0365349133585681,0.0410251563681353,0.0455528609818444,0.0221066897731565,0.0270903915918103,0.0351789734523971,0.0730577640712865,0.0594624497395904,0.0632486612659618,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales"
"Caldilineales",0.00100410679679891,0.000305759905092125,0.000679215990685038,0.00047017798195692,0.000873956566720679,0.00113166977875856,0.000805373539918038,0.000957866558404486,0.000677550334076825,0.000874973845890476,0.00086775723417417,0.000675099954119421,0.000870936923726366,0.000723772140545005,0.000868803166976414,0.00047004603011734,0.000503728490343705,0.000137306055197034,"Bacteria","Chloroflexi","Caldilineae","Caldilineales"
"Campylobacterales",1.00410679679891e-05,0,0,0,4.72408954984151e-06,0,0,0,0,0,4.29582789195134e-05,5.24349478927705e-05,0,4.4403198806442e-06,1.13322152214315e-05,2.29290746398702e-05,3.14830306464815e-05,1.09844844157627e-05,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales"
"Candidatus_Brocadiales",0,0,4.62051694343563e-05,0,3.30686268488905e-05,2.51482173057457e-05,0,0,4.45106058882586e-05,4.75529264070911e-06,0,0,8.88711146659557e-06,4.4403198806442e-06,0,0,0,0,"Bacteria","Planctomycetes","Planctomycetia","Candidatus_Brocadiales"
"Caulobacterales",0.0063459549557691,0.00529576155619561,0.00402447025773243,0.0102410641694992,0.00798371133923215,0.00525597741690086,0.00737985141679998,0.00596287791324647,0.00443622372019644,0.00533068305023491,0.007062341054368,0.00591204037490988,0.00527450065542447,0.00499535986572473,0.00619872172612302,0.0110690107823973,0.00835649584873753,0.00528902924618976,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"Chlamydiales",0.00386581116767579,0.00314932702244889,0.0022039865820188,0.00437853245697382,0.00384068480402114,0.00199299622148035,0.00507330542832723,0.0022138770124713,0.00118200386747709,0.00283415441386263,0.00681318303663482,0.00268073671101789,0.0056210980026217,0.0036366219822476,0.0060816221688349,0.00360559698711959,0.00722760432127083,0.00526156803515035,"Bacteria","Chlamydiae","Chlamydiia","Chlamydiales"
"Chlorobiales",3.51437378879618e-05,0,1.84820677737425e-05,2.44884365602562e-05,8.50336118971471e-05,6.91575975908008e-05,6.57447787688194e-05,0.000107839281409777,0.000118694949035356,0,0,6.55436848659632e-05,3.55484458663823e-05,3.55225590451536e-05,0,0,0,0,"Bacteria","Chlorobi","Chlorobia","Chlorobiales"
"Chloroflexales",0,6.11519810184251e-06,7.85487880384057e-05,0,3.77927163987321e-05,5.02964346114915e-05,4.93085840766146e-05,1.90304614252547e-05,9.89124575294635e-06,1.42658779221273e-05,0.00022338305038147,0,5.77662245328712e-05,1.77612795225768e-05,6.04384811809679e-05,0,0,0,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales"
"Chromatiales",0.00712915825727224,0.00232377527870015,0.00158021679465499,0.00437853245697382,0.00592400829550125,0.00479073539674456,0.00455830466130481,0.00476395884345542,0.00292286311999565,0.00463165503205067,0.0078742525259468,0.00648882480173035,0.00588771134661956,0.00567916912734393,0.00607406735868728,0.0038520845394982,0.00325174730820088,0.00356446519291501,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales"
"Chthonomonadales",0.00116476388428673,0.00266011117430149,0.00523504569691257,0.00129298945038153,0.00101095516366608,0.00154661536430336,0.00123819333347943,0.00168736757970592,0.00104352642693584,0.0010937173073631,0.00237129699635714,0.00127810185488628,0.000608767135461796,0.000981310693622369,0.00233443633561489,0.000252219821038572,0.000431767277437461,0.000450363861046272,"Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales"
"Clostridiales",0.000647648883935295,0.000507561442452928,0.000489774796004177,0.000357531173779741,0.000703889342926385,0.000534399617747097,0.000580745545791238,0.000577257329899392,0.000509399156276737,0.000461263386148784,0.000665853323252457,0.000458805794061742,0.000573218689595414,0.000368546550093469,0.000336189051569134,0.00081971441837536,0.000760090311322197,0.00137855279417822,"Bacteria","Firmicutes","Clostridia","Clostridiales"
"Coriobacteriales",0,0,0,1.46930619361537e-05,4.72408954984151e-06,3.77223259586186e-05,3.8351120948478e-05,1.26869742835031e-05,1.97824915058927e-05,3.80423411256729e-05,0,0,8.88711146659557e-06,4.4403198806442e-06,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales"
"Cytophagales",0.00820857306383107,0.00957028502938353,0.0122813340356519,0.0121707529704474,0.00913638918939347,0.00624304494615138,0.00596633867327036,0.00600728232323873,0.00622653920147973,0.00881631255587469,0.00602275070451577,0.00703283738611785,0.00890488568952876,0.00825899497799822,0.0105880664218908,0.00576093000326739,0.00840147160680393,0.00833173142935604,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"Deferribacterales",0,0,0,0,0,0,5.47873156406829e-06,0,0,0,1.2887483675854e-05,0,0,0,0,0,0,0,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales"
"Deinococcales",7.02874757759235e-05,0,0,2.93861238723075e-05,4.72408954984151e-05,5.02964346114915e-05,2.73936578203414e-05,1.90304614252547e-05,7.41843431470977e-05,4.2797633766382e-05,6.44374183792701e-05,0.00012453300124533,0.000168855117865316,2.2201599403221e-05,0,0,8.99515161328044e-05,1.09844844157627e-05,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales"
"Deltaproteobacteria_incertae_sedis",1.50616019519836e-05,0,0,2.44884365602562e-05,0,0,0,0,0,0,0,0,4.44355573329778e-06,0,0,8.59840298995133e-05,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_incertae_sedis"
