"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum"
"Acidobacteria",0.165195650209356,0.131348340029475,0.127152005766405,0.114253249615532,0.135675851871448,0.167254506246188,0.167462908987311,0.175353015059438,0.177013733994728,0.145906644094878,0.16982266822462,0.139404863341417,0.16289186607123,0.151268377373906,0.147405678195307,0.128121936818935,0.12413309226327,0.131671014691748,"Bacteria","Acidobacteria"
"Actinobacteria",0.0335221054111315,0.0391189222574865,0.0311330431648693,0.0465084387152387,0.0372919629064489,0.0293228213784995,0.0408494225416931,0.0328148589842808,0.0323344823663816,0.0279468548494474,0.0225616880885284,0.0439863669135479,0.0414628185474016,0.0313220164380642,0.0417629904960488,0.0645797387231945,0.0533097660361065,0.0497652066456131,"Bacteria","Actinobacteria"
"Aminicenantes",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.4403198806442e-06,7.55481014762099e-06,0,0,0,"Bacteria","Aminicenantes"
"Armatimonadetes",0.00660200218895282,0.0119490970910003,0.0170681895890512,0.00778242513884944,0.00874901384630647,0.00629962843508931,0.00817974622515395,0.00790398497862245,0.00699805637020955,0.00703307781560877,0.0101467454807891,0.00972668283410893,0.00696749538981093,0.0075441034772145,0.0111773416134053,0.00609913385420548,0.00617966915832366,0.00970479198132638,"Bacteria","Armatimonadetes"
"Bacteroidetes",0.0704481328634114,0.0918135843010634,0.0690952103721364,0.0792053992104928,0.0770546246474648,0.0675481116832331,0.0619206241370998,0.0821545019728245,0.0839470027052557,0.0793801000513572,0.0585521341672967,0.053791702169496,0.0599613410651203,0.0623198895248414,0.0559584787634287,0.0599939237952204,0.106817425407705,0.140491555677605,"Bacteria","Bacteroidetes"
"BRC1",0.000492012330431465,0.000470870253841873,0.000522118414608226,0.000421201108836407,0.000410995790836211,0.000276630390363203,0.000432819793561395,0.000253739485670063,0.00021760740656482,0.000299583436364674,0.000468245240222696,1.31087369731926e-05,0.000391032904530205,0.000328583671167671,0.000468398229152501,9.17162985594809e-05,0.000310332730658175,0.000516270767540849,"Bacteria","BRC1"
"candidate_division_WPS-1",0.0106636141820044,0.00915445155845824,0.00811362775267297,0.010319427166492,0.0126511118144756,0.0163023318684497,0.015000767022419,0.0144504637089101,0.0162018605433261,0.0123494949879216,0.00978160010997319,0.00650848790719014,0.0101979604079184,0.0120954313548748,0.0107656044603599,0.00761245278043691,0.0112169540617607,0.00990800494301799,"Bacteria","candidate_division_WPS-1"
"candidate_division_WPS-2",0.000471930194495487,0.000825551743748739,0.000753144261780008,0.00074444847143179,0.000392099432636845,0.000251482173057457,0.000241064188819005,0.000228365537103056,0.000197824915058927,8.08399748920549e-05,0.00028782046876074,0,0.000106645337599147,0.000146530556061259,0.000736593989393047,0.00119231188127325,0.00106592546617373,0.00197171495262941,"Bacteria","candidate_division_WPS-2"
"Candidatus_Saccharibacteria",0.00719944573304817,0.00528353115999193,0.00468520418064373,0.00843381755135225,0.00484691587813739,0.00199928327580679,0.00381319716859153,0.00246761649814136,0.00155292558321258,0.00283415441386263,0.00419702385043646,0.00291013960804876,0.00307494056744207,0.00376095093890564,0.00603251590287536,0.00871304836315068,0.0109605922407822,0.00817245640532747,"Bacteria","Candidatus_Saccharibacteria"
"Chlamydiae",0.00386581116767579,0.00314932702244889,0.0022039865820188,0.00437853245697382,0.00384068480402114,0.00199299622148035,0.00507330542832723,0.0022138770124713,0.00118200386747709,0.00283415441386263,0.00681318303663482,0.00268073671101789,0.0056210980026217,0.0036366219822476,0.0060816221688349,0.00360559698711959,0.00722760432127083,0.00526156803515035,"Bacteria","Chlamydiae"
"Chlorobi",3.51437378879618e-05,0,1.84820677737425e-05,2.44884365602562e-05,8.50336118971471e-05,6.91575975908008e-05,6.57447787688194e-05,0.000107839281409777,0.000118694949035356,0,0,6.55436848659632e-05,3.55484458663823e-05,3.55225590451536e-05,0,0,0,0,"Bacteria","Chlorobi"
"Chloroflexi",0.00848972296693476,0.00784579916466394,0.00843706393871346,0.00632781200717021,0.0090371833088468,0.0102541856064178,0.0115053362845434,0.00869692087134139,0.00717609879376258,0.00715671542426721,0.00928328407450684,0.0044438618339123,0.00926037014819258,0.0080769418628918,0.0111395675626672,0.00503293188345151,0.00908060555360661,0.00590416037347247,"Bacteria","Chloroflexi"
"Crenarchaeota",2.51026699199727e-05,0,0,0,1.8896358199366e-05,3.77223259586186e-05,5.47873156406829e-06,3.80609228505094e-05,1.48368686294195e-05,4.75529264070911e-06,0.000120283180974637,6.55436848659632e-06,1.77742229331911e-05,2.66419192838652e-05,7.55481014762099e-06,0,0,0,"Archaea","Crenarchaeota"
"Cyanobacteria",0.00153126286511833,0.000862242932359794,0.00327594651289586,0.00139584088393461,0.00110071286511307,0.000628705432643643,0.00364335649010541,0.000754874969868436,0.000741843431470977,0.00113175964848877,0.00201044745343323,0.000655436848659632,0.00121753427092359,0.00108343805087719,0.00256108064004352,0.0010948633140538,0.00106592546617373,0.000664561307153645,"Bacteria","Cyanobacteria"
"Deferribacteres",0,0,0,0,0,0,5.47873156406829e-06,0,0,0,1.2887483675854e-05,0,0,0,0,0,0,0,"Bacteria","Deferribacteres"
"Deinococcus-Thermus",7.02874757759235e-05,0,0,2.93861238723075e-05,4.72408954984151e-05,5.02964346114915e-05,2.73936578203414e-05,1.90304614252547e-05,7.41843431470977e-05,4.2797633766382e-05,6.44374183792701e-05,0.00012453300124533,0.000168855117865316,2.2201599403221e-05,0,0,8.99515161328044e-05,1.09844844157627e-05,"Bacteria","Deinococcus-Thermus"
"Elusimicrobia",0,0,3.69641355474851e-05,0,0,0,1.09574631281366e-05,1.26869742835031e-05,0,0,0,0,0,4.4403198806442e-06,0,0,2.24878790332011e-05,0,"Bacteria","Elusimicrobia"
"Euryarchaeota",6.02464078079345e-05,1.2230396203685e-05,6.00667202646632e-05,6.85676223687175e-05,0.000165343134244453,4.4009380285055e-05,3.28723893844097e-05,1.26869742835031e-05,4.94562287647318e-05,4.75529264070911e-05,0,7.20980533525595e-05,5.33226687995734e-05,6.21644783290188e-05,0,0.000332471582278118,0.000152917577425768,0,"Archaea","Euryarchaeota"
"Fibrobacteres",0,6.11519810184251e-05,0,3.42838111843587e-05,3.77927163987321e-05,0,0,0,3.46193601353122e-05,1.42658779221273e-05,0,0,8.88711146659557e-06,6.21644783290188e-05,0.000200202468911956,0,0,5.49224220788137e-06,"Bacteria","Fibrobacteres"
"Firmicutes",0.0254992921047083,0.0217211836577446,0.0231025847171782,0.0346168539215782,0.0184995346771793,0.0116750598841925,0.0168690144857663,0.0134545362276551,0.0137290491050895,0.0136286687082723,0.0134974912365111,0.0207380218915907,0.0134728609833589,0.0124462166254457,0.0123067857304746,0.0285237688519986,0.029764956688345,0.0267087738569271,"Bacteria","Firmicutes"
"Fusobacteria",2.00821359359782e-05,6.72671791202676e-05,4.15846524909207e-05,2.93861238723075e-05,0,8.17317062436737e-05,8.76597050250926e-05,5.07478971340125e-05,5.93474745176781e-05,0,5.1549934703416e-05,4.58805794061742e-05,8.44275589326579e-05,4.4403198806442e-05,4.15514558119154e-05,5.1590417939708e-05,4.0478182259762e-05,6.59069064945764e-05,"Bacteria","Fusobacteria"
"Gemmatimonadetes",0.0246257191914932,0.0286497031071322,0.0303290732167115,0.0217065501670111,0.0204553077508137,0.0284300596641456,0.0195700291468519,0.0112025982923333,0.0297973778307509,0.0280086736537767,0.0376830022681971,0.0341154879727338,0.0323890777400076,0.029852270557571,0.021448106009096,0.0261907355073918,0.0195824450621115,0.0218261705341206,"Bacteria","Gemmatimonadetes"
"Hydrogenedentes",2.51026699199727e-05,0,9.24103388687126e-06,4.89768731205125e-06,9.44817909968301e-06,1.25741086528729e-05,0,0,3.95649830117854e-05,0,2.14791394597567e-05,0,8.88711146659557e-06,8.8806397612884e-06,0,0,0,0,"Bacteria","Hydrogenedentes"
"Ignavibacteriae",0,0.00019568633925896,0.00014785654218994,0,3.30686268488905e-05,5.65834889379279e-05,0.000262979115075278,3.80609228505094e-05,0,0.000118882316017728,0,9.17611588123484e-05,2.22177786664889e-05,4.88435186870862e-05,0,0,0,0,"Bacteria","Ignavibacteriae"
"Latescibacteria",0.00260063660370917,0.0064882251860549,0.00740206814338388,0.00363898167285408,0.00347220581913351,0.00558290424187555,0.00578554053165611,0.00576622981185217,0.00563306445630295,0.00523557719742073,0.00361279125713107,0.00471259094186275,0.00830944922126686,0.00662939758180179,0.00795143768037109,0.00330178674814131,0.00306734670012863,0.00155430454483043,"Bacteria","Latescibacteria"
"Microgenomates",0.000371519514815596,0.000605404612082408,0.00161718093020247,0.000950151338537942,0.000680268895177177,0.00136429078883671,0.00145734259604216,0.00239783813958209,0.00106825454131821,0.000613432750651475,0.000635782528008798,0.000812741692337943,0.00136861516585572,0.00139426044252228,0.000755481014762099,0.00110632785137374,0.000899515161328044,0.00068103803377729,"Bacteria","Microgenomates"
"Nitrospirae",0.00637607815967306,0.00756450005197918,0.00602515409424006,0.00641597037878714,0.0052012225943755,0.00572750649138359,0.00385154828954001,0.00537293360906357,0.00649360283680928,0.00711391779050083,0.00480703141109355,0.00806187323851347,0.00754515763513964,0.00625641071182768,0.00929619388664763,0.00893087457222945,0.00952586555846399,0.0142303995606206,"Bacteria","Nitrospirae"
"Pacearchaeota",0,0,4.62051694343563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Archaea","Pacearchaeota"
"Parcubacteria",0.0050506571878985,0.00519791838656613,0.00614990805171283,0.00789996963433866,0.00858367071206202,0.00746902053980648,0.0076537879950034,0.0109298283452379,0.00945108531694024,0.00925855477146064,0.00638789607533164,0.00986432457232746,0.00847386078339888,0.0122686038302199,0.00509949684964417,0.00529088397315005,0.00801018251162623,0.00529452148839764,"Bacteria","Parcubacteria"
"Planctomycetes",0.0327389021096284,0.0380793385801733,0.0459833846210714,0.0365612357844626,0.030909717924613,0.0327807012580396,0.0380497907124543,0.0294781847477195,0.028021899218097,0.0291451885949061,0.0298173413980342,0.0213737956347906,0.0289586527139017,0.0307447748535805,0.037135669280631,0.0219259276243759,0.0316944167093936,0.0216888644789235,"Bacteria","Planctomycetes"
"Poribacteria",0,1.2230396203685e-05,0,0,0,6.28705432643643e-06,0,0,0,0,0,0.000131087369731926,8.88711146659557e-05,8.43660777322398e-05,0,0,0,0,"Bacteria","Poribacteria"
"Proteobacteria",0.396903334638672,0.399175671295872,0.429708075739514,0.435801114713632,0.417255209489751,0.39387137944259,0.378295457035787,0.416208878344604,0.388369873243686,0.419721149639549,0.368994432607052,0.443409582486727,0.375720411473261,0.400503532274465,0.368712509254642,0.445030409685241,0.373379748315658,0.360241658657147,"Bacteria","Proteobacteria"
"Spirochaetes",0.000471930194495487,0.000214031933564488,1.38615508303069e-05,0.000288963551411024,0.000472408954984151,0.000339500933627567,0.00035063882010037,0.000437700612780858,0.000356084847106069,0.000632453921214311,0.000541274314385868,0.000255620370977256,0.000408807127463396,0.000452912627825709,0.000298415000831029,0.000131842179179254,0.000152917577425768,0.000175751750652204,"Bacteria","Spirochaetes"
