"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Acetobacteraceae",437,602,525,977,463,248,392,280,335,340,453,380,340,391,409,1313,1744,428
"Acidimicrobiaceae",9,54,25,32,47,18,19,12,33,25,29,68,52,40,44,4,40,20
"Acidimicrobineae_incertae_sedis",63,27,34,90,55,39,61,49,75,43,30,87,110,85,71,63,68,32
"Acidothermaceae",49,55,28,76,40,14,22,8,15,9,5,33,19,24,18,48,130,64
"Actinospicaceae",8,3,5,12,6,7,11,11,9,2,23,1,34,4,26,14,20,22
"Aeromonadaceae",11,10,14,1,0,3,9,1,0,10,4,53,6,7,1,0,1,1
"Alcaligenaceae",44,160,286,159,16,27,31,38,9,26,22,22,26,29,0,77,69,84
"Alicyclobacillaceae",79,64,115,166,103,67,53,85,239,158,31,28,69,84,85,251,103,103
"Alteromonadaceae",12,15,43,17,16,3,1,3,11,19,38,24,11,46,23,0,5,2
"Anaerolineaceae",448,174,633,328,823,536,1025,496,461,532,551,321,803,888,1066,138,411,41
"Anaeroplasmataceae",0,12,0,0,20,0,3,5,0,2,0,0,0,3,0,0,3,7
"Armatimonadaceae",97,54,121,177,165,37,112,44,50,67,60,54,26,64,260,31,147,186
"Aurantimonadaceae",1,0,10,0,3,1,11,2,0,0,2,9,0,9,5,0,1,0
"Bacillaceae_1",3371,2262,3579,5476,2213,701,1982,1011,955,1437,1186,1229,1067,1199,1106,2304,4632,2743
"Bacillaceae_2",134,36,79,54,193,87,74,100,112,102,193,174,262,183,186,72,94,88
"Bacillales_incertae_sedis",126,145,200,83,77,37,58,60,62,63,406,574,133,103,438,499,147,237
"Bacillales_Incertae_Sedis_XII",0,0,2,1,0,1,1,1,3,0,2,0,0,1,0,3,1,2
"Bacteriovoracaceae",21,12,26,82,14,3,29,10,1,5,35,11,18,9,26,118,107,6
"Bacteroidaceae",12,2,5,4,3,2,5,7,10,1,32,1,8,3,3,2,9,18
"Bdellovibrionaceae",178,109,144,240,379,147,230,149,197,274,335,165,204,221,191,65,228,262
"Beijerinckiaceae",57,92,91,63,50,12,47,19,17,28,36,25,17,12,51,42,42,36
"Bifidobacteriaceae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobiaceae",1701,1544,1949,1686,2246,1164,1703,1123,1480,1865,1464,1639,1606,2064,2746,1390,1366,1781
"Brevibacteriaceae",28,0,0,0,26,20,16,4,8,21,28,0,55,18,18,0,0,0
"Brucellaceae",0,0,7,7,3,0,0,0,2,1,0,14,0,0,0,0,2,8
"Burkholderiaceae",5224,3182,3791,6185,4566,1485,4192,3242,2572,3239,4202,4168,2095,2895,6028,8044,6982,8714
"Burkholderiales_incertae_sedis",135,421,824,858,342,396,214,362,401,413,104,94,100,150,237,194,158,31
"Caldilineaceae",200,50,147,96,185,180,147,151,137,184,202,103,196,163,230,82,112,25
"Campylobacteraceae",1,0,0,0,0,0,0,0,0,0,9,7,0,1,0,2,4,0
"Candidatus_Brocadiaceae",0,0,10,0,7,4,0,0,9,1,0,0,2,1,0,0,0,0
"Catenulisporaceae",0,10,0,0,1,4,0,5,4,0,0,1,0,0,0,0,8,52
"Caulobacteraceae",1264,866,871,2091,1690,836,1347,940,897,1121,1644,902,1187,1125,1641,1931,1858,963
"Cellulomonadaceae",0,0,0,0,2,4,2,0,0,2,11,15,0,3,0,1,1,6
"Chitinophagaceae",9592,11543,10081,11021,10447,7571,7324,9233,12237,10812,9211,4740,8386,8391,10143,7989,18793,21733
"Chlamydiaceae",16,12,0,2,21,1,19,7,6,3,0,15,7,13,26,0,5,5
"Chlorobiaceae",7,0,4,5,18,11,12,17,24,0,0,10,8,8,0,0,0,0
"Chloroflexaceae",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroplast",292,129,709,236,214,91,649,104,140,221,449,83,252,232,662,191,181,114
"Chromatiaceae",220,66,67,384,234,249,120,184,131,226,451,145,309,275,499,306,306,56
"Chthonomonadaceae",232,435,1133,264,214,246,226,266,211,230,552,195,137,221,618,44,96,82
"Clostridiaceae_1",55,33,50,31,17,3,40,18,17,13,26,19,29,9,1,53,72,205
"Clostridiaceae_2",2,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"Clostridiales_Incertae_Sedis_XI",0,0,0,1,1,2,2,4,3,3,10,1,4,4,9,0,0,1
"Clostridiales_Incertae_Sedis_XVIII",10,1,0,0,4,11,1,3,11,10,0,0,9,8,0,0,8,0
"Comamonadaceae",1173,1436,2316,2399,1369,1809,1250,2086,1998,1709,1127,1125,1005,1068,974,1372,1807,700
"Conexibacteraceae",127,115,115,174,141,99,120,87,159,144,65,101,158,91,112,282,232,170
"Coriobacteriaceae",0,0,0,3,1,6,7,2,4,8,0,0,2,1,0,0,0,0
"Corynebacteriaceae",28,0,0,0,10,0,4,2,3,3,0,7,6,5,0,0,20,3
"Coxiellaceae",1583,895,1170,1315,1746,916,1244,745,864,1664,1565,1275,1319,1862,2071,692,1610,1315
"Cryomorphaceae",15,25,21,27,111,29,29,29,30,120,25,18,37,37,30,8,36,7
"Cryptosporangiaceae",23,35,31,78,48,24,44,17,45,22,31,47,40,38,69,78,84,44
"Cystobacteraceae",196,141,119,124,313,295,190,231,280,263,295,244,411,380,450,254,209,250
"Cytophagaceae",14,47,90,73,40,11,54,14,50,22,87,85,72,94,37,91,127,12
"Deferribacteraceae",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"Deinococcaceae",2,0,0,6,0,0,0,0,0,0,0,19,2,0,0,0,11,2
"Demequinaceae",3,0,0,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0
"Dermabacteraceae",5,0,0,0,0,0,1,0,2,0,0,26,2,2,0,0,0,0
"Dermacoccaceae",2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
"Desulfobacteraceae",4,11,21,8,1,7,5,2,4,8,1,0,2,12,3,7,15,27
"Desulfobulbaceae",20,1,21,4,19,31,26,28,7,9,26,9,6,4,3,0,0,1
"Desulfovibrionaceae",50,24,27,56,142,329,86,341,122,98,106,54,63,57,16,28,35,0
"Desulfuromonadaceae",3,0,4,0,11,12,11,15,4,8,173,7,16,0,0,0,0,0
"Dietziaceae",18,2,0,0,9,2,3,0,2,0,8,0,0,0,1,0,0,0
"Ectothiorhodospiraceae",371,156,28,157,196,133,116,113,89,185,262,85,194,130,335,138,175,389
"Enterobacteriaceae",385,395,950,465,108,7,75,45,13,50,155,78,40,61,127,262,283,816
"Enterococcaceae",0,0,5,8,0,1,11,0,0,1,0,0,0,0,0,0,0,3
"Erysipelotrichaceae",2,5,1,0,10,2,3,2,0,0,1,0,5,2,0,0,1,1
"Erythrobacteraceae",877,558,1062,890,918,598,721,551,691,912,1049,779,988,878,1057,399,568,304
"Eubacteriaceae",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0
"Family_I",0,0,0,2,0,4,0,3,5,4,0,0,6,0,0,0,3,0
"Family_V",0,11,0,23,3,3,1,2,1,3,19,0,0,0,0,0,26,7
"Family_XI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Family_XII",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Family_XIII",0,0,0,22,8,2,3,2,2,9,0,0,0,7,0,0,16,0
"Fibrobacteraceae",0,10,0,7,8,0,0,0,7,3,0,0,2,14,53,0,0,1
"Fimbriimonadaceae",35,49,2,19,70,10,26,21,31,47,41,0,10,21,0,83,52,16
"Flammeovirgaceae",12,4,0,10,7,2,4,0,6,20,0,0,4,2,0,0,0,40
"Flavobacteriaceae",192,73,374,532,141,159,115,247,101,223,82,152,60,310,55,118,595,45
"Fusobacteriaceae",4,11,9,6,0,13,16,8,12,0,12,7,19,10,11,9,9,12
"Gaiellaceae",2021,2603,2056,3044,2257,1507,2203,1684,2200,1900,1761,2180,2866,2146,4487,5001,5452,4524
"Gallionellaceae",0,1,0,0,0,0,1,0,1,0,0,5,1,0,1,0,1,0
"Gemmatimonadaceae",4905,4685,6564,4432,4330,4522,3572,1766,6025,5890,8772,5205,7289,6723,5678,4569,4354,3974
"Geobacteraceae",491,177,351,685,3517,5882,859,4245,2678,4564,1711,691,892,727,204,1246,879,327
"Geodermatophilaceae",31,20,25,28,18,11,8,13,19,5,56,29,41,22,19,60,29,22
"Glycomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halanaerobiaceae",9,0,0,0,6,2,5,8,1,4,41,2,15,33,9,0,7,0
"Haliangiaceae",605,436,439,447,715,515,647,375,577,615,912,505,999,781,790,611,477,599
"Halomonadaceae",0,4,14,14,1,0,3,0,2,0,22,0,11,9,0,10,38,50
"Halothiobacillaceae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Helicobacteraceae",1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,2,3,2
"Heliobacteriaceae",0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0
"Herpetosiphonaceae",0,31,9,16,3,18,23,5,8,8,72,2,6,19,0,0,41,0
"Holophagaceae",212,44,51,151,256,229,155,155,81,145,205,125,81,134,149,212,122,54
