"","source","target","value","energy_type"
"1",6,16,0.0178491647287121,"p_Acidobacteria"
"2",1,7,0.059831238351826,"p_Actinobacteria"
"3",2,11,0.044602186774863,"p_Proteobacteria"
"4",4,12,0.0851602684405328,"p_Firmicutes"
"5",2,10,0.0531956049901109,"p_Proteobacteria"
"6",5,14,0.0363581859331807,"p_Chloroflexi"
"7",3,13,0.0450852125682814,"p_Bacteroidetes"
"8",3,9,0.219846449588964,"p_Bacteroidetes"
"9",2,8,0.114704091464596,"p_Proteobacteria"
"10",3,15,0.0190371616936391,"p_Bacteroidetes"
"11",23,41,0.120012097125115,"o_Bacillales"
"12",22,40,0.0694912530944185,"o_Rhizobiales"
"13",21,57,0.0232588230870335,"o_Burkholderiales"
"14",29,55,0.0297096741708729,"o_Caulobacterales"
"15",31,60,0.0190371616936391,"o_Sphingobacteriales"
"16",21,37,0.0828789143973387,"o_Burkholderiales"
"17",19,35,0.219846449588964,"o_Flavobacteriales"
"18",28,54,0.0334346876978345,"o_Gaiellales"
"19",26,52,0.0363581859331807,"o_Herpetosiphonales"
"20",22,45,0.0342593984154227,"o_Rhizobiales"
"21",17,56,0.0265825952371677,"o_Actinomycetales"
"22",17,48,0.0472264305998928,"o_Actinomycetales"
"23",17,63,0.013254748846742,"o_Actinomycetales"
"24",17,39,0.0771245854445586,"o_Actinomycetales"
"25",17,61,0.0180919630641703,"o_Actinomycetales"
"26",17,42,0.0549237166572242,"o_Actinomycetales"
"27",21,44,0.0386074227823467,"o_Burkholderiales"
"28",23,47,0.0503084397559503,"o_Bacillales"
"29",22,59,0.0230736597485142,"o_Rhizobiales"
"30",17,62,0.013973984190081,"o_Actinomycetales"
"31",18,34,0.159835254530207,"o_Pseudomonadales"
"32",17,38,0.0735648128487806,"o_Actinomycetales"
"33",22,43,0.0653195455087851,"o_Rhizobiales"
"34",27,53,0.0352493250639469,"o_Rhodospirillales"
"35",20,36,0.178533323803191,"o_Xanthomonadales"
"36",30,58,0.0236110089249904,"o_Solirubrobacterales"
"37",24,46,0.0373968949311732,"o_Sphingomonadales"
"38",17,33,0.249797623035411,"o_Actinomycetales"
"39",17,51,0.0377096764806655,"o_Actinomycetales"
"40",25,49,0.0314671886484968,"o_Cytophagales"
"41",32,49,0.0314671886484968,"o_Unassigned"
"42",20,50,0.0376583122296873,"o_Xanthomonadales"
"43",51,88,0.0377096764806655,"f_Thermomonosporaceae"
"44",38,75,0.0787454621545035,"f_Pseudonocardiaceae"
"45",39,70,0.133627089762653,"f_Micromonosporaceae"
"46",42,109,0.0162956808755394,"f_Nocardioidaceae"
"47",48,82,0.0472264305998928,"f_Microbacteriaceae"
"48",38,86,0.0421543400787212,"f_Pseudonocardiaceae"
"49",57,96,0.0264905430013517,"f_Burkholderiales_incertae_sedis"
"50",63,112,0.013254748846742,"f_Micrococcaceae"
"51",41,72,0.120012097125115,"f_Bacillaceae_1"
"52",40,106,0.0189663735181712,"f_Bradyrhizobiaceae"
"53",40,71,0.120016132670666,"f_Bradyrhizobiaceae"
"54",45,78,0.0588333269122045,"f_Hyphomicrobiaceae"
"55",53,90,0.0352493250639469,"f_Rhodospirillaceae"
"56",43,79,0.0554981579937134,"f_Rhizobiaceae"
"57",35,66,0.219846449588964,"f_Flavobacteriaceae"
"58",54,91,0.0334346876978345,"f_Gaiellaceae"
"59",49,108,0.0178491647287121,"f_Unassigned"
"60",52,89,0.0363581859331807,"f_Herpetosiphonaceae"
"61",45,98,0.0233377358186258,"f_Hyphomicrobiaceae"
"62",56,95,0.0265825952371677,"f_Kineosporiaceae"
"63",37,85,0.0446903696422789,"f_Comamonadaceae"
"64",42,92,0.0308040807011637,"f_Nocardioidaceae"
"65",38,69,0.153043105374591,"f_Pseudonocardiaceae"
"66",50,84,0.0447403594243378,"f_Xanthomonadaceae"
"67",59,99,0.0230736597485142,"f_Phyllobacteriaceae"
"68",39,101,0.0206220811264647,"f_Micromonosporaceae"
"69",61,107,0.0180919630641703,"f_Mycobacteriaceae"
"70",60,105,0.0190371616936391,"f_Chitinophagaceae"
"71",42,73,0.11767138839497,"f_Nocardioidaceae"
"72",44,110,0.0149780174320261,"f_Oxalobacteraceae"
"73",49,83,0.0450852125682814,"f_Unassigned"
"74",47,81,0.0503084397559503,"f_Paenibacillaceae_1"
"75",45,102,0.020607132515438,"f_Hyphomicrobiaceae"
"76",37,68,0.165749793882135,"f_Comamonadaceae"
"77",55,94,0.0297096741708729,"f_Caulobacteraceae"
"78",57,104,0.0200271031727153,"f_Burkholderiales_incertae_sedis"
"79",62,111,0.013973984190081,"f_Promicromonosporaceae"
"80",44,77,0.0622368281326672,"f_Oxalobacteraceae"
"81",34,74,0.0806568079672415,"f_Pseudomonadaceae"
"82",38,103,0.0203163437873065,"f_Pseudonocardiaceae"
"83",50,93,0.0305762650350368,"f_Xanthomonadaceae"
"84",34,65,0.239013701093172,"f_Pseudomonadaceae"
"85",43,76,0.0751409330238568,"f_Rhizobiaceae"
"86",58,97,0.0236110089249904,"f_Solirubrobacteraceae"
"87",46,80,0.0538437438678415,"f_Sphingomonadaceae"
"88",46,100,0.020950045994505,"f_Sphingomonadaceae"
"89",36,67,0.178533323803191,"f_Sinobacteraceae"
"90",33,64,0.249797623035411,"f_Streptomycetaceae"
"91",37,87,0.0381965796676025,"f_Comamonadaceae"
"92",7,17,0.0637447871068777,"c_Actinobacteria"
"93",12,23,0.0851602684405328,"c_Bacilli"
"94",10,21,0.0531956049901109,"c_Betaproteobacteria"
"95",11,29,0.0297096741708729,"c_Alphaproteobacteria"
"96",13,25,0.0450852125682814,"c_Cytophagia"
"97",9,19,0.219846449588964,"c_Flavobacteriia"
"98",7,28,0.0334346876978345,"c_Actinobacteria"
"99",14,26,0.0363581859331807,"c_Chloroflexia"
"100",8,18,0.159835254530207,"c_Gammaproteobacteria"
