"","source","target","value","energy_type"
"1",6,16,0.0154898584096626,"p_Acidobacteria"
"2",2,8,0.0716340953386824,"p_Actinobacteria"
"3",1,11,0.0420084817182891,"p_Proteobacteria"
"4",5,14,0.0256581582112204,"p_Firmicutes"
"5",1,9,0.0619072180442641,"p_Proteobacteria"
"6",4,12,0.0555888935262036,"p_Chloroflexi"
"7",3,13,0.0368652693966472,"p_Bacteroidetes"
"8",1,17,0.0132086187834689,"p_Proteobacteria"
"9",3,10,0.191939620352814,"p_Bacteroidetes"
"10",1,7,0.12610935835601,"p_Proteobacteria"
"11",3,15,0.0166350790923529,"p_Bacteroidetes"
"12",30,59,0.0256581582112204,"o_Bacillales"
"13",35,65,0.0128315731291184,"o_Bdellovibrionales"
"14",23,43,0.0660240748169113,"o_Rhizobiales"
"15",20,57,0.0269742105959322,"o_Burkholderiales"
"16",27,55,0.0322014387997223,"o_Caulobacterales"
"17",31,62,0.0166350790923529,"o_Sphingobacteriales"
"18",20,38,0.103350617418898,"o_Burkholderiales"
"19",21,39,0.191939620352814,"o_Flavobacteriales"
"20",28,56,0.028633733337171,"o_Gaiellales"
"21",24,49,0.0555888935262036,"o_Herpetosiphonales"
"22",23,50,0.0290705179157665,"o_Rhizobiales"
"23",19,53,0.0403780261916537,"o_Actinomycetales"
"24",19,52,0.0441348184422266,"o_Actinomycetales"
"25",19,42,0.072154827313833,"o_Actinomycetales"
"26",19,61,0.0167191446659982,"o_Actinomycetales"
"27",19,44,0.0531404467897582,"o_Actinomycetales"
"28",20,45,0.0437524903018516,"o_Burkholderiales"
"29",23,60,0.0247785799917355,"o_Rhizobiales"
"30",18,36,0.182579286732713,"o_Pseudomonadales"
"31",19,40,0.100742607249233,"o_Actinomycetales"
"32",23,46,0.0626482278479519,"o_Rhizobiales"
"33",29,58,0.026288334778108,"o_Rhodospirillales"
"34",33,63,0.0135856644378195,"o_Myxococcales"
"35",22,41,0.187710350912399,"o_Xanthomonadales"
"36",34,64,0.0131404566312315,"o_Solirubrobacterales"
"37",25,51,0.0381386339864385,"o_Sphingomonadales"
"38",19,37,0.240655407765343,"o_Actinomycetales"
"39",19,47,0.0557825143914193,"o_Actinomycetales"
"40",26,54,0.0261775639031549,"o_Cytophagales"
"41",32,54,0.0261775639031549,"o_Unassigned"
"42",22,48,0.0388389337011125,"o_Xanthomonadales"
"43",47,79,0.0557825143914193,"f_Thermomonosporaceae"
"44",40,77,0.0849389416583067,"f_Pseudonocardiaceae"
"45",42,72,0.126455191500447,"f_Micromonosporaceae"
"46",44,109,0.0164394550804996,"f_Nocardioidaceae"
"47",52,86,0.0441348184422266,"f_Microbacteriaceae"
"48",40,74,0.106332425316415,"f_Pseudonocardiaceae"
"49",57,95,0.0262261309560782,"f_Burkholderiales_incertae_sedis"
"50",59,96,0.0256581582112204,"f_Bacillaceae_1"
"51",43,99,0.0241171169352072,"f_Bradyrhizobiaceae"
"52",43,73,0.107931032698615,"f_Bradyrhizobiaceae"
"53",42,104,0.017854463127219,"f_Micromonosporaceae"
"54",50,82,0.0549297907591687,"f_Hyphomicrobiaceae"
"55",58,94,0.026288334778108,"f_Rhodospirillaceae"
"56",46,87,0.0434556614988135,"f_Rhizobiaceae"
"57",39,69,0.191939620352814,"f_Flavobacteriaceae"
"58",56,92,0.028633733337171,"f_Gaiellaceae"
"59",54,110,0.0154898584096626,"f_Unassigned"
"60",49,81,0.0555888935262036,"f_Herpetosiphonaceae"
"61",50,105,0.0175623680714892,"f_Hyphomicrobiaceae"
"62",53,89,0.0403780261916537,"f_Kineosporiaceae"
"63",38,84,0.0518535387787404,"f_Comamonadaceae"
"64",44,88,0.0431689087147411,"f_Nocardioidaceae"
"65",40,70,0.190789647639865,"f_Pseudonocardiaceae"
"66",48,80,0.0556181368225291,"f_Xanthomonadaceae"
"67",45,106,0.0172522572428053,"f_Oxalobacteraceae"
"68",60,97,0.0247785799917355,"f_Phyllobacteriaceae"
"69",61,107,0.0167191446659982,"f_Mycobacteriaceae"
"70",62,108,0.0166350790923529,"f_Chitinophagaceae"
"71",44,75,0.099812976574034,"f_Nocardioidaceae"
"72",45,103,0.0180994499740656,"f_Oxalobacteraceae"
"73",54,90,0.0368652693966472,"f_Unassigned"
"74",50,111,0.0147193949166415,"f_Hyphomicrobiaceae"
"75",38,68,0.212858740414004,"f_Comamonadaceae"
"76",65,114,0.0128315731291184,"f_Bacteriovoracaceae"
"77",55,91,0.0322014387997223,"f_Caulobacteraceae"
"78",57,93,0.0277222902357862,"f_Burkholderiales_incertae_sedis"
"79",45,76,0.095905763688684,"f_Oxalobacteraceae"
"80",36,98,0.0245880801010577,"f_Pseudomonadaceae"
"81",40,102,0.0209094143823462,"f_Pseudonocardiaceae"
"82",48,101,0.022059730579696,"f_Xanthomonadaceae"
"83",36,66,0.340570493364369,"f_Pseudomonadaceae"
"84",46,78,0.0818407941970903,"f_Rhizobiaceae"
"85",63,112,0.0135856644378195,"f_Sandaracinaceae"
"86",64,113,0.0131404566312315,"f_Solirubrobacteraceae"
"87",51,83,0.0522953373850181,"f_Sphingomonadaceae"
"88",51,100,0.023981930587859,"f_Sphingomonadaceae"
"89",41,71,0.187710350912399,"f_Sinobacteraceae"
