"","one","Means","SD"
"num.edges",71,71,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",58,58,0
"connectance",0.0429522081064731,0.0429522081064731,0
"average.degree",2.44827586206897,2.44827586206897,0
"average.path.length",3.71394037066882,4.10035391756782,0.284517915499351
"diameter",8,9.27,1.25412450850316
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0383955764526268,0.0271705680700779
"no.clusters",3,6.03,1.64810880292007
"centralization.degree",0.220205686630369,0.0710828796128252,0.0185767200527976
"centralization.betweenness",0.414432152049364,0.180648092399791,0.0531088956080333
"centralization.closeness",0.0419568855176264,0.0459947820927366,0.0139914782183102
