"","Actinomycetales","Burkholderiales","Rhizobiales","Unassigned","Xanthomonadales","Pseudomonadales","Flavobacteriales","Sphingomonadales","Bacillales","Myxococcales","Caulobacterales","Cytophagales","Solirubrobacterales","Rhodospirillales","Herpetosiphonales","Gaiellales","Sphingobacteriales","Acidimicrobiales","Chloroflexales","Bdellovibrionales"
"KO1",0.232456668271545,0.274524554646124,0.123976889744824,0.10784785748676,0.0594908521906596,0.0661410688493019,0.0149554646124218,0.0202816562349543,0.0154369282619162,0.0142934520943669,0.0156475686085701,0.0113444872412133,0.00758305247953779,0.00755296100144439,0.0038216177178623,0.0038216177178623,0.00300914780934039,0.00291887337506018,0.00337024554646124,0.0022568608570053
"KO2",0.371412757714128,0.188570637885706,0.113214335132143,0.11077902310779,0.0478760204787602,0.0269821502698215,0.0173792721737927,0.0194548221945482,0.01383700013837,0.0103777501037775,0.0131728241317282,0.0066417600664176,0.00963055209630552,0.00855126608551266,0.00462155804621558,0.00642036806420368,0.00182648401826484,0.00412342604123426,0.0051196900511969,0.0022139200221392
"KO3",0.258504274601422,0.246386485584452,0.151421016148494,0.0725526944109265,0.0505763651767605,0.0417190829503735,0.0689841082385561,0.0342738312238453,0.0139919385895099,0.0092167081718056,0.0128109676259916,0.00351723960873919,0.00554542887217273,0.00564812199943519,0.00172010988164617,0.00374829914507972,0.00154039690893687,0.00367127929963287,0.00187414957253986,0.00290108084516444
"KO4",0.258988085865743,0.272686716002729,0.130556867684879,0.0834776675589146,0.0516716527580958,0.0482863591035532,0.0235396000629822,0.0295753949509264,0.0316748018684722,0.0114680102870939,0.0126226840917441,0.00482863591035532,0.0069018002414318,0.00495984884270194,0.00419881383509159,0.00543221539914974,0.00220437726342308,0.00251928830105495,0.00335905106807327,0.00372644727864378
"KO5",0.156996148908858,0.350012836970475,0.149114249037227,0.0661360718870347,0.0428241335044929,0.0800256739409499,0.0447240051347882,0.0325032092426187,0.007599486521181,0.0096790757381258,0.0150192554557125,0.00492939666238768,0.0048780487804878,0.00238767650834403,0.00549422336328626,0.00295250320924262,0.00187419768934531,0.00187419768934531,0.00318356867779204,0.00816431322207959
"KO6",0.20998213609051,0.305418719211823,0.143263140800087,0.103610675039246,0.0574893087208358,0.0416283224164998,0.0191901694364749,0.028284523358415,0.0160233854815136,0.0100416824554756,0.0160233854815136,0.00235478806907378,0.00974395063065014,0.00701023114816218,0.0021653223623667,0.00495317490391382,0.00178639094895253,0.00327505007307963,0.00235478806907378,0.00295025171872463
"OE1",0.239140487714647,0.165397539846472,0.127138761291118,0.140826833554274,0.0725097882048278,0.0437155100656657,0.0156302987329284,0.0167401424299411,0.0493263865338965,0.0191139747818849,0.0137805592379073,0.0164318525141043,0.01489040293492,0.0136572432715726,0.00283626722569905,0.00490180966180596,0.00705983907266393,0.00585750840090021,0.00249714831827851,0.00299041218361747
"OE2",0.307219476919368,0.140984693262625,0.109648065565867,0.117120646016633,0.0539652886585513,0.0553814631794625,0.0645112691334217,0.0163613354224418,0.0265758707966735,0.0110582138122213,0.0113896589128601,0.0112691334217187,0.0108774255755092,0.00777389417861878,0.0109376883210799,0.00756297456912137,0.0038266843437387,0.00509220200072315,0.00403760395323611,0.00265156080511028
"OE3",0.300155925155925,0.207957957957958,0.0857877107877108,0.0988969738969739,0.0576923076923077,0.0546026796026796,0.0638138138138138,0.0132247632247632,0.0223492723492724,0.0151882651882652,0.00843150843150843,0.0166897666897667,0.00675675675675676,0.00770963270963271,0.00124162624162624,0.00467775467775468,0.00727650727650728,0.00381150381150381,0.00343612843612844,0.00277200277200277
"OE4",0.246615263189849,0.211917916337806,0.0987796733653087,0.112652540829336,0.0547629166413697,0.0764677311638638,0.0451095865460506,0.016513872867464,0.0319349159128165,0.0136603727763949,0.0101693886224273,0.0234047720235566,0.00683018638819744,0.00758909598688604,0.00549450549450549,0.00385526076133811,0.00686054277214498,0.00431060652055127,0.0044016756723939,0.00361240968975776
