"","Bifidobacteriales","Thermoanaerobacterales","Thiotrichales","Deferribacterales","Deltaproteobacteria_incertae_sedis","Oligoflexales","Thermoleophilales","Gallionellales","Vibrionales","Tepidisphaerales","Aeromonadales","Fibrobacterales","Rubrobacterales","Candidatus_Brocadiales","Anaeroplasmatales","Hydrogenophilales","Chloroflexales","Campylobacterales","Methanomassiliicoccales","Coriobacteriales","Ignavibacteriales","Halanaerobiales","Pasteurellales","Erysipelotrichales","Puniceicoccales","Desulfovibrionales","Selenomonadales","Herpetosiphonales","Oceanospirillales","Enterobacteriales","Desulfuromonadales","Chlorobiales","Deinococcales","Pseudomonadales","Gammaproteobacteria_incertae_sedis","Sulfuricellales","Fimbriimonadales","Neisseriales","Thermogemmatisporales","Sneathiellales"
"sample1",0,0,0,0,1.50616019519836e-05,0,0,0,0,0,5.52258738239399e-05,0,0,0,0,9.03696117119017e-05,0,1.00410679679891e-05,2.00821359359782e-05,0,0,4.51848058559508e-05,3.01232039039672e-05,1.00410679679891e-05,5.02053398399454e-06,0.000251026699199727,2.00821359359782e-05,0,3.51437378879618e-05,0.0019329055838379,0.00264582140956512,3.51437378879618e-05,7.02874757759235e-05,0.00343906577903626,0.000246006165215732,1.00410679679891e-05,0.000175718689439809,0.00553262845036198,0.000326334708959645,4.51848058559508e-05
"sample10",0,0,0,0,0,0,0,6.11519810184251e-06,6.11519810184251e-06,0,6.11519810184251e-05,6.11519810184251e-05,6.11519810184251e-06,0,7.33823772221101e-05,3.05759905092125e-05,6.11519810184251e-06,0,0,0,0.00019568633925896,0,0,3.05759905092125e-05,0,0.00014676475444422,6.11519810184251e-06,0.000189571141157118,3.05759905092125e-05,0.00241550325022779,0.00109462046022981,0,0,0.00843285818244082,0.000214031933564488,2.446079240737e-05,0.000299644706990283,0.0092217187375785,0.00034245109370318,0.00012230396203685
"sample11",0,0,0,0,0,0,0,0,9.24103388687126e-06,6.93077541515345e-05,6.46872372080988e-05,0,1.84820677737425e-05,4.62051694343563e-05,0,8.7789821925277e-05,7.85487880384057e-05,0,6.00667202646632e-05,0,0.00014785654218994,0,0,4.62051694343563e-06,0,0.000124753957472762,3.23436186040494e-05,4.15846524909207e-05,7.85487880384057e-05,0.00438949109626385,0.0016726271335237,1.84820677737425e-05,0,0.035892175616608,0.000739282710949701,3.23436186040494e-05,9.24103388687126e-06,0.0136443865339654,5.54462033212276e-05,6.93077541515345e-05
"sample12",4.89768731205125e-06,0,0,0,2.44884365602562e-05,0,0,0,4.89768731205125e-06,0,4.89768731205125e-06,3.42838111843587e-05,9.7953746241025e-06,0,0,0.00027427048947487,0,0,4.40791858084612e-05,1.46930619361537e-05,0,0,0,0,1.46930619361537e-05,0.00027427048947487,9.7953746241025e-06,7.836299699282e-05,9.30560589289737e-05,0.00227742460010383,0.00347246030424434,2.44884365602562e-05,2.93861238723075e-05,0.0151534445434866,0.000215498241730255,0.000146930619361537,9.30560589289737e-05,0.0201343925398427,0.000112646808177179,7.34653096807687e-05
"sample13",0,0,0,0,0,0,1.41722686495245e-05,0,0,4.25168059485736e-05,0,3.77927163987321e-05,0,3.30686268488905e-05,9.44817909968301e-05,0.00162508680514548,3.77927163987321e-05,4.72408954984151e-06,6.14131641479396e-05,4.72408954984151e-06,3.30686268488905e-05,2.8344537299049e-05,0,4.72408954984151e-05,0,0.000670820716077494,4.72408954984151e-06,1.41722686495245e-05,4.72408954984151e-06,0.000510201671382883,0.0169736537525805,8.50336118971471e-05,4.72408954984151e-05,0.00581535423585489,0.00053382211913209,0.000505477581833041,0.000330686268488905,0.00295728005820078,0.00018896358199366,0.000122826328295879
"sample14",0,0,0,0,0,0,0,0,0,0,1.88611629793093e-05,0,0,2.51482173057457e-05,0,0.00406143709487794,5.02964346114915e-05,0,0,3.77223259586186e-05,5.65834889379279e-05,1.25741086528729e-05,0,1.25741086528729e-05,3.14352716321822e-05,0.00206844087339759,0.000119454032202292,0.000113166977875856,1.25741086528729e-05,4.4009380285055e-05,0.0382001420874278,6.91575975908008e-05,5.02964346114915e-05,0.00225705250319068,0.000641279541296516,0.000767020627825245,6.28705432643643e-05,0.00285432266420214,0.000622418378317207,6.28705432643643e-06
"sample15",0,0,0,5.47873156406829e-06,0,0,0,5.47873156406829e-06,0,0,4.93085840766146e-05,0,0,0,1.64361946922049e-05,0.000662926519252263,4.93085840766146e-05,0,0,3.8351120948478e-05,0.000262979115075278,2.73936578203414e-05,0,1.64361946922049e-05,5.47873156406829e-06,0.000471170914509873,1.09574631281366e-05,0.000126010825973571,2.19149262562731e-05,0.000410904867305122,0.00513357147553199,6.57447787688194e-05,2.73936578203414e-05,0.00598277486796257,0.00100808660778856,0.000273936578203414,0.000142447020665775,0.00287633407113585,0.000109574631281366,0.000120532094409502
"sample16",0,0,0,0,0,0,0,0,0,0,6.34348714175156e-06,0,0,0,3.17174357087578e-05,0.00534755966049657,1.90304614252547e-05,0,6.34348714175156e-06,1.26869742835031e-05,3.80609228505094e-05,5.07478971340125e-05,0,1.26869742835031e-05,5.70913842757641e-05,0.00216312911533728,9.51523071262735e-05,3.17174357087578e-05,0,0.00028545692137882,0.0287740576749851,0.000107839281409777,1.90304614252547e-05,0.00399639689930349,0.000482105022773119,0.000919805635553977,0.000133213229976783,0.00431991474353281,0.000317174357087578,0.000158587178543789
"sample17",0,0,0,0,0,4.45106058882586e-05,1.48368686294195e-05,4.94562287647318e-06,0,0,0,3.46193601353122e-05,0,4.45106058882586e-05,0,0.00127597070213008,9.89124575294635e-06,0,2.47281143823659e-05,1.97824915058927e-05,0,4.94562287647318e-06,0,0,6.42930973941513e-05,0.000603365990929728,4.45106058882586e-05,3.95649830117854e-05,4.45106058882586e-05,6.42930973941513e-05,0.0137389403508425,0.000118694949035356,7.41843431470977e-05,0.00253710453563074,0.000657767842570933,0.0011424388844653,0.000153314309170668,0.00406035638158448,0.000553909762164996,9.89124575294636e-05
"sample18",0,0,0,0,0,0,0,0,4.75529264070911e-06,3.80423411256729e-05,4.75529264070911e-05,1.42658779221273e-05,0,4.75529264070911e-06,9.51058528141822e-06,0.000513571605196584,1.42658779221273e-05,0,1.42658779221273e-05,3.80423411256729e-05,0.000118882316017728,1.90211705628364e-05,0,0,6.65740969699275e-05,0.000466018678789493,2.85317558442547e-05,3.80423411256729e-05,0,0.000237764632035455,0.0224592471420691,0,4.2797633766382e-05,0.00432731630304529,0.00042797633766382,0.000703783310824948,0.000223498754113328,0.00338576836018489,0.000380423411256729,4.75529264070911e-05
