"source","target","correlation","direct","cor"
"bac_ASV_874","Height",-0.668043455055666,"undirected","-"
"bac_ASV_86","Height",-0.657378740970072,"undirected","-"
"bac_ASV_129","Height",-0.762641898864809,"undirected","-"
"bac_ASV_227","Height",-0.721362229102167,"undirected","-"
"bac_ASV_244","Height",-0.756449948400413,"undirected","-"
"bac_ASV_400","Height",0.752321981424149,"undirected","+"
"bac_ASV_133","Height",-0.74406604747162,"undirected","-"
"bac_ASV_39","Height",-0.653250773993808,"undirected","-"
"bac_ASV_62","Height",-0.651186790505676,"undirected","-"
"bac_ASV_143","Height",-0.77296181630547,"undirected","-"
"bac_ASV_109","Height",0.628482972136223,"undirected","+"
"bac_ASV_276","Height",0.628482972136223,"undirected","+"
"bac_ASV_53","Height",0.791537667698658,"undirected","+"
"bac_ASV_386","Height",0.735810113519092,"undirected","+"
"bac_ASV_707","Height",-0.781217750257998,"undirected","-"
"bac_ASV_273","Height",0.789473684210526,"undirected","+"
"bac_ASV_122","Height",-0.756449948400413,"undirected","-"
"bac_ASV_258","Height",-0.791537667698658,"undirected","-"
"bac_ASV_286","Height",-0.667698658410733,"undirected","-"
"bac_ASV_229","Height",-0.661506707946336,"undirected","-"
"bac_ASV_232","Height",-0.731682146542828,"undirected","-"
"bac_ASV_82","Height",-0.746130030959752,"undirected","-"
"bac_ASV_48","Height",0.739938080495356,"undirected","+"
"bac_ASV_77","Height",0.752321981424149,"undirected","+"
"bac_ASV_178","Height",-0.797729618163055,"undirected","-"
"bac_ASV_290","Height",-0.803921568627451,"undirected","-"
"bac_ASV_135","Height",-0.770897832817337,"undirected","-"
"bac_ASV_28","Height",-0.810113519091847,"undirected","-"
"bac_ASV_45","Height",0.682146542827657,"undirected","+"
"bac_ASV_334","Height",-0.638802889576883,"undirected","-"
"bac_ASV_75","Height",-0.752321981424149,"undirected","-"
"bac_ASV_277","Height",-0.869969040247678,"undirected","-"
"bac_ASV_11","Height",-0.857585139318885,"undirected","-"
"bac_ASV_206","Height",-0.750257997936017,"undirected","-"
"bac_ASV_134","Height",0.671826625386997,"undirected","+"
"bac_ASV_451","Height",-0.644295387874398,"undirected","-"
"bac_ASV_92","Height",-0.808049535603715,"undirected","-"
"bac_ASV_367","Height",-0.663570691434468,"undirected","-"
"bac_ASV_227","AK",-0.628482972136223,"undirected","-"
"bac_ASV_244","AK",-0.657378740970072,"undirected","-"
"bac_ASV_400","AK",0.634674922600619,"undirected","+"
"bac_ASV_312","AK",0.65531475748194,"undirected","+"
"bac_ASV_39","AK",-0.663570691434468,"undirected","-"
"bac_ASV_143","AK",-0.665634674922601,"undirected","-"
"bac_ASV_148","AK",0.634674922600619,"undirected","+"
"bac_ASV_3","AK",0.69453044375645,"undirected","+"
"bac_ASV_359","AK",0.692466460268318,"undirected","+"
"bac_ASV_53","AK",0.82249742002064,"undirected","+"
"bac_ASV_258","AK",-0.713106295149639,"undirected","-"
"bac_ASV_286","AK",-0.659442724458204,"undirected","-"
"bac_ASV_130","AK",-0.70485036119711,"undirected","-"
"bac_ASV_229","AK",-0.663570691434468,"undirected","-"
"bac_ASV_232","AK",-0.742002063983488,"undirected","-"
"bac_ASV_48","AK",0.760577915376677,"undirected","+"
"bac_ASV_77","AK",0.634674922600619,"undirected","+"
"bac_ASV_178","AK",-0.669762641898865,"undirected","-"
"bac_ASV_75","AK",-0.640866873065016,"undirected","-"
"bac_ASV_277","AK",-0.630546955624355,"undirected","-"
"bac_ASV_11","AK",-0.702786377708978,"undirected","-"
"bac_ASV_206","AK",-0.713106295149639,"undirected","-"
"bac_ASV_92","AK",-0.729618163054696,"undirected","-"
"bac_ASV_44","AK",-0.632610939112487,"undirected","-"
"bac_ASV_88","AK",-0.667698658410733,"undirected","-"
"bac_ASV_324","AK",-0.661506707946336,"undirected","-"
"bac_ASV_129","LRN2",0.675954592363261,"undirected","+"
"bac_ASV_227","LRN2",0.636738906088751,"undirected","+"
"bac_ASV_244","LRN2",0.632610939112487,"undirected","+"
"bac_ASV_113","LRN2",0.634674922600619,"undirected","+"
"bac_ASV_79","LRN2",0.725490196078431,"undirected","+"
"bac_ASV_143","LRN2",0.69453044375645,"undirected","+"
"bac_ASV_342","LRN2",0.698658410732714,"undirected","+"
"bac_ASV_258","LRN2",0.647058823529412,"undirected","+"
"bac_ASV_229","LRN2",0.634674922600619,"undirected","+"
"bac_ASV_232","LRN2",0.628482972136223,"undirected","+"
"bac_ASV_48","LRN2",-0.673890608875129,"undirected","-"
"bac_ASV_290","LRN2",0.640866873065016,"undirected","+"
"bac_ASV_135","LRN2",0.628482972136223,"undirected","+"
"bac_ASV_45","LRN2",-0.70485036119711,"undirected","-"
"bac_ASV_11","LRN2",0.692466460268318,"undirected","+"
"bac_ASV_34","BI",-0.702786377708978,"undirected","-"
"bac_ASV_400","BI",-0.678018575851393,"undirected","-"
"bac_ASV_113","BI",0.690402476780186,"undirected","+"
"bac_ASV_99","BI",0.659442724458204,"undirected","+"
"bac_ASV_232","BI",0.682146542827657,"undirected","+"
"bac_ASV_36","BI",0.642930856553148,"undirected","+"
"SOC","bac_ASV_143",0.725490196078431,"undirected","+"
"TN","bac_ASV_143",0.634674922600619,"undirected","+"
"AK","bac_ASV_143",-0.665634674922601,"undirected","-"
"Height","bac_ASV_143",-0.77296181630547,"undirected","-"
"RGR","bac_ASV_143",-0.671826625386997,"undirected","-"
"LRN2","bac_ASV_143",0.69453044375645,"undirected","+"
"SOC","bac_ASV_229",0.688338493292054,"undirected","+"
"AK","bac_ASV_229",-0.663570691434468,"undirected","-"
"Height","bac_ASV_229",-0.661506707946336,"undirected","-"
"LRN2","bac_ASV_229",0.634674922600619,"undirected","+"
"LRL1","bac_ASV_229",0.634674922600619,"undirected","+"
"SOC","bac_ASV_113",0.632610939112487,"undirected","+"
"TN","bac_ASV_113",0.653250773993808,"undirected","+"
"LRN2","bac_ASV_113",0.634674922600619,"undirected","+"
"BI","bac_ASV_113",0.690402476780186,"undirected","+"
"AK","bac_ASV_232",-0.742002063983488,"undirected","-"
"Height","bac_ASV_232",-0.731682146542828,"undirected","-"
"LRN2","bac_ASV_232",0.628482972136223,"undirected","+"
"BI","bac_ASV_232",0.682146542827657,"undirected","+"
"AK","bac_ASV_48",0.760577915376677,"undirected","+"
"Height","bac_ASV_48",0.739938080495356,"undirected","+"
"RGR","bac_ASV_48",0.702786377708978,"undirected","+"
"LRN2","bac_ASV_48",-0.673890608875129,"undirected","-"
"bac_ASV_86","TN",0.711042311661507,"undirected","+"
"bac_ASV_113","TN",0.653250773993808,"undirected","+"
