"","one","Means","SD"
"num.edges",241,241,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",126,126,0
"connectance",0.0306031746031746,0.0306031746031746,0
"average.degree",3.82539682539683,3.82539682539683,0
"average.path.length",3.83081155433287,3.6739379045447,0.0628541037384692
"diameter",8,7.73,0.722719331637969
"edge.connectivity",0,0.07,0.256432399976243
"clustering.coefficient",0,0.0300750694666192,0.010543225152796
"no.clusters",2,3.45,1.62291046698158
"centralization.degree",0.273396825396825,0.0459568253968254,0.00939408797536455
"centralization.betweenness",0.405400604078408,0.0789702858813393,0.0183004090831738
"centralization.closeness",0.0523821584433225,0.0636367839899258,0.0325949774716015
