"","id","facet","variable","value","label"
"1","MID","Group1","PC1",5.18,"*"
"2","pH","Group1","PC1",3.455,""
"3","SB","Group1","PC1",2.992,"*"
"4","R.S","Group1","PC1",2.126,""
"5","LRN2","Group1","PC1",1.277,""
"6","LRN3","Group1","PC1",0.605,""
"7","LA","Group1","PC1",0.244,""
"8","AP","Group1","PC1",0.238,""
"9","TLRN","Group1","PC1",0.212,""
"10","RB","Group1","PC1",0.153,""
"11","LRW1","Group1","PC1",0.07,""
"12","MaxO","Group1","PC1",0.001,""
"13","LRD3","Group1","PC1",-0.044,""
"14","FRB","Group1","PC1",-0.256,""
"15","AK","Group1","PC1",-0.322,""
"16","TN","Group1","PC1",-0.396,""
"17","LRW3","Group1","PC1",-0.786,""
"18","TG","Group1","PC1",-0.795,""
"19","RGR","Group1","PC1",-1,""
"20","Height","Group1","PC1",-1.203,""
"21","NO3.N","Group1","PC1",-1.205,""
"22","LRL2","Group1","PC1",-1.215,""
"23","SOC","Group1","PC1",-1.238,""
"24","LB","Group1","PC1",-1.246,""
"25","TLRL","Group1","PC1",-1.313,""
"26","CN","Group1","PC1",-1.371,""
"27","LRD1","Group1","PC1",-1.462,""
"28","LRD2","Group1","PC1",-1.638,""
"29","BI","Group1","PC1",-1.794,""
"30","LRW2","Group1","PC1",-1.808,""
"31","LRL1","Group1","PC1",-2.391,""
"32","NH4.N","Group1","PC1",-2.825,""
"33","LRN1","Group1","PC1",-2.913,""
"34","LRL3","Group1","PC1",-3.119,""
"35","MID","Group2","PC1",5.18,"*"
"36","pH","Group2","PC1",3.455,""
"37","SB","Group2","PC1",2.992,"*"
"38","R.S","Group2","PC1",2.126,""
"39","LRN2","Group2","PC1",1.277,""
"40","LRN3","Group2","PC1",0.605,""
"41","LA","Group2","PC1",0.244,""
"42","AP","Group2","PC1",0.238,""
"43","TLRN","Group2","PC1",0.212,""
"44","RB","Group2","PC1",0.153,""
"45","LRW1","Group2","PC1",0.07,""
"46","MaxO","Group2","PC1",0.001,""
"47","LRD3","Group2","PC1",-0.044,""
"48","FRB","Group2","PC1",-0.256,""
"49","AK","Group2","PC1",-0.322,""
"50","TN","Group2","PC1",-0.396,""
"51","LRW3","Group2","PC1",-0.786,""
"52","TG","Group2","PC1",-0.795,""
"53","RGR","Group2","PC1",-1,""
"54","Height","Group2","PC1",-1.203,""
"55","NO3.N","Group2","PC1",-1.205,""
