"","%IncMSE","IncNodePurity","rownames(df)"
"pH",2.45,1.08,"pH"
"SOC",-1.38,0.13,"SOC"
"TN",-1.13,0.08,"TN"
"NH4.N",-1.81,0.18,"NH4.N"
"NO3.N",-0.67,0.26,"NO3.N"
"AP",3.35,0.86,"AP"
"AK",0.07,0.43,"AK"
"CN",-2.78,0.14,"CN"
"LA",-1.47,0.21,"LA"
"Height",-1.36,0.24,"Height"
"TG",1.55,0.64,"TG"
"RGR",0.8,0.35,"RGR"
"LB",-0.61,0.09,"LB"
"SB",2.69,0.68,"SB"
"RB",1.44,0.17,"RB"
"R.S",0.03,0.75,"R.S"
"FRB",0.08,0.18,"FRB"
"LRW1",-1.93,0.14,"LRW1"
"LRW2",-0.01,0.24,"LRW2"
"LRW3",-0.92,0.09,"LRW3"
"LRN1",-2.43,0.24,"LRN1"
"LRN2",0.19,0.08,"LRN2"
"LRN3",0.8,0.32,"LRN3"
"LRL1",-0.37,0.33,"LRL1"
"LRL2",-1.54,0.13,"LRL2"
"LRL3",-0.17,0.07,"LRL3"
"LRD1",0.15,0.25,"LRD1"
"LRD2",-1.76,0.2,"LRD2"
"LRD3",0.36,0.27,"LRD3"
"MaxO",-1.41,0.07,"MaxO"
"TLRN",2.77,0.45,"TLRN"
"TLRL",-1.43,0.07,"TLRL"
"BI",-2.09,0.28,"BI"
"MID",3.13,1.12,"MID"
