"","Unassigned","Alphaproteobacteria","Betaproteobacteria","Gammaproteobacteria","Sphingobacteriia","Deltaproteobacteria","Actinobacteria","Acidobacteria_Gp6","Planctomycetia","Acidobacteria_Gp3","Acidobacteria_Gp1","Gemmatimonadetes","Subdivision3","Bacilli","Spartobacteria","Acidobacteria_Gp2","Cytophagia","Acidobacteria_Gp16","Nitrospira","Acidobacteria_Gp4"
"sample1",0.211474932473818,0.178053237742366,0.101033225893906,0.0811669729192397,0.0539606992599733,0.0316795694390055,0.0327188199736924,0.0344509041981705,0.0327389021096284,0.0379451958510307,0.0410378447851713,0.0246257191914932,0.0163820023897742,0.0217891174905363,0.0176220742838208,0.0182847847697081,0.00820857306383107,0.00605476398469741,0.00637607815967306,0.00608488718860138
"sample10",0.21028943232616,0.186262818984021,0.102533526573593,0.0791000874473329,0.0775101359408538,0.0267845676860702,0.0386480520036447,0.03245947152458,0.0380793385801733,0.0236658166541305,0.0214521149412635,0.0286497031071322,0.0210546270646438,0.0177034985048341,0.00991885132118855,0.00531410715050114,0.00957028502938353,0.00761342163679392,0.00756450005197918,0.0123404697695182
"sample11",0.197309935035532,0.19526304602959,0.100085017511759,0.102603199245932,0.0524474878249379,0.0267158289669448,0.0305277554452792,0.0369133098611073,0.0459140768669199,0.0182279393418536,0.014286638389103,0.0303290732167115,0.0253481559516879,0.0210048700248584,0.00733738090617578,0.00323436186040494,0.0122813340356519,0.0077162632955375,0.00602515409424006,0.0213467882786726
"sample12",0.190926544485694,0.186004368737082,0.133060368893808,0.0827807109482902,0.0601778840031737,0.0291706256305772,0.0456366503736935,0.0287543222090529,0.0365612357844626,0.0224216125145706,0.0214175866156001,0.0217065501670111,0.0198699174249919,0.031443152543369,0.0115732351183771,0.00520134392539843,0.0121707529704474,0.00696940904504893,0.00641597037878714,0.00804200256638815
"sample13",0.22295340630477,0.177762765670986,0.100476660635579,0.0874995866421644,0.0573362748664264,0.0461590789915014,0.0365975217426222,0.0308057879545165,0.0308672011186644,0.0344149923705954,0.0266296927924566,0.0204553077508137,0.0201907587360226,0.0147627798432547,0.0169122405884326,0.0123345978146362,0.00913638918939347,0.00582480241495458,0.0052012225943755,0.0044500923559507
"sample14",0.222197074004916,0.144061562835964,0.111035666459194,0.0651464569305343,0.054741382020282,0.0697422936431594,0.0285117913703892,0.042827414071685,0.0327807012580396,0.0293542566501317,0.0357041815198325,0.0284300596641456,0.0220298383598333,0.00746273348548005,0.0198608046172127,0.019332692053792,0.00624304494615138,0.00775193798449612,0.00572750649138359,0.00670199991198124
"sample15",0.229465714097872,0.169731103854836,0.0929192873265981,0.0796059696259122,0.0476430496811378,0.0314314829830598,0.0402029322171331,0.0420766584120444,0.0380497907124543,0.0320834520391839,0.0316013236615459,0.0195700291468519,0.0228243956959085,0.0138283184677084,0.0156636935416712,0.0176415156362999,0.00596633867327036,0.0101137384672701,0.00385154828954001,0.00423505949902479
"sample16",0.200948985676406,0.150613415206607,0.137292092208929,0.066720797756943,0.0674058943682521,0.0574466195557022,0.0319140838101521,0.0416893974955913,0.0294781847477195,0.0385747453089913,0.0365575163979143,0.0112025982923333,0.0179076642011647,0.00992121388969945,0.0150530949873765,0.0223734791489578,0.00600728232323873,0.00712373606018701,0.00537293360906357,0.00245492952385786
"sample17",0.212088091434676,0.148942378547866,0.131276613633104,0.0622357182775385,0.0710537638662901,0.0415729058996335,0.0314244877571106,0.042591704212187,0.028021899218097,0.0417905133061983,0.0332444769756527,0.0297973778307509,0.0156133314210258,0.00882299121162815,0.0168299546486382,0.0211326465511699,0.00622653920147973,0.00762615047552164,0.00649360283680928,0.0064342553622916
"sample18",0.215604968329751,0.170363114146045,0.11547752648698,0.0769834325604398,0.0596503908850551,0.0525507389724764,0.0273571985619995,0.0291356780096247,0.0291071462537805,0.0384465410001332,0.0291071462537805,0.0280086736537767,0.0162298137827402,0.0106518555151884,0.021137275787952,0.0175993380632644,0.00881631255587469,0.0048028455671162,0.00711391779050083,0.00453179388659578
"sample2",0.25033077874768,0.156913705409306,0.090835280775311,0.0714911677778542,0.0470865695236786,0.0442599147707746,0.0220118221183586,0.0479242559626091,0.0298173413980342,0.0280818269296859,0.0348606433431851,0.0376830022681971,0.0237645198982748,0.0100780122345178,0.0133213622929411,0.0148120145714482,0.00602275070451577,0.0085272183655234,0.00480703141109355,0.00778833596810777
"sample3",0.221544209215442,0.198118896244347,0.107963557711215,0.0908304384872518,0.0385593498066461,0.039909549714885,0.0429442223241791,0.0390443730746543,0.0213737956347906,0.0299796814576916,0.0193812676148653,0.0341154879727338,0.0118699613292259,0.0170282493281772,0.0114963623254899,0.0057023005833388,0.00703283738611785,0.0078324703414826,0.00806187323851347,0.00855345087500819
"sample4",0.254673509742496,0.173783021173543,0.082130240618543,0.0750960918927326,0.0430980470572552,0.0385078539847586,0.0408096158546069,0.0499722277766669,0.0289586527139017,0.0308915994578862,0.0231820302606145,0.0323890777400076,0.0171387944633296,0.00910484569752716,0.00993134706392055,0.0114332689017752,0.00890488568952876,0.0108955986580462,0.00754515763513964,0.00733186695994135
"sample5",0.251428672921597,0.176928985964149,0.0907379367609643,0.0905603239657385,0.042631511174065,0.0370944322829017,0.0306737297354901,0.0389771279122948,0.0307447748535805,0.0328228445577219,0.025034523487072,0.029852270557571,0.0180943035136251,0.00909377511555932,0.0127081954984037,0.0098752714145527,0.00825899497799822,0.00793929194659183,0.00625641071182768,0.00776611947124671
"sample6",0.254208029252225,0.175418914222686,0.0864156958735627,0.0686165631657676,0.0418234289772298,0.0328218726863394,0.0409319613798105,0.0380498013084931,0.037135669280631,0.0286553948899264,0.0291691219799646,0.021448106009096,0.0204810903102005,0.00895245002493087,0.0233972470271822,0.017002100237221,0.0105880664218908,0.0072715047670852,0.00929619388664763,0.00398138494779626
