"","Unassigned","Chitinophagaceae","Sphingomonadaceae","Planctomycetaceae","Rhodospirillaceae","Gemmatimonadaceae","Burkholderiaceae","Xanthomonadaceae","Gaiellaceae","Nitrososphaeraceae","Bacillaceae_1","Geobacteraceae","Bradyrhizobiaceae","Pseudomonadaceae","Comamonadaceae","Hyphomicrobiaceae","Oxalobacteraceae","Nitrospiraceae","Sinobacteraceae","Neisseriaceae"
"sample1",0.582944241949574,0.0481569619744756,0.0339438302657871,0.0327087789057244,0.0343404524505226,0.0246257191914932,0.0262272695323875,0.0185910373427318,0.010146499181653,0.00947374762779769,0.0169242200600456,0.00246508218614132,0.00853992830677471,0.00272112941932504,0.00588908636322559,0.008273840005623,0.00992057515237321,0.00637607815967306,0.00841441495717484,0.00553262845036198
"sample10",0.528658875904285,0.0705877316895681,0.0540033144373712,0.0380793385801733,0.0221614779210773,0.0286497031071322,0.0194585603600629,0.0193607171904334,0.0159178606590961,0.0146458994539128,0.0138325781063678,0.00108239006402612,0.00944186586924483,0.0080842918906358,0.00878142447424584,0.0097965473591517,0.00730154653359996,0.00756450005197918,0.0089771108135048,0.0092217187375785
"sample11",0.51986360233983,0.0465794313067746,0.0559036344986277,0.0457893229094471,0.0204642695424764,0.0303290732167115,0.0175163797325645,0.0198589818228863,0.00949978283570366,0.00276768964911794,0.0165368301405561,0.00162180144714591,0.00900538752275605,0.0355363958119634,0.0107011172409969,0.0102575476144271,0.00674595473741602,0.00602515409424006,0.00586343600121982,0.0136443865339654
"sample12",0.494206035909843,0.0539774118661168,0.052846046097033,0.0365269519732782,0.0216624709812027,0.0217065501670111,0.030292196025037,0.0149281509271322,0.014908560177884,0.0113528391893348,0.0268197357207926,0.00335491580875511,0.00825750080811841,0.014521642880232,0.0117495518616109,0.00671472930482226,0.0110246941394274,0.00641597037878714,0.00883542791094045,0.0201343925398427
"sample13",0.575653932095937,0.0493525635271942,0.0354637402506602,0.0308341324918155,0.0279004728813639,0.0204553077508137,0.0215701928845763,0.0205450654522607,0.0106622701139923,0.0101426202635097,0.0104544101737993,0.0166146229467926,0.010610305128944,0.00566418337025997,0.00646727859373302,0.00845139620466646,0.00443592008730118,0.0052012225943755,0.0072042365635083,0.00295728005820078
"sample14",0.580930106817053,0.0475992883054502,0.0278076412858284,0.0327555530407338,0.0248904480783618,0.0284300596641456,0.00933627567475811,0.016666981019383,0.00947459086993971,0.0233689809313642,0.00440722508283194,0.0369804535480991,0.00731813123597201,0.00215017257964126,0.0113732812765235,0.00636878603268011,0.00533770912314453,0.00572750649138359,0.00660769409708469,0.00285432266420214
"sample15",0.60155376827157,0.0401262299752361,0.0307521202691153,0.038027875786198,0.0288455216848195,0.0195700291468519,0.0229668427165743,0.0162334816243343,0.0120696456356424,0.0110286866384695,0.0108588459599833,0.00470623041353466,0.00933027985360829,0.0058732002366812,0.00684841445508536,0.00803182047292411,0.00540202932217133,0.00385154828954001,0.00840437421928075,0.00287633407113585
"sample16",0.576153563136727,0.0585694167797922,0.0326626152928788,0.0294210933634438,0.0259321754354804,0.0112025982923333,0.0205655853135586,0.019328605320917,0.0106824323467096,0.0125093566435341,0.00641326550031083,0.0269281029167354,0.00712373606018701,0.00381877925933444,0.0132325141776938,0.0072950102130143,0.00641960898745258,0.00537293360906357,0.00535390314763832,0.00431991474353281
"sample17",0.600373889089461,0.0605195871394023,0.032537252904317,0.0279773886122088,0.0242879539463598,0.0297973778307509,0.012720142038289,0.0202622169249106,0.010880370328241,0.0118546580349062,0.00472306984703188,0.0132443780631952,0.0073195218571803,0.00233433399769534,0.00988135450719341,0.00760636798401575,0.00710686007349196,0.00649360283680928,0.00615730048120911,0.00406035638158448
"sample18",0.586232476746619,0.0514142240313469,0.0337292907005497,0.0291023909611397,0.0281513324329979,0.0280086736537767,0.0154023928632568,0.0139187415593556,0.00903505601734731,0.0123447396952808,0.00683335552469899,0.0217031556121964,0.00886862077492249,0.00407528579308771,0.00812679512297187,0.00829323036539669,0.00661936735586708,0.00711391779050083,0.00806497631864265,0.00338576836018489
