"","Unassigned","Gp6","Gemmatimonas","Gp1","Gp3","Subdivision3_genera_incertae_sedis","Burkholderia","Gaiella","Spartobacteria_genera_incertae_sedis","Gp2","Nitrososphaera","Sphingomonas","WPS-1_genera_incertae_sedis","Terrimonas","Novosphingobium","Bacillus","Geobacter","Gp16","Pseudomonas","Parcubacteria_genera_incertae_sedis"
"sample1",0.484948439115984,0.0344509041981705,0.0246257191914932,0.0317950417206374,0.0284312839513611,0.0160355855448786,0.0194696307899308,0.010146499181653,0.0173158217107972,0.0182847847697081,0.00947374762779769,0.0105682240363085,0.0106636141820044,0.00679278248034461,0.0068028235483126,0.0163016738460303,0.00246508218614132,0.00605476398469741,0.00271108835135705,0.0050506571878985
"sample10",0.477694814923529,0.03245947152458,0.0286497031071322,0.0128847224005822,0.0169574443364093,0.0209628990931161,0.0151718064906713,0.0159178606590961,0.00757673044818287,0.00531410715050114,0.0146458994539128,0.0182966727207128,0.00915445155845824,0.017899184844093,0.01669449081803,0.0136185461728033,0.00108239006402612,0.00761342163679392,0.00802313990961737,0.00519791838656613
"sample11",0.457209392586843,0.0369133098611073,0.0303290732167115,0.00970308558121483,0.0126648369419571,0.0252834687144798,0.0107057377579404,0.00949978283570366,0.00661658026299982,0.00323436186040494,0.00276768964911794,0.0212174138042564,0.00811362775267297,0.0202609667969652,0.0168464047757663,0.0164444198016874,0.00162180144714591,0.0077162632955375,0.0353977803036604,0.00614990805171283
"sample12",0.452516921509663,0.0287543222090529,0.0217065501670111,0.0139192273408497,0.0156285202127555,0.0198356336138076,0.0246108787430575,0.014908560177884,0.0104026878507969,0.00520134392539843,0.0113528391893348,0.0129690760023117,0.010319427166492,0.0107504236499525,0.0215155403618411,0.0266826004760552,0.00335491580875511,0.00696940904504893,0.0142473723907571,0.00789996963433866
"sample13",0.489250334229336,0.0308057879545165,0.0204553077508137,0.0207387531238042,0.0249526410022628,0.0200632083181769,0.015438324648882,0.0106622701139923,0.016156386260458,0.0123345978146362,0.0101426202635097,0.0128211790382698,0.0126511118144756,0.0108512336959859,0.010581960591645,0.0098450026218697,0.0166146229467926,0.00582480241495458,0.00562166656431139,0.00858367071206202
"sample14",0.453566960272104,0.042827414071685,0.0284300596641456,0.0300458326260397,0.0195590260095437,0.0219418195992632,0.00566463594811923,0.00947459086993971,0.0191063580980403,0.019332692053792,0.0233689809313642,0.010486806616496,0.0163023318684497,0.0135926114537556,0.00653853649949389,0.00387282546508484,0.0369804535480991,0.00775193798449612,0.00197413505850104,0.00746902053980648
"sample15",0.473274747430475,0.0420766584120444,0.0195700291468519,0.0249337073480748,0.0229668427165743,0.0227148210646271,0.0172634831583792,0.0120696456356424,0.0151486927746488,0.0176415156362999,0.0110286866384695,0.00998224890973242,0.015000767022419,0.0085687361662028,0.0106123030396003,0.010349323924525,0.00470623041353466,0.0101137384672701,0.00582937038416866,0.0076537879950034
"sample16",0.45925578208853,0.0416893974955913,0.0112025982923333,0.029211758287766,0.0271437814795549,0.0178378858426054,0.0136955887390416,0.0106824323467096,0.014298220017508,0.0223734791489578,0.0125093566435341,0.00961038301975362,0.0144504637089101,0.0158143134443866,0.0115134291622791,0.00601996929752223,0.0269281029167354,0.00712373606018701,0.00379340531076743,0.0109298283452379
"sample17",0.475709573242202,0.042591704212187,0.0297973778307509,0.0276163581422262,0.0286549389462856,0.0155342014550023,0.00781902976770409,0.010880370328241,0.0160831655942908,0.0211326465511699,0.0118546580349062,0.0116172681368355,0.0162018605433261,0.0200099901582105,0.00794267033961592,0.00429280065677872,0.0132443780631952,0.00762615047552164,0.00231455150618945,0.00945108531694024
"sample18",0.482448214863143,0.0291356780096247,0.0280086736537767,0.0241521313221616,0.0272240503680597,0.0161537291004888,0.00935366062427482,0.00903505601734731,0.0201291537481217,0.0175993380632644,0.0123447396952808,0.0116076693359709,0.0123494949879216,0.0141755273619539,0.00855001616799498,0.00620565689612539,0.0217031556121964,0.0048028455671162,0.00405150932988416,0.00925855477146064
"sample2",0.501494948106399,0.0479242559626091,0.0376830022681971,0.0274245652622173,0.0196405251220015,0.0233478245927555,0.00533971406969551,0.0075649529177263,0.0129519210942333,0.0148120145714482,0.0126512131417967,0.0103529452196027,0.00978160010997319,0.00647381263317066,0.00565760533369991,0.0046523816069833,0.00735016152312874,0.0085272183655234,0.00183861433775517,0.00638789607533164
"sample3",0.502294028970309,0.0390443730746543,0.0341154879727338,0.0169364881693649,0.0197483122501147,0.01180441764436,0.0074785344432064,0.01428852330078,0.0106377400537458,0.0057023005833388,0.00892704987874418,0.0125647243888051,0.00650848790719014,0.00882217998295864,0.00621354132529331,0.00715081601887658,0.00452906862423805,0.0078324703414826,0.0109720128465622,0.00986432457232746
"sample4",0.515061432158013,0.0499722277766669,0.0323890777400076,0.0198004843475749,0.0208091714990335,0.0171121331289298,0.00479459663622831,0.0127352307316315,0.00956253193805683,0.0114332689017752,0.0154369126174765,0.00920704747939301,0.0101979604079184,0.0110289053300451,0.00467462063142927,0.00406140994023418,0.00396365171410162,0.0108955986580462,0.00685640649647848,0.00847386078339888
"sample5",0.514180161538837,0.0389771279122948,0.029852270557571,0.0211847661505535,0.0221527558845339,0.0180276987154155,0.00783716458933702,0.00952892646386246,0.0121886780723683,0.0098752714145527,0.0167622075494319,0.01040810980023,0.0120954313548748,0.00896056551914,0.00368102518105404,0.00490655346811184,0.00322811255322833,0.00793929194659183,0.0118822960006039,0.0122686038302199
"sample6",0.512212350603629,0.0380498013084931,0.021448106009096,0.0218598431621413,0.0214594382243174,0.0203526585376909,0.00788722179411631,0.0169492165661877,0.0225473308855748,0.017002100237221,0.0121216928818579,0.0108335977516885,0.0107656044603599,0.00782678331293535,0.00409470710001058,0.0039587205173534,0.000770590635057341,0.0072715047670852,0.00127676291494795,0.00509949684964417
"sample7",0.458552831454105,0.0309657153011447,0.0261907355073918,0.0205960412952634,0.0160216909046093,0.0154484640386126,0.0327083249737749,0.0286670755684977,0.00778442084023594,0.00869011928851081,0.0108110586926988,0.011842867051493,0.00761245278043691,0.00594436260038636,0.0268671432092679,0.0131268952313257,0.00714240675031957,0.0128230849923474,0.00714813901897954,0.00529088397315005
